sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-3.5574985071189307	-4.515443398819846	-4.297315999541198	-4.161012730314631	-4.391149387244303	-4.318615227298864	-3.170138157202638	-3.1899513086944307	-4.571441247959139	-3.062338870150612	-3.804052641714176	-4.572176417018926	-4.374942998060994	-4.633291344876535	-3.3112997189664126	-3.705485038529782	-4.599318052133087	-4.094675394753496	-4.836002878412678	-5.476039647441394	-3.3103227159567763	-4.964989786181266	-3.0783075079005404	-3.6848819776488497	-3.673673752842564	-4.15892523692334	-2.951816163815897	-5.019881444793098	-3.5869624492655445	-4.861772294754305	-4.244073536623066	-3.265386255591975	-3.2027108415104766	-3.586058438591788	-3.733216230521387	-4.177170369828706	-3.403608730970168	-4.480024215114667	-2.814245821565409	-4.775435449242146	-4.980398614338335	-4.478739849003001	-3.3349231735622604	-3.416695049505895	-4.688235267589876	-4.013036154750339	-3.6325689906723455	-2.9445301038423075	-3.460084098819886	-4.060239324948934	-4.725694600809343	-2.898963387498361	-3.5220126566533225	-4.800172454262086	-4.75787102351935	-3.668980621840429	-3.932411040665581	-4.477767961123083	-4.1614845277341015	-4.52013738751398	-3.1185148137985146	-4.1917775327605975	-3.954806112435521	-5.3045067758615	-4.327350257194247	-3.713345662181285	-6.233706865406963	-3.4194228713867143	-3.4796542170312628	-4.813857693334062	-4.453461243066078	-3.912497829186077	-4.363233342205982	-3.3725078387664778	-2.645681920013437	-3.9951806024838152	-3.098147649731799	-4.037385073940135	-4.590315926354239	-4.279386213210224	-3.616301641952107	-4.21159917495333	-4.868351152230145	-4.514839417383786	-5.503686763882915	-3.231079502778613	-4.349566964847834	-3.933072701950007	-2.72414335765436	-3.4647534965250446	-4.632070352007966	-4.362731063732679	-4.683552300421353	-4.739213511578419	-3.79096895808156	-3.566672319098137	-4.0041374876049085	-4.151955645412139	-3.5210072345807237	-3.70007524785518
-3.4924027242176305	-4.444854878335704	-4.236647540326106	-4.074750707581993	-4.295658047497957	-4.229263919713291	-3.1241758496280174	-3.1451672177366943	-4.487528555852063	-2.9961654054596187	-3.728321873429041	-4.499580188654606	-4.30049580669027	-4.54735825396878	-3.2274746009659188	-3.635885015410856	-4.520448957674977	-4.021698890766249	-4.732694719657223	-5.364310506512576	-3.2465041957374954	-4.9080397304464345	-3.0358038787896917	-3.639989786856093	-3.6009881220768336	-4.068951685440215	-2.9013978292214078	-4.91872811485997	-3.5226617202172266	-4.76123468831672	-4.176874219659197	-3.190551866973638	-3.14872937890042	-3.5130776221580167	-3.649356050005671	-4.0787376912183415	-3.354002061446642	-4.381946667308361	-2.7645553689305262	-4.700237656434209	-4.876168694345085	-4.410350449685076	-3.27090289671251	-3.3541653159234004	-4.580192552839958	-3.94839353477777	-3.5581559909816947	-2.899038859559661	-3.400621336669461	-4.0003559586122455	-4.615149320882616	-2.8507182371152857	-3.459796877679704	-4.723641576731305	-4.68336854452065	-3.5612874308068223	-3.885060344003085	-4.3921669166730455	-4.080019098883508	-4.425113441812082	-3.067082572033814	-4.102136678814406	-3.892228982547357	-5.192475154432914	-4.253140937181636	-3.6286569428405295	-6.0936410928827325	-3.362222382315086	-3.4112755850865115	-4.729577745560737	-4.38063645284454	-3.8495551977348272	-4.285374163974978	-3.3207962585819155	-2.5894053272756934	-3.922518880844605	-3.033497153012748	-3.9708018677796506	-4.547605422290999	-4.190579878067717	-3.5345457171843853	-4.141078308196595	-4.781248177962469	-4.421109139039637	-5.421973065833357	-3.176064773585902	-4.264933610892737	-3.869434254391488	-2.668116161119616	-3.4134618887493144	-4.562616252834568	-4.304288390751041	-4.596938382487586	-4.645694900173181	-3.722330781559569	-3.502868063265389	-3.9416726421996233	-4.066024434446311	-3.458800100328581	-3.609193968337447
-3.4272027885775995	-4.386158869245713	-4.182189541272912	-4.034223119928805	-4.228502755511827	-4.177518392756978	-3.078414090876557	-3.116598981617283	-4.431308975616559	-2.9558133875347927	-3.6866132518742782	-4.446159876679207	-4.24514718144928	-4.513416265406822	-3.1497538366361604	-3.5969116636817398	-4.46837647457191	-3.9773125255516177	-4.667492016951464	-5.29009459908721	-3.190632675215644	-4.8828901383515735	-3.009710746537248	-3.600820539470928	-3.561933883830707	-4.019511162687486	-2.8915603812563195	-4.846555071650837	-3.486475421670886	-4.679170778997163	-4.11557267674715	-3.141075156269193	-3.1061154760226004	-3.46578238420506	-3.585516990015613	-4.019638391731233	-3.301606202491605	-4.323307352147406	-2.696450983470949	-4.648816528748986	-4.811729012923703	-4.355813392575674	-3.237689273433156	-3.311762595032816	-4.520307080765751	-3.9042714601256	-3.5064354421277577	-2.8714845810644314	-3.371034486071758	-3.961485656490164	-4.553466877817865	-2.796918745871993	-3.4101887528504595	-4.678517498420829	-4.630176040355023	-3.49860711220236	-3.834194872348145	-4.337824013018922	-4.0490859158948656	-4.374948237094454	-3.029316899917045	-4.039910316621042	-3.838378145170746	-5.116591227921955	-4.217623067190671	-3.5567857312493323	-6.016012208742254	-3.3308792822352022	-3.3754094450175254	-4.656506640824108	-4.340246642655501	-3.8106702564057406	-4.232082359624223	-3.2819153486052333	-2.5367663215668945	-3.853004967708452	-3.000593235527917	-3.912238162055033	-4.505113729412789	-4.142259692601293	-3.47804947852877	-4.095270532637309	-4.714934490632233	-4.359310777134666	-5.353201119657473	-3.145291461596951	-4.202131178705769	-3.7894639555837135	-2.626731836619357	-3.3768650855925744	-4.49414314616538	-4.254767554580314	-4.563432427164185	-4.593451931255065	-3.6723639790163753	-3.4358807704681524	-3.893269980172425	-4.009549712719052	-3.4090752799443886	-3.562900899160159
-3.360367786117792	-4.342853550834184	-4.075109209763459	-3.957125540110752	-4.106293848682825	-4.080887653891989	-3.0017057914216783	-3.0397311984954425	-4.335176400665476	-2.8794461214699454	-3.621499086295479	-4.363045460966203	-4.124183515981267	-4.423511964962113	-3.0365315907725927	-3.5025703385122564	-4.353217732051986	-3.881575609043726	-4.555807000197637	-5.1698344712345365	-3.1048602433534427	-4.798567536714518	-2.9546518580401075	-3.5139242199207743	-3.46510302995088	-3.9156036813464095	-2.8262849589041483	-4.706432478888615	-3.416379723907291	-4.527837781984956	-4.015948668877646	-3.0598143643181914	-3.040950465520868	-3.363952531423303	-3.489695663027528	-3.929477880977204	-3.193706288103862	-4.220290759535725	-2.6061588846742114	-4.558117852607835	-4.70856294557638	-4.241037009434237	-3.162740412119692	-3.212619176691596	-4.38660766749297	-3.8310273881994776	-3.4102931435729253	-2.810455941387201	-3.281720036787956	-3.885582517423904	-4.418786480754966	-2.70241120974552	-3.3301913082929477	-4.580770256061025	-4.55687532418616	-3.3642601864113857	-3.746664310335485	-4.218085352724087	-3.968874277201347	-4.269137222332764	-2.952356717756794	-3.9157098052476287	-3.722733852215673	-4.980692974516829	-4.121899734968074	-3.442560102806003	-5.873771544043827	-3.251644116100018	-3.297374509940689	-4.538178610588719	-4.2559833275991314	-3.748074161386652	-4.131995962456878	-3.202159819438518	-2.439743920288793	-3.731462128377227	-2.9303401486314224	-3.812553691496626	-4.435585233542563	-4.026203511682528	-3.380108646455328	-4.003375893553526	-4.616770261466673	-4.2448103631916485	-5.241980136052249	-3.089041065102934	-4.097297627217944	-3.68573409538492	-2.547440103424304	-3.312005323263903	-4.3836396388347465	-4.153190832924281	-4.479475553277836	-4.484808761237944	-3.579641350654259	-3.337330234842148	-3.80735575384721	-3.900322563790896	-3.330428352220029	-3.444067669044681
-3.261213944514997	-4.223396155588602	-3.971121286029727	-3.856457738943552	-3.973414342017129	-3.965143325514839	-2.888520564897742	-2.9495927076595905	-4.216807250065652	-2.7868160565001348	-3.4989652768179766	-4.244255914190039	-3.997263291543661	-4.309779724937894	-2.917481925764896	-3.395548965513334	-4.229874922664485	-3.770657840913638	-4.423990071047874	-5.023871635651332	-3.000661538581435	-4.683536808868178	-2.862638941670776	-3.4023316929719387	-3.355754732901408	-3.794766683245548	-2.750884303922149	-4.55386317541614	-3.323890385011818	-4.362435026307713	-3.8822532695097594	-2.949763622059041	-2.9433138987751466	-3.241278867448833	-3.3712041342697447	-3.791411315399056	-3.1012415012290293	-4.099665363720704	-2.4859556412827075	-4.4350170155261495	-4.567065529706577	-4.095772237077627	-3.079126120477761	-3.108341882014587	-4.225972822871955	-3.727204478182174	-3.288606352926517	-2.724117914525784	-3.200002392374284	-3.776145591773217	-4.270029259878543	-2.6208882371071724	-3.2067343511269693	-4.4609848309084805	-4.423524816482211	-3.239300769661793	-3.6390961448504062	-4.098999598663123	-3.845608991214264	-4.1325057406888055	-2.85979627181592	-3.7854155583769193	-3.611937209844761	-4.8385558795634624	-3.985899477876933	-3.3116790983166737	-5.710227396674441	-3.1610095522006407	-3.176144293055231	-4.399191296636113	-4.150000764687963	-3.634758275301915	-4.014515629792401	-3.1005802224850694	-2.342045079820402	-3.625167884163068	-2.8474122954110883	-3.706695425702271	-4.30885001136143	-3.880934531351668	-3.261756131791477	-3.89133174668052	-4.482019898003673	-4.110896370807222	-5.103974715018704	-3.0086369420109063	-3.964856524912998	-3.578894570627372	-2.457384912697004	-3.228889336800174	-4.269844655998543	-4.010103207038123	-4.357745909887736	-4.348629245616896	-3.476833730608192	-3.2170992322256624	-3.684060670893116	-3.7670290296777833	-3.2279044705640465	-3.330818500973035
-3.1467490156461766	-4.113942530315529	-3.8498150133947178	-3.761303423300184	-3.8330854666935057	-3.839759462514632	-2.773251890272928	-2.8456510117631675	-4.106782643788572	-2.681667923684627	-3.371020516793084	-4.116913091181012	-3.8464570803206817	-4.192296300483572	-2.781495656228463	-3.299816669801151	-4.074417397539374	-3.644980490060586	-4.268650423142853	-4.858001596839457	-2.878969357850816	-4.555855210870214	-2.7876481752337154	-3.293066505093128	-3.2391479916504764	-3.674208724708478	-2.6648981744176856	-4.4120165072972695	-3.2165960428700697	-4.170488587567264	-3.733579724575859	-2.827476591060965	-2.8500237710911254	-3.10863787328001	-3.2600436340093006	-3.665446271943335	-2.967491686033216	-3.958408511552544	-2.377292561870907	-4.309491096610177	-4.424011263617991	-3.964414307807854	-2.9831258024604166	-3.001142385312386	-4.056271547712054	-3.605353676701301	-3.1672872723408942	-2.634292468226892	-3.109827045333286	-3.6672163840593583	-4.111292301335131	-2.5209217992798107	-3.104350920043364	-4.338216839024514	-4.2860675024067145	-3.104984904205698	-3.5131645832892686	-3.96767116438734	-3.7149528387374926	-4.002082031606807	-2.7656382044091394	-3.6475495249439622	-3.505750536125277	-4.677755345746769	-3.8537700191368343	-3.165949804713466	-5.526380253811196	-3.0509175833781144	-3.0591553351649856	-4.261322037608444	-4.046834152799108	-3.5329055219909544	-3.890545699701052	-2.9928278738596616	-2.240303483673532	-3.493032712785117	-2.765419235536376	-3.569981458132332	-4.184877726027326	-3.71997501680381	-3.132040688068636	-3.763999028565059	-4.356674532026295	-3.9856530979758222	-4.956940629317312	-2.9338876124764703	-3.829677459043007	-3.4482008498981243	-2.3634970410731686	-3.145213497614205	-4.116976009812405	-3.888270751705997	-4.2312284049973625	-4.207566276781714	-3.3608297614603724	-3.0865753344736286	-3.559072924316236	-3.62316905233894	-3.1212900218252373	-3.213580358918224
-3.0578115752756707	-4.025466270335957	-3.729019802030213	-3.667789928463739	-3.678546373379536	-3.728795409807324	-2.652190081992881	-2.7360899903169265	-3.979630315783449	-2.57698125926289	-3.2825089308273	-4.001991839441185	-3.711545181807258	-4.097144068342704	-2.654697961252904	-3.1932318821496124	-3.926892415141675	-3.5329046429398	-4.123094296757692	-4.7087114870353055	-2.775388021783406	-4.435836460569985	-2.6959115682436194	-3.1870002860915467	-3.12718035979105	-3.55482188483962	-2.5932434343824298	-4.256352057717087	-3.1147697583448277	-3.990489746789512	-3.611311852218492	-2.715475766384456	-2.755398178234598	-2.9981798523572456	-3.141135118875632	-3.550406873209569	-2.8884694294357742	-3.8151680704235953	-2.2671750797678425	-4.191234039303878	-4.287725347019739	-3.821567087790777	-2.8928369779898584	-2.897551120315086	-3.884512436765122	-3.5080447512458104	-3.034974868413285	-2.5522605426473723	-3.0309474138504187	-3.558498723827596	-3.950291166422777	-2.423670791768813	-2.9767372377192043	-4.226882962668449	-4.16429000294301	-2.983526818294122	-3.406572212424301	-3.8420665194711776	-3.628389025158275	-3.8675028300374974	-2.673513707806753	-3.507961580498113	-3.3937825119128413	-4.52156067210978	-3.7281268946231783	-3.014835667880321	-5.364107657216183	-2.948657943890252	-2.965440924479465	-4.114302315724856	-3.937507643283617	-3.4377086894242503	-3.745654233716625	-2.8952207686831914	-2.1316922695388776	-3.364043245562618	-2.687503095130604	-3.454735951532058	-4.077807198497244	-3.5542065481624343	-3.0054373528156715	-3.66902854031088	-4.230298978154436	-3.84574751054436	-4.814717035097118	-2.8417248621979208	-3.69896572460562	-3.328017266609633	-2.2677028312686804	-3.0395661950396744	-3.9683833199570087	-3.7852107884729937	-4.138884960233171	-4.07964286923382	-3.2361955417443045	-2.981009095762796	-3.450761590537953	-3.4688261738529835	-3.0160444872144523	-3.0772457888329523
-2.9657806451606743	-3.92241919109252	-3.632984052152031	-3.589400874590532	-3.557678154595339	-3.632374483618346	-2.549361265146759	-2.630711570116864	-3.893086870007665	-2.506890741575278	-3.1897911859839527	-3.91458050115875	-3.564532593555971	-3.993533422379308	-2.5549406708812468	-3.0956493202888136	-3.827174607939406	-3.424834304718221	-4.009597573033687	-4.575726484961939	-2.676312132062469	-4.352959920040495	-2.6113819406100465	-3.091398921505488	-3.02912300656814	-3.4551972939632347	-2.512244226537182	-4.1214268402140615	-3.024344801245358	-3.838291803798936	-3.4962086555451006	-2.6187206001064283	-2.6859963969361296	-2.897828982787399	-3.061454461089571	-3.435207672045261	-2.7845031869251566	-3.7252640823807512	-2.182087776530157	-4.084368415917193	-4.163346946714704	-3.701254099385676	-2.8146625389149373	-2.810803680046083	-3.740650142019614	-3.4220741365787752	-2.9224386517591947	-2.4970954131171377	-2.9586751419763155	-3.462633806836068	-3.8008720569571337	-2.347225263334634	-2.890056639197333	-4.120551622245672	-4.036418302649273	-2.882188048695442	-3.311196897100218	-3.7427708149676207	-3.523803055188127	-3.747849988738911	-2.593532121639984	-3.39125396667462	-3.29850357388707	-4.390180281068565	-3.6060543099012343	-2.897199201029613	-5.240424697466505	-2.861147740457441	-2.866010338144976	-4.011758837214594	-3.850063300640307	-3.343749848292896	-3.657520641055664	-2.805417641277891	-2.0450183016492094	-3.2565732188539145	-2.6165644288508743	-3.348665657020112	-3.976698509365258	-3.424223032291614	-2.880096686921818	-3.5563921109708856	-4.1178865755355245	-3.735064612895519	-4.698496066467015	-2.776823408068843	-3.595901837841458	-3.238202775208156	-2.1809321874960106	-2.9699048214693557	-3.857700838679333	-3.679941956405879	-4.029392220819372	-3.982233322816476	-3.1480503603541283	-2.8869797077093557	-3.3474450872398687	-3.349551458547562	-2.941395839777506	-2.966247575702887
-2.880290498730179	-3.8176948027259088	-3.5236221002082453	-3.4896862050945514	-3.4402971177740502	-3.531746600400646	-2.4344994390356973	-2.5278854894815166	-3.769928226955829	-2.393834087910157	-3.0846737918486977	-3.797065670879379	-3.4365720974853136	-3.878031102199018	-2.4340891139439287	-2.9899485283848413	-3.705454748184388	-3.3128716293342366	-3.886179707498805	-4.43796658742103	-2.585826562766459	-4.236391600987159	-2.538123285510819	-2.9845183328406417	-2.934839227211572	-3.3490854226129656	-2.431341300185513	-3.968577593396995	-2.929683319260843	-3.680998091816416	-3.372446719417271	-2.50350267078947	-2.590863267842561	-2.781528632588808	-2.964857774329333	-3.2977659946741325	-2.7022391484878328	-3.594085856806008	-2.0802352814631213	-3.986899302265124	-4.036275863684145	-3.563386132538221	-2.7320942867759466	-2.7074295124355423	-3.5801214579594336	-3.324086379691931	-2.789745875731061	-2.422415234481646	-2.8694283039139235	-3.356331165418588	-3.621063904285345	-2.257647302841098	-2.7828067739021285	-3.994169052802008	-3.916419361564176	-2.7924076432460625	-3.22300471691504	-3.623346673765048	-3.427330601452261	-3.619977207406823	-2.4872908510617147	-3.256183742520872	-3.1853505657579797	-4.2617404095451015	-3.469520861382088	-2.7698409971092084	-5.099663353493866	-2.762823567257453	-2.7461177618974286	-3.894935735829391	-3.7307558160978576	-3.257265878437229	-3.539357974971523	-2.720713135987666	-1.9247887755476236	-3.132884019905739	-2.543086762895108	-3.2335772889100625	-3.8653365424437136	-3.298233885708639	-2.758142241112808	-3.451070804198358	-4.009833351278162	-3.610577488338064	-4.571902079994681	-2.677845513357829	-3.46846211150641	-3.150950203699148	-2.0864568931915017	-2.884641759591915	-3.744282669543751	-3.5709312356730223	-3.917057000217008	-3.869664078292784	-3.037162007142912	-2.789718022774432	-3.249501852284258	-3.189892510749592	-2.8545633068897183	-2.8491596596030657
-2.81545038465994	-3.7601461721408014	-3.463702068627843	-3.4360003825589933	-3.3741105067136186	-3.478418980858541	-2.3776989627399554	-2.4674507418454463	-3.710096460967792	-2.3380773420614016	-3.0592512197146053	-3.750717231214806	-3.3600754736423437	-3.819240900544584	-2.379430670593325	-2.915892200861133	-3.6487368770815833	-3.240650893872689	-3.834579112826678	-4.378426758710365	-2.530278871446153	-4.213297719265495	-2.4852610698925504	-2.9309265200208947	-2.8755045484414743	-3.289016270224772	-2.3655132749850982	-3.896403774424651	-2.872870433322927	-3.6061119572469886	-3.3106004227359405	-2.433516632239808	-2.5381734976507744	-2.737380647459216	-2.930639435155438	-3.233412728917626	-2.655589351740145	-3.5474104282266268	-2.0107244584373007	-3.940380617680616	-3.973163554306593	-3.4789364659033186	-2.6728224870992223	-2.6492908177518357	-3.4753273187170404	-3.272772826598754	-2.711588029281492	-2.384518591296952	-2.8039916203919826	-3.2868604564068464	-3.528207219290076	-2.1971353088897456	-2.7170267494511804	-3.9232940195747146	-3.842254948901316	-2.735473071102967	-3.167806437463273	-3.5662181227958443	-3.363492389169248	-3.5403690792444547	-2.43565558367272	-3.1852351496869766	-3.121821034969648	-4.206613665675818	-3.390138478136729	-2.6903803118279503	-5.065874795436056	-2.708147784081911	-2.699397898938435	-3.823771174555835	-3.6759521236007737	-3.2152904242374776	-3.478338943997123	-2.6698556025639006	-1.8654574367804524	-3.0674819810028024	-2.4809327565350423	-3.1783030508655914	-3.805143577899463	-3.2419906254911672	-2.6719167514471933	-3.373566808021548	-3.948899829761936	-3.546850124427684	-4.51387825076832	-2.611900830449256	-3.401385067666664	-3.103904944896223	-2.031011663752776	-2.841432495377592	-3.718083812864457	-3.5217586287729463	-3.849969598744808	-3.79429905928728	-2.9784181306769413	-2.7392245163322926	-3.190278725895324	-3.1128929389585536	-2.809714217048207	-2.774743444893953
