sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-2.048783765793745	-1.4965874900359568	-1.2126951577147704	-1.812482200821562	-1.4669427556962755	-1.5515642256163458	-1.4733156389034328	-1.502577952499236	-1.6570982282982816	-1.6788026164168628	-1.530584362781713	-2.011221459197376	-1.781989324503534	-1.5230551013810472	-1.5756163458005	-1.5990531359032745	-1.2091990730769488	-1.4217221861579783	-2.029913444197728	-1.920252493792853	-1.511238037013595	-1.9783622898798536	-1.4771703609702138	-1.864151397446304	-1.744981606059378	-1.8190431347239515	-1.7667607709332995	-1.831588175391854	-1.2038418726435478	-1.7338066792909268	-1.7235155685368029	-1.7667987911894127	-2.004101267234151	-1.7899560017599978	-1.349044475836202	-2.0123537310605384	-1.9344801416387831	-1.6810894717524718	-1.5645182571515894	-1.5615317215114948	-1.8800785432653555	-1.7274514923538165	-1.674144415705451	-1.6757602076252989	-1.723762383006279	-2.02594984022393	-1.5147260674276726	-1.4853232578781768	-1.4469133491080255	-1.1985081312779051	-1.5145490475146308	-1.2764738716369144	-1.2124899186437612	-1.5485831053343873	-1.8098633081431497	-1.5999789866265224	-1.922368178460392	-1.7622415341478337	-2.0883602794876355	-1.473960337202953	-2.013959699775903	-1.6999535029287909	-1.212871254543073	-1.673068026020952	-1.4753188937868271	-1.6834693931576863	-2.125368993553852	-1.7774756027895784	-1.9297896062387996	-2.0277354116524045	-1.909860803191274	-1.4427791625894344	-1.967356316403139	-1.8426853071196931	-2.1075139202806006	-1.5404069926608133	-1.4065680495657764	-1.6330207523087328	-1.6530872456549233	-1.410537505567645	-1.3530556611089883	-1.628408340846573	-1.98499005753394	-1.7491776367003964	-2.00241414469361	-1.7499108817837925	-1.729125820904584	-1.4533531266651485	-1.7272733059049743	-1.5290089757919636	-1.686879840564678	-1.8312360665838503	-2.010397092250212	-1.9524100112021157	-1.9308733012293644	-1.74468080012748	-1.5371237879370214	-1.4658885771957255	-1.6965734960428225	-1.7785243341519938
-2.030858654363799	-1.4908272271578935	-1.2070063871477674	-1.808152857637174	-1.4417237382270571	-1.516402926296296	-1.4594907137368789	-1.4946481360743795	-1.6459090471033828	-1.6559866976542008	-1.5210805834320589	-1.992378876339015	-1.7507843872002573	-1.514011037446387	-1.553115930531534	-1.581049613992222	-1.2083434430111777	-1.4140967464892915	-2.0106670174084007	-1.9082434002853497	-1.4965092608762998	-1.9818504931503815	-1.4680713012713542	-1.8463426311023716	-1.7287482722227816	-1.8116400078835413	-1.7573556671576351	-1.8070936647320863	-1.1823108849111663	-1.7214246940751738	-1.7051647999300057	-1.7407990497944368	-1.9956389313933496	-1.7679452890353924	-1.3339827668933724	-2.011816935786768	-1.9023298125869663	-1.680577387511735	-1.5567719041429555	-1.566236480506035	-1.8670770830020489	-1.6877854966226655	-1.669946433890349	-1.6735864066236463	-1.6954470206420056	-2.0128701722562923	-1.5049216219160606	-1.4729793075255593	-1.4315040493299358	-1.1870784445530893	-1.4968104838343552	-1.2706174789500209	-1.2070835874764636	-1.5617282700782025	-1.8029975323938805	-1.5707852631997796	-1.922926856825541	-1.75359230473518	-2.0647139110874493	-1.454574147257924	-1.9942420129074687	-1.6947256661486043	-1.2050437402395184	-1.6749507242909576	-1.4601646943261752	-1.6861486785231454	-2.0834011364703566	-1.7501674736164186	-1.9193555966174565	-2.018695651428894	-1.9162504970165568	-1.4495219482889852	-1.9516622850609648	-1.81797107891474	-2.0924596184262043	-1.527701327007925	-1.391852978134368	-1.6307078399105452	-1.66284372185045	-1.3901568953988137	-1.3271885109523929	-1.6199546329467267	-1.9663274732633804	-1.7285157105532485	-1.9787368031701145	-1.741043567313492	-1.7303355076393625	-1.4486936827086774	-1.7085431175090282	-1.501859180215012	-1.6852648315222238	-1.8281200040596512	-1.9793173063704543	-1.9295666919149048	-1.918114313620039	-1.7240573961160628	-1.5283910134883554	-1.4589478188152494	-1.6670852818297883	-1.765567426863887
-1.976770482326116	-1.4589335646837187	-1.1998912931897978	-1.813594870377944	-1.4248355194382538	-1.494768765298388	-1.4443999972896675	-1.4945439293755294	-1.6268836285260564	-1.6567770848123695	-1.5116054553347116	-1.9634187480806065	-1.7168259186490136	-1.507337948919702	-1.5492807352728115	-1.5555732373793776	-1.1941295338564777	-1.4008561471203576	-2.001544930851401	-1.9141399438261752	-1.4803530729031862	-1.9991992694443383	-1.450998218614936	-1.8426439811053112	-1.7261932111835274	-1.8000483478417495	-1.7637962575097492	-1.7989067568163346	-1.1716034785615856	-1.7070716783107056	-1.703510661130092	-1.723981602365815	-1.9707256332637983	-1.758012188012803	-1.3084445391467054	-1.9721949754870869	-1.9099042817119076	-1.660794568321178	-1.5193202964721273	-1.5694577524127904	-1.8753221280948231	-1.687218613593992	-1.668458412775782	-1.658236477083133	-1.6769473738239236	-2.000199480466683	-1.4813010662436716	-1.455587127509151	-1.4116903155167235	-1.1721169028395113	-1.4785362250452272	-1.257928619215338	-1.1964016680223115	-1.5515203352055134	-1.7759549696881662	-1.5578403176098037	-1.9233025661297043	-1.750959319531174	-2.050646873316364	-1.4577854236928869	-1.987152909198292	-1.678866607482117	-1.1906774699825124	-1.662985331292142	-1.4516859572869565	-1.6547495296226775	-2.0890397758105017	-1.731930513720597	-1.898612363286668	-2.002031519838422	-1.9240934498566304	-1.438945409566092	-1.9513998014801928	-1.7791048308970634	-2.066758302657053	-1.5004884478740508	-1.381805295144779	-1.6167025460807296	-1.6364689774511538	-1.3876683998129271	-1.2835507392397278	-1.5944816554557495	-1.9499568560915213	-1.716188270875998	-1.9649337448011888	-1.7335980646125644	-1.705462133786005	-1.415830031187321	-1.7055319511066098	-1.4842073365504989	-1.6522385819989456	-1.8263351067294888	-1.9676881649366291	-1.908155382461877	-1.8993525275942684	-1.690659008047605	-1.5001711659219716	-1.4506862545619423	-1.663675775939648	-1.768961085214381
-1.9364555803366224	-1.4332122735541049	-1.167587355201515	-1.8073270173062144	-1.3977704258670132	-1.4724516404963242	-1.4255921824635485	-1.4847876211460918	-1.593780856037875	-1.6313211562294707	-1.486036621279662	-1.922448512124333	-1.6614065730850984	-1.495493168924761	-1.5260782332099698	-1.5205632894080114	-1.167439528599294	-1.3708240133447556	-1.9796709401416428	-1.8794524099076173	-1.4465102242037648	-2.004096002802588	-1.420140267569058	-1.8113156376711068	-1.7027175435501951	-1.77478104524323	-1.740760495705196	-1.7595368484366254	-1.1393954718996004	-1.673127883129352	-1.6809515055771318	-1.685425502128974	-1.9541836153381764	-1.738468578663937	-1.2747201384999316	-1.9404783533650127	-1.8692392891490115	-1.6372796054766832	-1.4892106282155375	-1.5934521190392053	-1.866395580694944	-1.6537408662460564	-1.6605026884488785	-1.6423964631903465	-1.6335249943353138	-1.9642144839512763	-1.4494746709496018	-1.4237304602782492	-1.3784747347727595	-1.1410304393229709	-1.4525727528821322	-1.2115036997961897	-1.169316902941827	-1.557615396136115	-1.751345286332801	-1.5170104320812376	-1.9063294281376637	-1.7168386568321854	-2.020349680163257	-1.421734865026755	-1.9536247811465013	-1.6714283335475133	-1.1691967289638443	-1.6408370634663612	-1.4230101293472843	-1.6337496745172435	-2.056940860589283	-1.6865010654198664	-1.874651910956171	-1.976577054005352	-1.9227613179232077	-1.4269669107030545	-1.9405357513793844	-1.7189022279459605	-2.0401765063292694	-1.4711037053225111	-1.3489928018903388	-1.5893381795547494	-1.6146350008366357	-1.3566039328536414	-1.2234311800231596	-1.5708506546607452	-1.9241803415035144	-1.6777295708250766	-1.931416951131541	-1.715181184457902	-1.6791717412758311	-1.380015924173554	-1.6672904496597951	-1.4565117806364762	-1.6174057315926416	-1.818191596556795	-1.9158771072982808	-1.8597891763271133	-1.856213593868052	-1.6563405171687182	-1.4691874770775888	-1.4332308112314187	-1.631541686528811	-1.7500462899966776
-1.9009235936744344	-1.3987042355422106	-1.1411228585693385	-1.8034239222461683	-1.3706989735582538	-1.43433738944933	-1.3996207993166392	-1.473533793590563	-1.5614683805961551	-1.592859677851442	-1.4755213444107955	-1.886957787769344	-1.6194402005952204	-1.4732433976145167	-1.5044751933898162	-1.4941576706974995	-1.1468674520140305	-1.332715355280363	-1.962489119997842	-1.8468758605023172	-1.4214152022719009	-2.0248283185630584	-1.3997291157683835	-1.78360747578097	-1.6688180894981215	-1.7734950138498324	-1.7279401186439889	-1.73245128151534	-1.1121450688372496	-1.639046709719713	-1.6689904043599877	-1.667655698624404	-1.9252633134928527	-1.7123257017982214	-1.2482254906323902	-1.8973810155971609	-1.8617891981491064	-1.611491034544578	-1.4577135101050818	-1.6131209177535744	-1.83714528710202	-1.61964695909038	-1.6295356701716004	-1.6176255024295236	-1.6034524224673057	-1.9336752681241984	-1.4284416140405416	-1.396797243819944	-1.358932671076035	-1.1199715557682952	-1.4156619183913712	-1.1824939936980543	-1.1445241868541969	-1.541867515698604	-1.729183559749958	-1.485444094174982	-1.9031806985516355	-1.6935220698325404	-2.0094748457539677	-1.3973565610127097	-1.9342328260118715	-1.692947513659821	-1.1358152328180438	-1.6167502587845828	-1.3967262978548272	-1.6067620700279286	-2.028760924656582	-1.6583162555396769	-1.8484596870136	-1.957174642342699	-1.9421540546519096	-1.4015975130911351	-1.912199121159424	-1.6735545175253264	-2.0223875935805924	-1.4493382569558833	-1.33140481390871	-1.575099003859599	-1.581881893073963	-1.3264906799637437	-1.1986441188043278	-1.5347239620308797	-1.901572135107385	-1.6513802763332188	-1.9206237146284064	-1.6953962327146683	-1.6350930385985007	-1.350175461689204	-1.652156648636635	-1.4285363253894272	-1.6176137391073722	-1.8109331174724923	-1.8959637330812515	-1.817065701617312	-1.8328648531963851	-1.6221411083090636	-1.4451460877997722	-1.425539803731969	-1.6048121678432332	-1.7361269186917088
-1.8146058129922855	-1.3434785000373275	-1.0979113969928465	-1.7688856695133095	-1.293645692885953	-1.3798674787534746	-1.3476408875776549	-1.4263458589047369	-1.5211245938122762	-1.5377023727423875	-1.4168876501156076	-1.8276841268780477	-1.5509848830134	-1.4317715438898029	-1.4573575802114322	-1.4453375035193026	-1.1033282257325738	-1.300357790351298	-1.9013238241787984	-1.8073933788701044	-1.3836452588582904	-1.996214555921582	-1.3573783465750175	-1.7338760328384293	-1.6318773184923845	-1.7255220980749224	-1.681081312818463	-1.6906133257847171	-1.0623039314276908	-1.585523239502408	-1.6162522233790055	-1.6009594898113415	-1.8840198972001796	-1.6499692366453504	-1.206369553967472	-1.8397773474272736	-1.796842601820969	-1.556438022987444	-1.4057352195785473	-1.586129951719771	-1.810481366014293	-1.544327207732773	-1.5891659219586527	-1.5727968841482054	-1.5495100803549329	-1.8754416361656916	-1.377163911894399	-1.3503342988242364	-1.3112231941207244	-1.062209059707269	-1.3636590524980703	-1.1365466162761226	-1.10389545115724	-1.5030027381336553	-1.6754676392174404	-1.4365383943435852	-1.8578903567923584	-1.646986982161728	-1.9534718761044088	-1.355549253209256	-1.8790204636740828	-1.636401361533886	-1.0884000922465775	-1.5768624933081448	-1.3472390492935438	-1.5628159043881031	-1.9644445117159892	-1.593441833705045	-1.7904334331575902	-1.898987965971092	-1.9163330665969027	-1.370793533528343	-1.89038643865656	-1.5978735707498817	-1.9535736697176855	-1.397406069789576	-1.29012122835847	-1.527230075011233	-1.5266048148184497	-1.2814247164246455	-1.134862568150996	-1.4836230714124177	-1.8543605032937531	-1.594827680315139	-1.8731933414447175	-1.648116191319938	-1.5843721534396813	-1.291134159953931	-1.5915074251773111	-1.382054905138181	-1.5575684770582945	-1.7670050591214366	-1.8401754837835176	-1.7471238452725268	-1.7655396965902852	-1.5555562384050825	-1.382425829570144	-1.3683784967354162	-1.5476774675153466	-1.7042183386118774
-1.7570338557827607	-1.2794361084826755	-1.039190635461926	-1.7286852298885749	-1.2217501619207607	-1.3129253615079186	-1.2938482769009405	-1.3752560908418523	-1.4506633082675793	-1.474621998171694	-1.366292122621583	-1.7612712935962895	-1.4761835163484505	-1.374309238340352	-1.4030452234178017	-1.3670247313372057	-1.0352134295411284	-1.235109294099454	-1.848406575291965	-1.7703463546063374	-1.313019389038417	-1.968039823861796	-1.2903798646778102	-1.6903472537333657	-1.5792757895409653	-1.6646736436560856	-1.6425248752668302	-1.622676059435587	-1.006773992266269	-1.5332469876425088	-1.5694537024212083	-1.529688823042278	-1.8468062268204588	-1.5819866882155122	-1.1225334590696223	-1.7873777284713896	-1.7626439438509698	-1.5008838300831735	-1.3345074296456316	-1.5329803973312608	-1.7715096353643085	-1.4808245820868142	-1.556218988195841	-1.5199047911836103	-1.4812377150089928	-1.8117884167457767	-1.3123196372915515	-1.2834877621213348	-1.2528296470462164	-0.9966864821597	-1.2864340749262364	-1.0708994813203674	-1.0395997449645895	-1.4752856579996003	-1.6305104764975795	-1.369837286016749	-1.817578729465573	-1.596492811332329	-1.899401938186585	-1.2924769867467936	-1.826212836239043	-1.5886576116477675	-1.025053977372474	-1.518005903319691	-1.3002599363569587	-1.506069927253754	-1.917468584461807	-1.5264772566428717	-1.7494233325862265	-1.846031203232668	-1.8808063224311564	-1.3215973750565722	-1.84335858201362	-1.5229294319493765	-1.8991230552399376	-1.3237853753767874	-1.2353931350513438	-1.4816449479487317	-1.4772164472842717	-1.2150200870337478	-1.045153138024296	-1.4215411220375118	-1.7929266694726929	-1.527438437470543	-1.816902491397789	-1.5945492051536323	-1.5423344908294028	-1.2309012584869394	-1.5408345504713692	-1.3182433280436106	-1.4923448231024368	-1.7260710741986958	-1.7674108447493784	-1.677895725102264	-1.692519319140259	-1.4948672772191047	-1.3223610272704196	-1.3203966923285964	-1.4824439211268905	-1.646141688555975
-1.6915582569929457	-1.234760765358167	-1.0118933821579084	-1.696015796436282	-1.1823529538556643	-1.2765818759585663	-1.2592913589422283	-1.3506930333755474	-1.3989112795993406	-1.4246514048008414	-1.334288699725883	-1.71189347450131	-1.392495658334424	-1.3469058012515809	-1.3739397755259697	-1.321534272751808	-1.0202584633284768	-1.186886623741004	-1.8052449636032544	-1.7222499024212934	-1.259687194814143	-1.951179736065365	-1.255747486330257	-1.6405144241194862	-1.5516430265565884	-1.6205399325866057	-1.59352438110651	-1.5667678523343782	-0.9798180583771176	-1.4712061163988397	-1.525834444481405	-1.4681272845704536	-1.8158991134337323	-1.5312956891299203	-1.0794581851402822	-1.7349322433425172	-1.6946996038873687	-1.4527635231763936	-1.2938608949720225	-1.5404855671428146	-1.728904123226085	-1.4272969985727522	-1.5095541750859538	-1.4703038375165247	-1.418229489434483	-1.760089594916027	-1.2620448395980788	-1.2619307553600216	-1.2158123599676576	-0.9640898940384026	-1.2400007704730194	-1.0367173432434489	-1.0075809485095364	-1.4246622895250651	-1.5838789462839986	-1.3432115244925158	-1.7816689586724526	-1.544202130555178	-1.8435941921909649	-1.2582496771388827	-1.7733907383531236	-1.564222854954643	-1.0015207582497152	-1.4647211522215458	-1.2565261997679784	-1.4618192782093034	-1.8555245377550167	-1.4736119645469508	-1.6951994022435082	-1.799157216333955	-1.8586361392670303	-1.2713836000920722	-1.8038366204495029	-1.4435509252440688	-1.8522656158449005	-1.2878428145258067	-1.2088177314184516	-1.4357687887307673	-1.4332538754119584	-1.1855734528891086	-0.9784556569155848	-1.361721427713752	-1.756135973407651	-1.4711243151208355	-1.7753044639327442	-1.54549538536001	-1.480147454921559	-1.1892946557366133	-1.492994785517776	-1.299031101585609	-1.447433115421402	-1.700785898407639	-1.7111762179807226	-1.6437840322279946	-1.6349555721697306	-1.4519335829652795	-1.2855202223396356	-1.285282294736081	-1.4533266891239538	-1.610084070800901
-1.5870297662578776	-1.1538776592084807	-0.9316584623315332	-1.601467678244923	-1.0747267116397918	-1.18321529044713	-1.1722355809604648	-1.2583836073346957	-1.3011679597226349	-1.3184002382004996	-1.2399587326332926	-1.607620007075186	-1.2870231441461792	-1.255395203197455	-1.2777891324568065	-1.24050086163953	-0.9363949271276384	-1.097857071516357	-1.7039776474686426	-1.6449241796061431	-1.1707254652910248	-1.8547976301835565	-1.1728301884460235	-1.5379760922858812	-1.4672363945171782	-1.5342517911977605	-1.499583570649975	-1.475420858151823	-0.8883235934242663	-1.376846849670622	-1.4479313979696944	-1.3617056959925775	-1.7320515523036784	-1.4218172835371607	-0.9969737013457948	-1.6261051377106988	-1.5905903202095155	-1.358503200586542	-1.2044044869332018	-1.467960317827539	-1.6416148541819466	-1.3042004174823163	-1.4196108337064486	-1.3751786874762515	-1.3181115994905277	-1.6645369165652733	-1.1710574009989227	-1.1630532062208123	-1.1358358446693655	-0.8893232578522968	-1.147316337490509	-0.9556281876609598	-0.9332031444893992	-1.3296072536470012	-1.4905456378792148	-1.256235522663125	-1.6900495437141798	-1.4440252487933185	-1.7403255657365253	-1.1718917805482445	-1.679922776954234	-1.4731503287577947	-0.9207854531268	-1.3753644027701923	-1.1668092372064327	-1.3663680689410005	-1.7574850372544353	-1.3906383492482657	-1.5945501233875712	-1.7055029788538043	-1.765720908547311	-1.1873252193671342	-1.7181723184217488	-1.3447019062830674	-1.741918240911516	-1.1992740403129496	-1.141309021123574	-1.3488481268041932	-1.3337758082924531	-1.1015095266003885	-0.8945599155869415	-1.2698122147899062	-1.6648111627303583	-1.374118426661404	-1.6745520209917868	-1.4466053869495008	-1.3764214522044815	-1.1034028845744992	-1.399675643796542	-1.217778673032851	-1.3575420382255077	-1.6052386846512243	-1.6160193798451938	-1.5403211462341428	-1.5294028294065458	-1.3540542973046343	-1.2014240280242867	-1.1932654422209958	-1.3441582430162944	-1.5123192781732258
-1.5285495888350762	-1.083030183232374	-0.8587738856885119	-1.5395244661187837	-0.9998777897147276	-1.1169596196149434	-1.1125741334025556	-1.2047576609461272	-1.232595452743213	-1.257110861587469	-1.1860191659593684	-1.555681576196703	-1.1991986676628406	-1.2045275211995172	-1.2214722202895747	-1.1684989490510982	-0.8688437526133582	-1.019467229425323	-1.657994889311054	-1.5783487942700185	-1.088142552262495	-1.8361330629416115	-1.114826539084111	-1.47997922010864	-1.4162064305522075	-1.4830254948687291	-1.4428276827963624	-1.4122710692839633	-0.8139663321980134	-1.295538349441177	-1.3910006915551998	-1.300342312283411	-1.675400525109038	-1.3542606275918128	-0.9249003139750966	-1.55906582668167	-1.5261148595972247	-1.280718284445788	-1.1308721292105646	-1.4423669941928294	-1.582156307761439	-1.2284037318399794	-1.353774383072239	-1.3133972855538725	-1.2369555913528536	-1.6114067287831817	-1.0884214314295408	-1.099250242688669	-1.07494961250489	-0.8086075990994259	-1.0822165478752173	-0.8875375753433596	-0.8691157009820069	-1.2493468395207	-1.4307522818687948	-1.2202317864373746	-1.644769585159237	-1.380685097731461	-1.6956055767171347	-1.111075430251223	-1.6296841309175425	-1.4316319672868656	-0.8455853767926546	-1.306954511300152	-1.1131955142380447	-1.289516042690624	-1.7066839714761248	-1.3232999002450734	-1.5344683349628665	-1.6596530844442816	-1.7367534193627678	-1.0985310972588516	-1.6712068936646949	-1.2844361987517154	-1.7038249448251512	-1.1343521530008762	-1.0803153953433298	-1.2904419145385777	-1.2666659991673983	-1.0339786740998067	-0.8049507765588937	-1.1894731481979073	-1.6209434229636013	-1.3022560511025718	-1.6328321319885586	-1.3849295986961396	-1.2989951150569594	-1.0268605566499196	-1.3495948115754246	-1.1612827034906297	-1.3119504980866383	-1.5764329236174164	-1.5613588924529964	-1.4744146052898448	-1.4710689966367296	-1.2877053576352573	-1.1323207613156885	-1.140489613388041	-1.278266175772698	-1.460317771630655
