sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-1.512150343180967	-1.4709007597234958	-1.5023159413666705	-1.5196115500101883	-1.5283060933564745	-1.3143597699114589	-1.3120944136640724	-1.5197524732936185	-1.481665852451812	-1.4741023359038308	-1.451763063661399	-1.5162492275446324	-1.5102579793491406	-1.5202599982426124	-1.313257612668951	-1.514688287295121	-1.426843440070115	-1.5075822934966931	-1.460983146052317	-1.4852009029417812	-1.3019966715528226	-1.440528073415862	-1.3152050860290627	-1.321962393973635	-1.5171459019596785	-1.5211954857438892	-1.5151295129989388	-1.508169528240478	-1.3666274036872892	-1.5278271374916272	-1.5164938582174825	-1.5198248158072465	-1.3144185113868876	-1.5178675023038803	-1.2943392521406707	-1.5420838391589364	-1.5120053772476407	-1.528253374603035	-1.5181056243307556	-1.5170206827363195	-1.4667403907645846	-1.6358401796931128	-1.516238897843602	-1.4432868155394374	-1.6839882739072325	-1.5120497204676795	-1.4781136740173089	-1.4750436210775293	-1.2988864993159244	-1.3141176148494296	-1.5217260043093137	-1.290734639352343	-1.3707978054068697	-1.188540638653517	-1.5052203955764054	-1.5134512866249832	-1.5053637781810516	-1.439326808089953	-1.466818184158168	-1.3223246619345992	-1.4390324947441888	-1.5112329175085994	-1.318140440240401	-1.3010004330317344	-1.4628130902941407	-1.3219290874078489	-1.5274129352678132	-1.4758978344045106	-1.431465374954733	-1.2968923270900103	-1.1926616346020666	-1.3105096720076077	-1.5250728531861384	-1.63905508222081	-1.5073766197636007	-1.515135065298028	-1.3121849086357873	-1.519307789433243	-1.660710375951206	-1.5400721935382382	-1.5074250049901936	-1.3237325484230549	-1.303224250176824	-1.3135145150082284	-1.1776638822869263	-1.5161563750573623	-1.3018226146409777	-1.312900675062664	-1.657216628878692	-1.5109936312844203	-1.4556986083310846	-1.5170637019073123	-1.4741835629434723	-1.315625296957073	-1.3160315920654184	-1.5102515455577945	-1.3224188752244133	-1.3209175567809943	-1.5186300756658615	-1.4496361923941272
-1.492346715861204	-1.4544246778972754	-1.4854920294229197	-1.4873109436710696	-1.495185353562591	-1.2791212802788343	-1.2975207854323814	-1.4742029156218734	-1.4475028379190933	-1.4353127323046246	-1.4396825219767868	-1.488025413962423	-1.486121692144719	-1.4952055897726408	-1.3150699017148288	-1.4769539865777834	-1.39356635691493	-1.469384575637516	-1.454955918398549	-1.462966131302799	-1.2923555182523625	-1.4188356871182626	-1.295205662721599	-1.276832219966732	-1.469133750382101	-1.4808430037381286	-1.4690872486915143	-1.49406770074965	-1.3188380831453048	-1.4832463098830104	-1.48451216560793	-1.4995641174713648	-1.3100558702209364	-1.48936033455152	-1.2836871714426514	-1.4908687781562415	-1.4911840180166973	-1.4926570598003552	-1.502112542813591	-1.4898375146241774	-1.418031676077282	-1.612968993799657	-1.4767900934258156	-1.4287325742274413	-1.639921972278958	-1.4939453141607737	-1.4505559267770394	-1.4301795172863692	-1.2946100248397778	-1.298125282238218	-1.480837868790669	-1.2846313363606594	-1.3570120787426696	-1.1581581221626835	-1.469346032457013	-1.4721059024665015	-1.4755287945767448	-1.3933362806002867	-1.449338074123253	-1.2917315891060477	-1.4112267233139475	-1.4578213534509028	-1.2734210941335846	-1.278165392797442	-1.4629324881580432	-1.286470417782955	-1.4802669441934282	-1.423724336320423	-1.4066085332506828	-1.270028205952679	-1.1491848351720524	-1.2953008881691512	-1.49693030509299	-1.6068138299188433	-1.484749603535078	-1.486233519539394	-1.2829011862215762	-1.4980546760620466	-1.6223884355926297	-1.4756020371130432	-1.4881264914943575	-1.2926275222122847	-1.2715547057691563	-1.2919301147026594	-1.1552003799272446	-1.489964465727036	-1.2755305667223082	-1.3006710955420022	-1.6429632028313597	-1.484300776150439	-1.4493212418786665	-1.4881230400168397	-1.4626411395539016	-1.282108450336749	-1.292867709566969	-1.4816681445929634	-1.284320784342941	-1.2758358382031536	-1.4868553939803986	-1.4332955923506678
-1.4497389448811908	-1.3959675139560466	-1.4291439602024545	-1.4445317296270652	-1.4522364084188342	-1.2381374864138062	-1.2450397445395596	-1.4557183565290726	-1.4088220432230625	-1.3979537390741528	-1.3751869569300212	-1.4567698298417615	-1.4514337318938677	-1.4593337978044734	-1.2401088861084175	-1.4609491564089183	-1.3552177697321972	-1.4459513958913166	-1.3993447243643398	-1.419433084888975	-1.2344315275734323	-1.3663474216369054	-1.2451781685123051	-1.2317708594917378	-1.4487567103109802	-1.458107065191906	-1.4551635584363256	-1.431562152698512	-1.2857982249127924	-1.4596662091512955	-1.435393558068968	-1.449761341832224	-1.2462329718599885	-1.43443270657988	-1.228211888994989	-1.4508755151168884	-1.4422921038342718	-1.4499848338072825	-1.4366512595270788	-1.45660780507795	-1.386504743560189	-1.559044757302024	-1.4555402558462116	-1.4037863394402352	-1.5796033982026385	-1.4362098930723122	-1.3931813846388108	-1.3883042197598914	-1.233170368623026	-1.2603097477032703	-1.4374582057246046	-1.2334290462186273	-1.3085869587761945	-1.1158694642713305	-1.4450465317243393	-1.4304388844203892	-1.4475186798860222	-1.3845280328174272	-1.4135414462000928	-1.2580112999607274	-1.3839439928717785	-1.4334171473222277	-1.2581651125869673	-1.2367007313959568	-1.4052126666104083	-1.2390381428569153	-1.4516818061175167	-1.3865352534882185	-1.3788984218103522	-1.2342952746681737	-1.1140137041910771	-1.2386817850681753	-1.4562324011615877	-1.558124274154062	-1.4484883486152018	-1.424428831504912	-1.2272721943616194	-1.4425946026697491	-1.5669138844847448	-1.449632457330371	-1.4412149972849333	-1.2532770274388192	-1.2437216122578452	-1.239039972791625	-1.124098384411597	-1.4436969749199338	-1.2255016239199603	-1.2588281832379984	-1.5716405274454988	-1.4625605157929784	-1.4027849297724366	-1.4323200556603384	-1.3977023778652156	-1.2418795174803188	-1.242237055041449	-1.4346668727923753	-1.251319995111984	-1.2273762099916194	-1.449677344258742	-1.3936824354344115
-1.359103553370021	-1.3033479503098278	-1.3431282479113151	-1.363069173963293	-1.3307121801081454	-1.135562297386488	-1.1466432631941454	-1.3576025360032593	-1.2843408663371565	-1.2873186292196117	-1.2758356824588633	-1.3581220372547098	-1.3286589677068628	-1.35418215313992	-1.146836139457948	-1.3465077398505405	-1.2709099857462494	-1.346932550521597	-1.287022212001507	-1.2953250364122637	-1.143104110866744	-1.2842248002182175	-1.1504147435592949	-1.1289916111538938	-1.3439123880875994	-1.3536839259347666	-1.328698977975313	-1.3376601210048964	-1.1783467862526995	-1.3569595969024146	-1.3255696521166136	-1.3614130042572896	-1.1506653136353682	-1.339392343845968	-1.121911247823468	-1.3535995069718183	-1.328386259031708	-1.361801441128123	-1.3352725087836874	-1.3614618699093746	-1.2960877979198564	-1.4279042116402916	-1.3552219535675234	-1.2734027822010154	-1.4503858138828871	-1.3699339927725844	-1.2864215426144248	-1.277482370620439	-1.1354705209969873	-1.145238290296283	-1.3271154888469712	-1.122098472428798	-1.178791317741811	-1.023609537264524	-1.3508707248407446	-1.3136280901316535	-1.354897603145368	-1.2694458450455235	-1.2968854339846891	-1.1364536893028203	-1.28600265277212	-1.331204003414887	-1.1564278387193256	-1.1375014649426372	-1.307016448310209	-1.131870540363033	-1.3421495070088405	-1.282122217778186	-1.2844659079006395	-1.1169318264467367	-1.0144680552723837	-1.1482729883823757	-1.3666172912089136	-1.413716674759368	-1.344507291043661	-1.3194684054052923	-1.1285083668258091	-1.349830729063514	-1.445182213284137	-1.3622001295032335	-1.3522169406031794	-1.143718881953471	-1.14077189256068	-1.137511311023663	-1.0134276430302127	-1.336194185700836	-1.129317081352196	-1.1543528047913567	-1.4411442794639486	-1.3530579295795997	-1.2959173283521048	-1.3189943853195174	-1.2896651240986683	-1.1354894604896095	-1.1412128194197677	-1.3299640166076134	-1.1359068352012591	-1.1314346085938085	-1.328493997287179	-1.28161691078642
-1.294753430494633	-1.2452389763742189	-1.3055956339112167	-1.2943973325298113	-1.2567473043652324	-1.0831739580441178	-1.0927124342376089	-1.2997923104952391	-1.23654990799373	-1.249574771343731	-1.2346565194063428	-1.301841943613641	-1.2948352392317857	-1.3004940098753612	-1.0947542302460411	-1.2825078084001358	-1.2138241905252225	-1.2866523389529818	-1.2198930866584257	-1.2245190607085434	-1.07536711598792	-1.2191177996329106	-1.0834382753953886	-1.0741682751283252	-1.2974632160780444	-1.2876967561691517	-1.2949748666836192	-1.2661213947733492	-1.1389572963713126	-1.3014244874501646	-1.260703781318457	-1.295757531882994	-1.0846357054747302	-1.2588173631241646	-1.0722370043526277	-1.303480413201196	-1.266980657677402	-1.3087923888902553	-1.2376877832099484	-1.2978619396194655	-1.2337917238209084	-1.3463562158466522	-1.29817397227939	-1.2217419005038346	-1.3539076458449888	-1.2910306321087646	-1.237315206489261	-1.1935847075377213	-1.0847817016169463	-1.090074565191813	-1.268400268094905	-1.0873805133386616	-1.0936448730187134	-0.9645512037596576	-1.2892269952617892	-1.2570694357483672	-1.299215327412573	-1.21325483372956	-1.2324861687931468	-1.0946487155382283	-1.2316169955137466	-1.2478942254648733	-1.0979996010736994	-1.0809172425302949	-1.2420131249586863	-1.0866384075228763	-1.2597189562526556	-1.2418406611599286	-1.2124664918701669	-1.075192699805338	-0.978007380500326	-1.074940581596213	-1.2980519124100158	-1.3320600228271	-1.2779144138992786	-1.2516483119057953	-1.060351843002499	-1.308983446681182	-1.3684799326507011	-1.295794879759033	-1.2915388029500074	-1.096253929755013	-1.0883473391291212	-1.0825315049144166	-0.9595002302410464	-1.2690732867641612	-1.073188157372117	-1.0944341487062297	-1.3556413517553638	-1.30407144083937	-1.228928147152299	-1.2538993813919634	-1.2375703820988009	-1.0849468614566902	-1.084013304508424	-1.2539092888719323	-1.0666189951467204	-1.0803726717115254	-1.2666556860846931	-1.2321041592895503
-1.249317971059268	-1.176737913360339	-1.245204516947173	-1.252544243843976	-1.1988719760001696	-1.0319679931769037	-1.0287082834897112	-1.260773420902702	-1.1869465899935616	-1.1933603580155314	-1.1609022657591248	-1.2591089291835955	-1.234195368201906	-1.2548829185878068	-1.0506685183536488	-1.2463595640778584	-1.1604691705347727	-1.23461341303366	-1.1714107773011455	-1.1512591339116551	-1.017912458734581	-1.1877574407161635	-1.036490866298466	-1.0223392728727403	-1.2486298631543165	-1.257728974874297	-1.2413099097428182	-1.1971007180783189	-1.077798761498146	-1.2426974931187422	-1.1918167307204464	-1.250001750317587	-1.0315957259990551	-1.1920364010779612	-1.0302610530036704	-1.265628366983338	-1.1904923550666675	-1.2485632291016124	-1.1938586469607395	-1.263651742960928	-1.178873067271758	-1.295916603163291	-1.234712424824449	-1.1775115236289468	-1.3048371691964848	-1.2420064956986547	-1.1849856341100895	-1.1282839210939108	-1.010376585824762	-1.0231090411048356	-1.208702806806217	-1.0188816922919917	-1.061709507181679	-0.8841076611808808	-1.2390150494432624	-1.2075570454873363	-1.2392159561659706	-1.1720061591820217	-1.167438255427004	-1.0305564516259895	-1.170132908042359	-1.2011200945895204	-1.019710036837339	-1.0229565033776624	-1.1857647010619938	-1.01903800074694	-1.1994244914921135	-1.171019935873024	-1.1685665735165185	-1.0174550377834468	-0.9018276509687698	-1.0278389713713765	-1.2675568670443762	-1.2596997280790785	-1.2450032852030626	-1.1834585296857685	-1.0316420533249908	-1.2541791309169972	-1.304935459730793	-1.25124244510879	-1.2268998821344863	-1.0330256202946837	-1.0307825621717828	-1.0366967068086057	-0.90452931372841	-1.2105115144677794	-1.024634156919228	-1.0204750647480918	-1.3043448760436165	-1.2600514270798917	-1.1833443195128088	-1.2001338670374588	-1.1772873471914385	-1.0329276212894434	-1.0377428369306472	-1.193887199665481	-1.014535450402798	-1.0240025846582297	-1.2184783296870243	-1.1841941688887514
-1.2027023441096465	-1.110824462209333	-1.1889042789481912	-1.190721172957041	-1.134334261430663	-0.9749584944399646	-0.9724749996278168	-1.2075214541271724	-1.114109433097669	-1.1176750239257354	-1.0964938633016554	-1.1771726849811628	-1.1972148853568756	-1.2018474071669725	-0.9837749915971294	-1.1913029969653752	-1.1215884531652034	-1.1843831786314571	-1.093814381520513	-1.099220747782728	-0.9657618886233168	-1.1439004497569367	-0.9592229996901568	-0.9682853798365252	-1.1918412822005182	-1.193669631797471	-1.184580924118505	-1.1448690223983158	-1.0190431594742726	-1.1972320973936856	-1.1299474354703265	-1.2012311117721612	-0.9574882087670236	-1.1379229539063718	-0.96492551941281	-1.2041658433190314	-1.1412841715639763	-1.1974599028466066	-1.1216149134126214	-1.200741859440494	-1.1312119550838982	-1.2078822912632452	-1.190589087890148	-1.1175799671799345	-1.2221740954330458	-1.1866899637969686	-1.1193713184687883	-1.062910320952573	-0.9550645782535684	-0.9781406705522312	-1.130000766972286	-0.9784849804752906	-0.9842492577044372	-0.8423805204429725	-1.1809935953751844	-1.1442806099934952	-1.1854685586361704	-1.1323514661039418	-1.118537840123907	-0.97526900527258	-1.1186731222165849	-1.124734984653259	-0.9775053511966946	-0.9687662986283062	-1.1204545482367287	-0.9768132590840398	-1.1373782687958691	-1.0973869446936677	-1.1364998546928478	-0.9447938293154942	-0.8541475025925596	-0.9699714320103324	-1.1875545727402046	-1.1946343984036272	-1.187920617304481	-1.12516172074945	-0.9573221133827032	-1.1951008412305404	-1.207757103476282	-1.192873049375654	-1.1820628443567895	-0.9915651250479658	-0.9627521205562866	-0.956879651819272	-0.8521168972545616	-1.1211980101840848	-0.9660609456989876	-0.9616054317428524	-1.217706406536475	-1.1851298694570296	-1.1120161025227255	-1.1312117769912513	-1.1297352220810335	-0.9502766933312408	-0.9638783041053708	-1.1153566110937465	-0.9520817087184704	-0.9525760168255268	-1.1274546362826916	-1.106365021277807
-1.1200964876546635	-1.0347339805898246	-1.120497862004655	-1.124527201546261	-1.05907929768185	-0.903575650219306	-0.8895653121831564	-1.1147202966860736	-1.0405634990747683	-1.0443928741327129	-1.0407612579975118	-1.1331706074653252	-1.1253178306522886	-1.119553340995005	-0.9088482755017582	-1.1271013782357866	-1.06712415797724	-1.114950630420907	-1.0289381322984	-1.0175357678674444	-0.9006108918983087	-1.0814283380157528	-0.8927415506646158	-0.9052763962941414	-1.121118507085762	-1.1267868142646769	-1.1103807075863794	-1.057044520812747	-0.9362660948895888	-1.134748238372415	-1.0531065575748404	-1.1321563218986783	-0.913961059084841	-1.06208462010235	-0.9056251134198888	-1.1281611107107867	-1.0470643146807126	-1.1436075135029402	-1.0494098281374469	-1.1104133232260978	-1.03241572951409	-1.1227353982124042	-1.1297118908392103	-1.034384654136314	-1.1313208555460277	-1.125119306095555	-1.0546948399647462	-1.0042203967816403	-0.9027671922403504	-0.8935058446787744	-1.0461950372155706	-0.8852242004787378	-0.9263503312078905	-0.8066128988823031	-1.128652958312442	-1.05247347416809	-1.1051132336363254	-1.0615065810893058	-1.0454469225507537	-0.909192498855349	-1.085455773937008	-1.058176451184258	-0.898845323133552	-0.8932853284681391	-1.0527355159314091	-0.8867740922716656	-1.0543176570001351	-1.0293048894692594	-1.064525731344499	-0.8848685608620664	-0.7850705715532471	-0.8952676412533719	-1.1285245697572726	-1.088480455868529	-1.1174509703262148	-1.0456813630453834	-0.8977626680869468	-1.1224640823231402	-1.125644488055191	-1.1273159234977532	-1.1226060466044867	-0.8913158246665819	-0.9064977388962184	-0.9104551477879766	-0.8092707281681882	-1.0672798356296072	-0.9001367445251306	-0.8920735276357634	-1.1208261736430989	-1.120677985388321	-1.033982506676542	-1.05826839688304	-1.0456463234036613	-0.9040143882591472	-0.907542258935122	-1.0541429950316674	-0.9049244292600194	-0.8852985093916561	-1.0479847136933893	-1.0303583302740498
-1.042145209936442	-0.9665158462614406	-1.0368023406196545	-1.0615437895681412	-0.9839804399442952	-0.8205396535845374	-0.8251678168738351	-1.0566452679374756	-0.9653404461799502	-0.9761546321446763	-0.9589991895164108	-1.0417177902640151	-1.040752503024155	-1.0521479976660817	-0.8219540390957712	-1.045910245222878	-0.9986852588215828	-1.0489711201868148	-0.9552709532134308	-0.938919313334039	-0.8167889630587251	-1.008472163189292	-0.8364868467079993	-0.8257142544926945	-1.0539361677488477	-1.0725947045494992	-1.049116195987984	-0.9879655386451908	-0.8992653801415542	-1.0342601083179783	-0.9645183189335615	-1.07086949738615	-0.8322866223657247	-0.975624213081294	-0.8181231896755902	-1.0462902294509833	-0.9802833159972832	-1.0615039357097742	-0.9747335465420308	-1.0357495633192912	-0.968471046666176	-1.0373408399673183	-1.0401912524767412	-0.9551113555317888	-1.0548394534989816	-1.0473841287109915	-0.971618407688194	-0.9337262357726	-0.8311238324834126	-0.8336594711889319	-0.9815382712421176	-0.8294007573735696	-0.816415266665253	-0.7171111357551203	-1.047834039681654	-0.967287679429808	-1.0493221137372146	-0.9979518509846916	-0.9848473101028984	-0.8328117183366602	-1.001807489828263	-0.9691734343307437	-0.8203596866320252	-0.8258454693086265	-0.971134902825306	-0.8246833985494932	-0.9728943413405132	-0.9590136558295262	-1.010508647947871	-0.8120863375355439	-0.7047815424471299	-0.832233581749505	-1.0559553135779431	-1.028753964256846	-1.045183306835895	-0.970415696109832	-0.8230341539985538	-1.0539100742766965	-1.0612510610816182	-1.0564803547187034	-1.04479177530578	-0.8341760540333026	-0.8139329679625746	-0.8318232710732397	-0.747546634376425	-0.9786125063389036	-0.8175044938726073	-0.840781801804074	-1.045215086545051	-1.0519413668422772	-0.9722094035314548	-0.9865049245396867	-0.9542470739656168	-0.8203422546467937	-0.8268947833772855	-0.9797490083973724	-0.8401044202383668	-0.8182951118251158	-0.9839673337741096	-0.9551361379654948
-0.9789691005774532	-0.8825081141338145	-0.9690028920414452	-0.9853417827965212	-0.9161815866335632	-0.7599638401971046	-0.7627224971022208	-0.9965827982061416	-0.8877653955298398	-0.8941202293386837	-0.8870488795482402	-0.9870633084665767	-0.9690519428302952	-0.9730509453608004	-0.7514274120360827	-0.9774097790020372	-0.9273965537235964	-0.9602250136043304	-0.8839334500526599	-0.8576643628073382	-0.7635873088143239	-0.9385893368050252	-0.7470112257121536	-0.7528913577606471	-0.970736143299898	-0.9806168613111348	-0.972936171858318	-0.9075867392389176	-0.8147704695065615	-0.9840300545893768	-0.901899664316443	-0.99231031212695	-0.7745306661352979	-0.900750119081974	-0.757869558732143	-0.9901980483043976	-0.911971667151618	-0.9873224200349978	-0.8893512409877974	-0.9821674901939909	-0.8806474276769071	-0.9625848036740072	-0.9691453580562752	-0.8811077357373187	-0.9535097212615772	-0.9837124570369074	-0.8791798284878857	-0.8611009120716447	-0.7494692345594066	-0.7553882360519814	-0.9107917453751532	-0.750954546154867	-0.7113317520477898	-0.6751482412254071	-0.9726966007428812	-0.8968204966838629	-0.982595635180111	-0.9427002621774336	-0.8809547171606811	-0.7489975003885034	-0.9474418967497912	-0.8954941966363457	-0.7584746038209778	-0.7429759056179603	-0.8980025899233051	-0.761129603528103	-0.9045879893936408	-0.8842588256871408	-0.9533830654134936	-0.740050302346427	-0.6710287978123993	-0.7732518925278987	-0.9820754094070432	-0.9280734549768276	-0.985722648642374	-0.8959995672407673	-0.7512334659059969	-0.9925341925510168	-0.9526001536592325	-0.9872163425946272	-0.974427933229416	-0.7554826406122164	-0.7474003255495973	-0.7603269262481867	-0.6846951331838819	-0.9198461222128906	-0.7420889825218621	-0.7574887404364952	-0.9637279946770064	-0.9831390746898658	-0.8885367979536974	-0.8961426082199574	-0.8922599159929964	-0.7656472887104522	-0.7670633184128391	-0.914913005036634	-0.7619735711274597	-0.765566544316964	-0.902471465611132	-0.8919184721945064
