sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-2.9908350081499098	-2.747240102662226	-2.1459827313681	-2.414178306158306	-2.946405988167486	-2.209466570758721	-2.351812899737191	-2.2275628708752238	-2.421239225990746	-2.2993953684450688	-2.703409788928352	-1.9950269154799023	-2.450295118234132	-2.4642505932335275	-2.2523550020886005	-2.8801145445738574	-2.33534488224471	-2.4184364680044084	-2.422055106270619	-2.458972309436211	-2.438886117070937	-2.4625850024207034	-2.411739900941387	-2.4460977468892	-2.218991676882645	-2.1174136883141648	-1.969750214864483	-2.1626107304665414	-2.918724260346966	-2.3088693727034344	-2.2773653216733334	-2.2421633678674797	-2.237855671553001	-2.2918505142367165	-2.9951412862349227	-2.2568454576362997	-2.069485485188939	-2.495415628699672	-2.302296211805919	-2.3029946328699182	-3.0477804044730394	-2.918656588189691	-2.4452626423254125	-2.2398906083205627	-2.6735528018430617	-2.3138740518146044	-2.4216013443278266	-2.948593475287967	-2.1491689382689447	-2.3832532380720624	-2.781187806294522	-2.683831839414854	-2.1424020226383336	-2.2411834778272004	-2.45837302522186	-2.1229513841136467	-2.6382876142075755	-2.419473810729047	-2.235449365170375	-2.2036274334985366	-2.2538013522521547	-2.344705015698216	-2.433424716240988	-2.329904218104442	-2.3653165847004254	-2.3344673801399725	-2.300631378815193	-1.6109490786233562	-2.450703755430909	-2.307463904584244	-2.213254174604796	-2.494392745025133	-2.2879351762446105	-2.418189759421808	-2.456048056458993	-1.9308853124563072	-2.453350643514121	-2.4829109456219	-2.222561978093321	-2.062630272726212	-2.3279621396565	-2.103117349220226	-2.318849644684613	-3.0662339677060437	-2.2521672460427857	-2.41334027796078	-2.758414179364149	-2.297740459702671	-2.236794318318297	-2.2878688645113097	-2.2343006462426698	-2.2149152822284046	-2.2415742486090777	-2.666410912040616	-2.2934385958724035	-2.4888259941822626	-2.1128397205778056	-2.265277670101611	-2.493545122667207	-2.249389983212077
-2.958284439402195	-2.707487759128009	-2.152253361644473	-2.387264202063207	-2.900888381406568	-2.2688276557084963	-2.3690180726397654	-2.224711264471024	-2.4119804910813976	-2.3042753626776653	-2.6475843550143487	-2.037808179809455	-2.4626159814983035	-2.454778431430711	-2.1922710438270347	-2.845212866545779	-2.337679142389928	-2.4390491848581264	-2.3933298049677045	-2.4376287016193188	-2.464512717960152	-2.4611764953082687	-2.419563260614385	-2.442962703098435	-2.227328916831849	-2.10774145748808	-1.956442067228573	-2.1123266794148767	-2.8931610636223604	-2.3103682793224576	-2.2834735551678262	-2.2435283382678457	-2.2581211264986414	-2.2879296796033155	-2.96594469332208	-2.2332149406091344	-2.1154403590256456	-2.4551805547213457	-2.3074692368572776	-2.3006749644209616	-3.010387418583856	-2.887539491492052	-2.4638534953132143	-2.2268127059969065	-2.6222511247079345	-2.320635460367087	-2.4060064899425013	-2.9122380793411105	-2.146105321340828	-2.4187505612528173	-2.762128886732415	-2.6543689909532104	-2.138608291184516	-2.243819754984254	-2.4885567436977167	-2.0769949513196644	-2.641935012163356	-2.4217322107657093	-2.199759458643228	-2.2572871932130574	-2.253202163995675	-2.349594177689508	-2.448984714377447	-2.3065378024189447	-2.344517478335872	-2.329460379628842	-2.307514587953845	-1.6064632264134653	-2.467256231489482	-2.292638329648048	-2.202250162557748	-2.517367911000397	-2.28947924522693	-2.420780300148274	-2.457130173535377	-1.9864773135549447	-2.4452600537231537	-2.5081072288199966	-2.258446297628172	-2.0877391728925976	-2.338419029278332	-2.10959014363819	-2.3120504801350097	-3.012869536138977	-2.268780551227065	-2.4065531826825777	-2.703384107123479	-2.3079340341634094	-2.2385875583790296	-2.2802698431862667	-2.2637048384681657	-2.2379916475287067	-2.2335950730307594	-2.602358684711783	-2.298511984777796	-2.4818276927973844	-2.141722012966738	-2.2387718033342785	-2.494563389348944	-2.215292186999655
-2.8687089181467926	-2.598164639291197	-2.0922263965927046	-2.3220718992047424	-2.8145440177750367	-2.264768485677409	-2.293239169603844	-2.159700494593793	-2.3339840042407203	-2.269114755656092	-2.555063618751864	-2.009568815035155	-2.3935485778910417	-2.389363389074108	-2.1932902014585105	-2.7185661695219188	-2.27821255979525	-2.363692961420868	-2.32682961934076	-2.3577972314136293	-2.386147247304054	-2.40499457217524	-2.370433312977124	-2.388312867469948	-2.163633764420286	-2.051270050541783	-1.946572096193336	-2.0754419166347886	-2.8141648156888857	-2.247743541274136	-2.2335129466292982	-2.1741932257111287	-2.2187351461653044	-2.236084854459829	-2.8517590314865644	-2.1663024327034743	-2.040174060112496	-2.369572423514339	-2.2553715693874734	-2.245724457450895	-2.889755701489153	-2.792861321472211	-2.3958910196569554	-2.1629067156202906	-2.54193897135724	-2.280639525158737	-2.3383085067678184	-2.8019796684807448	-2.0877478067948787	-2.3461938147161026	-2.6717418840340548	-2.556082545633048	-2.075955792634804	-2.1920399414393854	-2.435470474629948	-2.0899366919904896	-2.560582390647479	-2.3843974393003786	-2.1414566243610964	-2.2466726204650014	-2.198645431589884	-2.294396428439366	-2.3843428534799243	-2.2376001049450664	-2.282957534679864	-2.2786494577652423	-2.2446119124449084	-1.5724409886979696	-2.3945751563301143	-2.232227237327731	-2.141088454013656	-2.4832498354512538	-2.2313504002925644	-2.3652474321369423	-2.3880821712321327	-1.987179330951701	-2.386573611074374	-2.472939683215948	-2.241832526622898	-2.041267912732578	-2.3089650029415743	-2.08287781470026	-2.22973431563374	-2.896512034638297	-2.2147539995904006	-2.328127165302128	-2.6133647540979505	-2.230723404281701	-2.1940366514619765	-2.2405355189245206	-2.2102116643031704	-2.162057806959809	-2.1835877778228463	-2.532857083915772	-2.232089794753626	-2.411558790241917	-2.0871884104155503	-2.1737503449892954	-2.416106494280485	-2.163884671489515
-2.804612060804706	-2.509906587493817	-1.992987281752992	-2.2443600040038194	-2.749606531207514	-2.210682100664356	-2.209678579035966	-2.0849863707578464	-2.252588248229612	-2.2182873940394474	-2.473383541846979	-1.9384530067281156	-2.291895743493601	-2.293189858392897	-2.1158989273883173	-2.6316648462972028	-2.1807909070984626	-2.2550180668280544	-2.248663508065545	-2.287674119167248	-2.2827825454395083	-2.295226766668352	-2.309508367045581	-2.285203959198656	-2.060280926246387	-1.9809870401297955	-1.877364317215845	-1.973522774117902	-2.7476738993708865	-2.135877316000357	-2.1579557922205868	-2.1037897750648704	-2.140185127625757	-2.1435493386089624	-2.7628319827992858	-2.1094082461409087	-1.9527787503815608	-2.2989607935971508	-2.171403044428538	-2.16940207155333	-2.8112851339705047	-2.7171992428499885	-2.2919798336058035	-2.0958694933356576	-2.4539272574535747	-2.227253898818468	-2.2600523091308613	-2.712332265462988	-2.018296058441584	-2.2588008646001674	-2.5988902487823733	-2.473891911078411	-2.011293713325521	-2.117698060514127	-2.359842097157425	-2.005195288967671	-2.4748193652271726	-2.3135463522822675	-2.049219934070886	-2.226439085479338	-2.1292206714129223	-2.217799243004777	-2.275303494358404	-2.1617191022241693	-2.200613887159802	-2.215495675749608	-2.147664803120456	-1.5205644061111123	-2.2893187726242155	-2.144071783571553	-2.0708918784450616	-2.4454773010549906	-2.1551773745350404	-2.258652454080348	-2.331534572191448	-1.9169057490781656	-2.331541736702997	-2.4330109782587352	-2.210663113232453	-1.9716223433290816	-2.23820629417081	-2.0144323557004102	-2.139369809818594	-2.8239977250763117	-2.1439111394898034	-2.26040638416818	-2.521430503074295	-2.130463197454479	-2.118300491870097	-2.173044752582448	-2.118362187286224	-2.067729488082481	-2.109933886306846	-2.451684956708771	-2.1327026989792146	-2.332976866394443	-2.0089705977726324	-2.1107580192341837	-2.333677814130384	-2.0987462763876823
-2.657844470804442	-2.3652945910933427	-1.8602306195668388	-2.1175451715070985	-2.584792158237955	-2.1040514908920382	-2.0626173147271456	-1.95683391604157	-2.120622097703675	-2.106807830327773	-2.327746881317749	-1.8436908145047792	-2.114853575484104	-2.155713818383504	-1.9963323958445287	-2.499771640582228	-2.0353398201809725	-2.082339069766527	-2.1202721259673227	-2.153017121677793	-2.1266968763825496	-2.1339874830298315	-2.1454473944343704	-2.1143935554376694	-1.946892007568564	-1.8649279349908148	-1.822873706545774	-1.8788639294840608	-2.6010877938210712	-1.995097465092592	-2.0070672999753154	-1.9653706588446096	-1.9772266292535008	-1.991285682805758	-2.5885384218817946	-1.9780708486270244	-1.8401482262746156	-2.160197715650006	-2.034425641281361	-2.031902004934014	-2.6348956112856827	-2.5545501093780554	-2.1253674729478687	-1.9694394828684263	-2.312020385941206	-2.119583595172743	-2.1152306279745905	-2.5438668826817854	-1.9292711246088636	-2.1230894245927017	-2.4509590660379947	-2.332123438077198	-1.918478755156961	-2.000282345086845	-2.213972981143746	-1.866782056805164	-2.3148731472131456	-2.159736718179278	-1.9276169332584523	-2.109323357279572	-2.0143719517588243	-2.0823233871985254	-2.1125068830610623	-2.0507257582818808	-2.0873445624288367	-2.0970476158235507	-1.9920425138509317	-1.417048043467936	-2.125731288517147	-1.9752547197283363	-1.969586179200604	-2.3127793347862315	-2.015048851959495	-2.0845793525712386	-2.197429547649072	-1.8391036610595888	-2.194932591201938	-2.303742840345957	-2.109672297991469	-1.8205638624063645	-2.1176183004564533	-1.894210724963893	-1.9838953354292987	-2.655446216041758	-2.004339915714344	-2.118947763598664	-2.3761193009408577	-1.9859502799321	-1.9935467137697205	-2.0713119356563663	-1.9723407066954064	-1.9530469636401449	-2.00558700504616	-2.307815327102417	-1.992026909358228	-2.1830496366098147	-1.8509467616394368	-1.9883651201026584	-2.191315453958248	-1.9794656081230777
-2.4407953178731203	-2.168299808759133	-1.6705006986245683	-1.9323030627642357	-2.39729041819657	-1.9352730657973871	-1.88564870515221	-1.7818253300687383	-1.9387887967269584	-1.9272641399163573	-2.1298516667012346	-1.7229177938586344	-1.901172641580952	-1.977413729463408	-1.830791957114838	-2.308844254823949	-1.834629055170223	-1.869907407523034	-1.9253573145420413	-1.9574684679811163	-1.8927954362619224	-1.9119447005087244	-1.941171571954742	-1.9013317013654456	-1.7657798905420063	-1.713863531605902	-1.663715959053745	-1.722823191752073	-2.388585052464094	-1.7954525699298547	-1.8246245453777667	-1.7972704534408714	-1.7612850646152516	-1.79387742496203	-2.3814045819812124	-1.8179505987996625	-1.6686229532320267	-1.9815172529171052	-1.838159461967917	-1.8371517745695944	-2.4257086016191542	-2.339107296013641	-1.899884784695144	-1.8101666765759905	-2.122893400011186	-1.9282242953768665	-1.920821200553003	-2.332294638966063	-1.8006789386836377	-1.9180065615559063	-2.2687105010902853	-2.14206507005128	-1.805006768032804	-1.8447703491226104	-2.0086382536205085	-1.7343240853124748	-2.109612270565727	-1.9549196727768183	-1.7505502439182516	-1.9381279886650735	-1.8527624732956869	-1.8879587199348404	-1.8821116592463352	-1.886436608156485	-1.9680305454043323	-1.919737111537149	-1.7999408837326096	-1.281800666137137	-1.8990413673960256	-1.7741788191696286	-1.813310771087884	-2.1252546793280085	-1.82997408438572	-1.8749372453407125	-2.0163273982643504	-1.6963420526146746	-2.005404598525045	-2.1133657443848275	-1.936821958159158	-1.6326948889203916	-1.948263992445993	-1.7098150142789543	-1.7855377145333888	-2.442404286699396	-1.82720758815766	-1.9532571518831423	-2.178721636191343	-1.7838944779286368	-1.838653098174476	-1.903040934286003	-1.752678739891616	-1.7787288182643832	-1.8277948055655688	-2.114512940458644	-1.7938735431533988	-1.993732485537782	-1.6670945261226922	-1.8141382404422424	-1.9711554291910596	-1.821190876719702
-2.2841351204366127	-2.041619213684726	-1.5173355072612875	-1.807119157800076	-2.2616153123521374	-1.7886073506606233	-1.7233242032941651	-1.6536805024362182	-1.808264336217891	-1.79468415530571	-2.015159426860942	-1.6342881067141215	-1.7314757891064616	-1.8330993726977312	-1.714586199676727	-2.195338695636841	-1.6980948492550465	-1.699152021844445	-1.7940239908084066	-1.823760796037842	-1.714997769652113	-1.7375116781986404	-1.778168700245443	-1.72496745064695	-1.633533224777848	-1.60770532637079	-1.5873993661583965	-1.6349989410092909	-2.2430752558455525	-1.6466257294519495	-1.6863254314797085	-1.6677869415142794	-1.594788131286376	-1.6539595141557368	-2.2239887717452027	-1.695850692108168	-1.560045904336455	-1.8730274591497411	-1.7031046521062632	-1.7029204580104425	-2.269445773820673	-2.197981558098548	-1.7324970189689586	-1.6911541860340642	-1.982328397389036	-1.7897248350009876	-1.7790862631156583	-2.1832537996113395	-1.7003612857930877	-1.7703870686556882	-2.1468985236895235	-2.008290726458993	-1.685454908283273	-1.7249114172957067	-1.838023024456136	-1.665537150006027	-1.951506627942788	-1.7864834965109702	-1.639905737217346	-1.7822679027713215	-1.7431738945226234	-1.7531238454083822	-1.717585825562739	-1.777666440712974	-1.8600635056510213	-1.794320722733849	-1.650065416094438	-1.1809062908712704	-1.7314254974744574	-1.6236000680592615	-1.6937425971488096	-1.9569590426612689	-1.6886003827405822	-1.700092611719478	-1.8814494466174527	-1.5624984320025197	-1.8716291845848103	-1.9550435350662063	-1.788213996614351	-1.4681699561710757	-1.8015714448697704	-1.5842188120923824	-1.6245069394847615	-2.3019018261340527	-1.6768560285406304	-1.811051401105344	-2.040986282850583	-1.6374113422943688	-1.7148630571078582	-1.758386499335488	-1.593184233595305	-1.6503665474683724	-1.7276847206978376	-1.9941441162995728	-1.644072973746315	-1.8469334417752088	-1.524176145864515	-1.699444169499201	-1.8444972644475783	-1.7000920188641653
-2.1846902097588514	-1.9587146999134544	-1.4359865951137898	-1.7370629714589514	-2.1835896932825065	-1.701310435088477	-1.649655343170897	-1.5811144599561604	-1.7343035665202131	-1.7156657902413683	-1.9330629217943796	-1.5641230745414034	-1.6383724385071083	-1.7535797147583023	-1.6460008437123763	-2.133499522729537	-1.6198439608116844	-1.6102470866931249	-1.7306719042399443	-1.7497159030552027	-1.6272600076437604	-1.6405294711141245	-1.6879115074699458	-1.6336449262896198	-1.5691860145930103	-1.5522736079997526	-1.5314664604220365	-1.5918769174747285	-2.139101259221294	-1.56553728676818	-1.6046652504594083	-1.6042801232021873	-1.4977499698261962	-1.5725686884730852	-2.1227847888002738	-1.6349373140128682	-1.4861841047902355	-1.821658753299231	-1.622996887169332	-1.6150855540103843	-2.1734355560791325	-2.1113359569256605	-1.6277912025630503	-1.6250429115888076	-1.9146558634686237	-1.722020144570321	-1.694680164689606	-2.1011012388987216	-1.6571956780852637	-1.6770470771184889	-2.080422415872422	-1.9353643761133543	-1.6230238126331968	-1.6531541478066296	-1.7507395399458343	-1.6106465000347816	-1.8566800369792904	-1.6983108277966297	-1.5850295114455222	-1.7069982402004886	-1.681314979922969	-1.6687773276553708	-1.6273223341019056	-1.720692270263185	-1.7916349326576515	-1.709572053419261	-1.575690295369249	-1.121949089204482	-1.638354384044952	-1.5425135078594738	-1.6299012329594802	-1.873675644043588	-1.6009783853617128	-1.614134090838944	-1.806058785395383	-1.488356604056042	-1.7952169644147309	-1.8663815894629092	-1.7069917161167885	-1.3895813761384292	-1.7365432456578525	-1.5033317092568814	-1.5387249571882422	-2.2194179508684075	-1.600159769101749	-1.7340455725330892	-1.975574440653581	-1.5560304242733856	-1.643702378616588	-1.683007296204625	-1.491821634403717	-1.5783309275293809	-1.6780807547099823	-1.913664151083396	-1.577405950765805	-1.7642740004650102	-1.4336765093779336	-1.6284949570174785	-1.7561186485947822	-1.6400423663611896
-2.137191515220911	-1.923121817300194	-1.409708431362828	-1.6920444556285552	-2.143082939173694	-1.6565116547884025	-1.6235517234107495	-1.5487453478913755	-1.6935381987343747	-1.6603711299260802	-1.884455648952168	-1.5411088476725685	-1.6151315770974006	-1.7197860750555063	-1.6067049618669285	-2.0708625232067845	-1.589172370702063	-1.5891827891474402	-1.6947161112084872	-1.7163266861462292	-1.6067611180867576	-1.6112880496337691	-1.655253492114948	-1.6068577832599975	-1.542804032699344	-1.5015316979907607	-1.511303302269148	-1.543448949879446	-2.0943164459302115	-1.532657597911497	-1.5709507556634892	-1.562999302916222	-1.4765871458958597	-1.5464682461193922	-2.078111056293368	-1.5855306599882426	-1.4580871774613942	-1.7730784855809	-1.5892837844620913	-1.5869947267664526	-2.126392745368811	-2.063286447586805	-1.6139315260807363	-1.5800574487772776	-1.87789239887036	-1.665813800256777	-1.659898272524125	-2.0508962348445525	-1.6189712766143156	-1.6419996636818828	-2.0297681269635306	-1.8871606174713056	-1.5965644486471993	-1.6210341698647563	-1.715130321937479	-1.5740013691562955	-1.822373664777988	-1.661966418620802	-1.5452473640589992	-1.6541395854305507	-1.6308697076468182	-1.6322212063313006	-1.6096707004534785	-1.6869035824298904	-1.7595955588069143	-1.6754998880532253	-1.5438043679170508	-1.0952726392672116	-1.61115878477477	-1.5179188796298648	-1.587115277754183	-1.8160848098567688	-1.5780872899139973	-1.5833988224098885	-1.7568517446991017	-1.447492872951952	-1.7585525577237051	-1.7988683425981535	-1.658603912199335	-1.363425429072937	-1.6945524606608433	-1.4744961695775691	-1.5177103971863142	-2.1787982435935134	-1.566995645844106	-1.7047378424084216	-1.9237658930432768	-1.5325499531811813	-1.5990217489111822	-1.6542565149107742	-1.481949072407846	-1.53924037293885	-1.627292204409632	-1.8763685851748728	-1.5463367932408911	-1.7294508454240554	-1.4160146399889708	-1.5837556446290273	-1.7274497266538495	-1.5935489809052252
-2.143687148849117	-1.933520339924906	-1.475294651753249	-1.724415039116955	-2.133415846735646	-1.67652859294072	-1.6592876151180738	-1.5922652369678478	-1.7284150087696666	-1.6813597925491135	-1.9118275542153944	-1.5544591172573894	-1.6755299338510985	-1.7569548458143125	-1.6302744070086592	-2.0831471418267005	-1.635233085404853	-1.6530707078715208	-1.7290606148929908	-1.7435893304939825	-1.6709901515857146	-1.691634858915546	-1.7059529434306473	-1.6705793143133427	-1.576114796555196	-1.528663306038793	-1.5220894391843611	-1.5657513053809995	-2.103431194053817	-1.5910601998578102	-1.6165875568222114	-1.6015916286810437	-1.5466579836851913	-1.5969457200840758	-2.112819611126784	-1.6076375043680946	-1.4985920866061708	-1.7909170992450223	-1.63102598458827	-1.6287528701672478	-2.150585825480328	-2.0850970034192	-1.6732326668479	-1.6009679316622591	-1.8898742478114583	-1.693692760003456	-1.7037361776965343	-2.0685300239981084	-1.6290209150047077	-1.6867846447088457	-2.0457253457072486	-1.9073935526528645	-1.5960409250424514	-1.648396451305585	-1.7635865120442804	-1.5910523596529709	-1.8628898174964048	-1.7095022400758326	-1.5794875624781692	-1.6795807485289227	-1.6491573351889373	-1.668237683127273	-1.668530802459322	-1.70446214809289	-1.7502946339521384	-1.703838430092659	-1.6021736182361956	-1.1195021064728794	-1.6756333707363082	-1.5773704273532714	-1.6126438867829715	-1.838573904603169	-1.6150052328776434	-1.6507675337711456	-1.7803898045384694	-1.4813257951563616	-1.7697073495892244	-1.8310123326589864	-1.677714146103827	-1.4265889440620243	-1.715901929475346	-1.5269851315501062	-1.5768634231627965	-2.174025632611615	-1.6045299029694915	-1.7313694362148997	-1.9500244435396767	-1.5773799794398309	-1.6298624741201595	-1.683398748620028	-1.5474434871643132	-1.5846587037355655	-1.6413557662360403	-1.8910096842959183	-1.6029080535643745	-1.7673533292603034	-1.4734016524052147	-1.6125196028588402	-1.7630728879162514	-1.6151821780983602
