sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-2.011366143716496	-2.772183768154088	-1.554076354194094	-1.6587951221709325	-2.3172708226965915	-2.095393965469772	-1.15357674765051	-1.2265132702158588	-1.6532517384554826	-1.623680776978399	-1.8326449876470392	-2.010650036542649	-1.5507608254788203	-1.7026154145296173	-1.7589141387042146	-1.170093710462078	-2.196151364555934	-1.6810815635157683	-2.342705864320508	-3.0273137150112843	-1.780436313291045	-1.9059022604478943	-1.85016411140482	-1.8960537697550277	-1.3354482031456854	-2.16736753850462	-1.157300126250049	-2.6672386591017125	-1.7024210101137756	-2.4250755204801187	-1.6150829366513832	-1.2358718518499647	-1.383136528219435	-1.2087846486929832	-2.607777185061364	-1.2612451872193795	-1.2967267182552118	-2.500747750799094	-0.8685194822490728	-1.8542275377046773	-2.7805563756064235	-2.103052648581617	-2.3431143599407167	-0.8793190920384957	-1.5953154129245242	-2.406322991815364	-0.7875092548219119	-2.0617939557475577	-1.672415051057522	-1.2226888627262054	-1.5807644789947757	-1.6420567829813046	-1.3339065640119967	-1.4480020909435882	-2.3107148644658846	-1.694267680211886	-2.415579110367372	-1.2176469310344904	-1.6768625287064716	-1.6286036841616385	-1.3451669919758849	-1.979840016987123	-2.194069540049976	-2.6521144336257696	-0.9781774372618988	-1.3212861536113023	-2.971427679764847	-1.8845814487503616	-1.1311181517129645	-2.123071184716513	-1.5629640919419734	-2.388234620499783	-2.2731888560178217	-1.1920559876227166	-0.410409164286812	-1.6082802212720069	-0.7547847918977092	-1.5577510645259542	-0.9903627094561218	-1.9934793405233384	-1.0788388754963312	-1.836117544393792	-2.09663753368121	-3.2701840375662385	-2.834592547156871	-1.6105897553261468	-2.6530369197422377	-2.99252830713888	-1.516628430625551	-1.3669804461117467	-2.87466364870133	-1.6047624195184211	-1.3249642065059486	-2.416052486702003	-1.7614411542967188	-1.9659727387498664	-1.3112788501792314	-0.9452245026717624	-2.328028454730609	-0.9924312031258786
-1.930378733986532	-2.696636664381836	-1.5032543251640145	-1.591553726814786	-2.228724366383614	-2.0547819632624926	-1.1143206536331152	-1.182075224937685	-1.5953340743309654	-1.563152106108188	-1.7647589611194414	-1.9700407431140172	-1.512025921575326	-1.6389394111224191	-1.6630162704776768	-1.1221244092022198	-2.1269098065419367	-1.6214324463772325	-2.2555199644720845	-2.924281712775597	-1.729520936125926	-1.86692802308108	-1.8108124311902365	-1.8540135043555408	-1.2919488904625342	-2.0802445709076367	-1.1019563059794215	-2.5656761795544085	-1.6490042691366449	-2.358214278899785	-1.5742652374243378	-1.1744892838105827	-1.3340322861095386	-1.1721569092301285	-2.513414470353206	-1.19931698679893	-1.3000758525127465	-2.392473893614476	-0.8255058261084827	-1.8118696564382863	-2.7011833658485225	-2.0633128019107647	-2.265986935742155	-0.8310422470402367	-1.5228212552204368	-2.3551074111963173	-0.7166952363141852	-2.008887695575692	-1.6296961465543207	-1.162477279711598	-1.5147020166864738	-1.583388853769797	-1.281059874945677	-1.3937458812203891	-2.2537853248980464	-1.6149545926294449	-2.3568450739737856	-1.1494856242516764	-1.615675283184876	-1.5735713543694692	-1.2950974994520517	-1.9155022984068089	-2.139545596982888	-2.5437798872926694	-0.9150393958908832	-1.2549672439485122	-2.8994097810487527	-1.8501282175967184	-1.0702428015689132	-2.101047215280111	-1.5049181756060417	-2.331112336742008	-2.220289251457006	-1.121752235714272	-0.3489926831941248	-1.5700998144132925	-0.703816875525442	-1.4922489433344044	-0.9610089163268024	-1.9389750855466064	-1.0224314702052937	-1.78553575644066	-2.0303456567646267	-3.179984778484897	-2.774205991309587	-1.5506686132187697	-2.5632601756553157	-2.925085381979507	-1.450837923315045	-1.3174342115184927	-2.8131372024913013	-1.5706719188258376	-1.269032763885748	-2.3353145777302595	-1.706903090335186	-1.923161651069824	-1.275381407758739	-0.8785564580405787	-2.273996882727849	-0.9227784144467476
-1.8509734947137848	-2.607222670684316	-1.4601320191145588	-1.529978347039874	-2.155575779252748	-1.9982271389895316	-1.0645114246687066	-1.132714861050232	-1.528610605600609	-1.4976545174945024	-1.6966025141739849	-1.9310646897833463	-1.470815455922788	-1.6243352837577507	-1.6101493196001402	-1.0803851278786285	-2.074411737771642	-1.5787661522653835	-2.1819031072311788	-2.8212291975067787	-1.658792971381385	-1.8406784764133208	-1.760291316612384	-1.8269235368200496	-1.2613245162997109	-1.997164532260272	-1.065907835289292	-2.5187763692144167	-1.590892312417862	-2.2812483268647825	-1.5278547283506947	-1.111645293137547	-1.3191979699894243	-1.1281620348475236	-2.4570349738806394	-1.1456070678629109	-1.2613588265045923	-2.2988362300406897	-0.7854256895323377	-1.783072616058534	-2.605691249162125	-2.011433384496812	-2.1830454228530947	-0.7828697000635512	-1.4623533340448622	-2.3021338209273474	-0.6703445483776587	-1.9789580650957168	-1.581874793144065	-1.1066608673931857	-1.481212466001647	-1.51190664669441	-1.2160245204883473	-1.3436850968659395	-2.218964406698932	-1.5702887656952926	-2.2873751354595933	-1.0978365119510631	-1.555917211751694	-1.5176154144003111	-1.2580144180003885	-1.868875659130895	-2.069079709081997	-2.451317986721025	-0.8603774752808705	-1.2000423494715395	-2.8398586380634625	-1.7974108881581752	-1.0402985777956035	-2.0626796377070438	-1.479997746015601	-2.2628763620109176	-2.152945383399538	-1.0655466278353278	-0.3024710352372163	-1.5461223982761758	-0.6571718854081626	-1.430468885594184	-0.935598575040049	-1.869839422257488	-1.0023037596065465	-1.756072430460524	-1.9506117244800505	-3.086238616028626	-2.699331310217845	-1.4836271141009252	-2.4786675317364093	-2.826849765381583	-1.3853476146188874	-1.2734355524949408	-2.726052808703342	-1.5185335200528558	-1.234296387789233	-2.26544922405393	-1.653536715502988	-1.8514691933347964	-1.2232960276307396	-0.8179742103721037	-2.2053209071816138	-0.8742630526559271
-1.7804331078444635	-2.538981520133495	-1.3823360855918054	-1.4478840241995816	-2.051314968379194	-1.906799089369117	-0.9643672386950016	-1.0409053478744534	-1.443100390832504	-1.420673372447821	-1.6089842363643114	-1.8745357882988432	-1.3795120702660322	-1.5640348736100522	-1.5063103066744663	-1.0075941793975602	-1.9706203619645917	-1.490878739288637	-2.080866112340233	-2.700711454851936	-1.569099955518225	-1.750635899497756	-1.6767074912143305	-1.7478471614607178	-1.1820773016988744	-1.8879183057613147	-0.9883368832159244	-2.4199323970512125	-1.5170115075496515	-2.170356489914687	-1.45731962363194	-1.023934287589804	-1.2547103923839096	-1.043838192220888	-2.364107540142524	-1.086765919081618	-1.1944897692080494	-2.1667994141142337	-0.6944494130077798	-1.7154582978052206	-2.520139307437364	-1.9231490839005756	-2.0808666669764087	-0.7122347032050781	-1.3691324656105115	-2.23125991840643	-0.5731925747465213	-1.9060974401295423	-1.5050411786678497	-1.0084415720845077	-1.4101873170398944	-1.4325411799271228	-1.122243340228814	-1.261613971818314	-2.14968832045568	-1.4778108917860695	-2.206202931508867	-1.0095274169935802	-1.4652263417689322	-1.440748865713415	-1.1864692731675084	-1.791537298372308	-1.9758338451962436	-2.327093079398876	-0.7688368140520803	-1.1000230485983755	-2.759926921400696	-1.707206423488958	-0.9641149008529312	-2.0281136849795383	-1.4269532036374004	-2.183611016208704	-2.0775356580784883	-0.960062813083298	-0.2239266590167769	-1.469456094235147	-0.5950170277530638	-1.3322919520400294	-0.8716123406763261	-1.7597925061004032	-0.9258947284626664	-1.6947997728265518	-1.8669696920587917	-2.9779796905031546	-2.626763663874001	-1.4114487553067134	-2.3855957797800547	-2.7189725572799754	-1.2900460392405986	-1.212194397883732	-2.5994034155552286	-1.4345948684478524	-1.1651061490332804	-2.1759198037805763	-1.567057788709307	-1.763834548436545	-1.147405646919475	-0.7324655215284626	-2.131363381703849	-0.7893762927568668
-1.661373792451209	-2.4273815385486843	-1.2812080775827728	-1.3337669126233669	-1.9045832781299208	-1.7877803361205866	-0.8223197924306874	-0.9084759313792828	-1.3272106808724953	-1.3003800361102764	-1.4807328180387134	-1.7885146852538305	-1.2435227175920565	-1.4718425913615107	-1.377645922332203	-0.9162842719777308	-1.848554635278645	-1.3766521255084598	-1.9533696820261377	-2.5639044350193	-1.4547429156050316	-1.6283868880178165	-1.5349856523637675	-1.6221909205656653	-1.07103855201702	-1.7600465851020533	-0.9003026961399485	-2.3116945768753383	-1.3972212836305282	-2.0324302191589134	-1.3456944728599756	-0.900971409290959	-1.156284884397946	-0.9190196707578324	-2.2458593747698736	-0.9742439180681786	-1.1095825981123228	-2.008052348267947	-0.5745761382311826	-1.6073794739681606	-2.3752996699740527	-1.7939368907353677	-1.9660407405280056	-0.6148926636356618	-1.2365525378858728	-2.127761688733795	-0.4394548987689753	-1.79632722956086	-1.4215875359531724	-0.8718424740190802	-1.3039461576602676	-1.324694234324544	-0.9811233116576586	-1.1497711260217829	-2.037843345286023	-1.354016300401319	-2.086836128732005	-0.860514840535313	-1.350979113529358	-1.3206793746449583	-1.091215508949099	-1.6737107145260153	-1.8540470715371584	-2.1910843120496457	-0.6430413734888433	-0.9687095231912723	-2.6472218675393298	-1.5773209183223005	-0.8450825946570821	-1.9338015865771123	-1.3469179607241175	-2.053916393946456	-1.9553849657253108	-0.8152156639303751	-0.1109723809180536	-1.3904105711018315	-0.4958039263204615	-1.1914309711158626	-0.7564454964868679	-1.6057200006458727	-0.8240118912773288	-1.6077456612411365	-1.7459469320310628	-2.83009749863838	-2.506266487323943	-1.2898550311183397	-2.248321131029472	-2.5893142678179824	-1.1522945540464808	-1.1335466729824797	-2.44824462369125	-1.3194602539739977	-1.073288150079399	-2.045295343154464	-1.4618101641945402	-1.6259073493717775	-1.018482597289795	-0.6084704957987634	-2.000677897770067	-0.6625225515817926
-1.5022220845999232	-2.2829154541903063	-1.1421962992801744	-1.1777741662203305	-1.7183584403679448	-1.634201010673445	-0.6474167779072949	-0.7358833742826713	-1.1737427113092065	-1.1458465797558215	-1.313648736023635	-1.659193282603469	-1.084347684426201	-1.3641353360046071	-1.208056766913139	-0.796623676876838	-1.6796924838036198	-1.232934983288501	-1.773526194374555	-2.35626641609816	-1.2862087568355822	-1.483787281772356	-1.3567575326995445	-1.4724396124588663	-0.9212044256803572	-1.5917729263290463	-0.7565748121007745	-2.17102542433103	-1.2367962985312957	-1.8478334875729625	-1.206179127800649	-0.744802876118443	-1.0340902950562865	-0.764130382524535	-2.0987108574832543	-0.8485717062461094	-0.9915865609358768	-1.8003479740027644	-0.4158899073823611	-1.4701110488578362	-2.202414830535042	-1.62204799660861	-1.7943910288907348	-0.4905937959103018	-1.0727039186249094	-1.9676511936380283	-0.2754659837576123	-1.6572370691676708	-1.305579735233411	-0.6928692225358536	-1.171270336125655	-1.176272023514103	-0.810588559237933	-1.005301889393894	-1.9102527081586187	-1.209138069840869	-1.920087329148779	-0.6828964181073516	-1.1986724774460606	-1.1692191295460137	-0.9670646974994782	-1.528795651325405	-1.6833722554901442	-2.0003459557339744	-0.4848581560726471	-0.7849784171736411	-2.49910499391194	-1.412270953165056	-0.7091433894236783	-1.8174316200528773	-1.2410965708829294	-1.883820883988323	-1.7916586629088815	-0.6373199607407528	0.0252353562838531	-1.2732649041084223	-0.3667682947849033	-1.0066650295924624	-0.5932838855009184	-1.40450821486196	-0.7015357248188864	-1.473054205026779	-1.5919850319801383	-2.6288237720245515	-2.3369768401744686	-1.1405758409160849	-2.072478228925584	-2.3990371851846968	-0.9826305311740549	-1.009941761947527	-2.223777185646386	-1.1742462264212974	-0.9413566142952162	-1.8702211392188923	-1.3349052433221495	-1.4541738599292195	-0.8702465879227809	-0.4505178407982262	-1.8321819738186211	-0.5141830899476546
-1.3905586689125808	-2.1565696485430226	-1.0346285828924366	-1.0569527409995618	-1.542858101732575	-1.4946626504082	-0.4803611480255637	-0.5861514523663676	-1.0481272058287543	-1.0295956369584598	-1.1912927845905232	-1.5693863183540573	-0.9583953462828694	-1.2953090202982642	-1.0690895011913784	-0.7242517127614566	-1.5529522618210625	-1.117451873686787	-1.6224021183299009	-2.183963564772855	-1.148322803753258	-1.3751330768158947	-1.2064514736668006	-1.3691295667904602	-0.8121372092294202	-1.4498024982080693	-0.6550140251683061	-2.062824903979452	-1.1004513857379248	-1.6794428200316132	-1.1023261740579986	-0.6101179998255348	-0.9522700844597446	-0.6468946354976914	-1.9808221003931568	-0.7430194152627423	-0.9222399807271172	-1.6005359915591713	-0.2960929970729036	-1.3864355972856337	-2.057565724587	-1.4776984021672968	-1.6573038646314255	-0.3997127190073036	-0.92646248761676	-1.8455421315993032	-0.1259213545004081	-1.5632973258205978	-1.205994113447327	-0.5283968981789978	-1.0675352942733285	-1.0623805771576815	-0.6429204063008583	-0.8893890551437845	-1.798669234409406	-1.1007082783032929	-1.7967332356926615	-0.5141786513243028	-1.0842043576331952	-1.0280310572275864	-0.8789091181533539	-1.4149200836335702	-1.552826948217123	-1.8313994082463605	-0.3513108749331665	-0.6191291034023876	-2.384553023261267	-1.2831818659621177	-0.6016130552312862	-1.7377482118462566	-1.1835661680341565	-1.7311140825750717	-1.6578570043655163	-0.4681133282068507	0.1454904879633798	-1.188245420283904	-0.2736306254225454	-0.8305207104920259	-0.439321955344342	-1.2162646693534236	-0.5918937981007	-1.383187585851339	-1.4666005872279348	-2.457943264140002	-2.1941994620542267	-1.0100619165243478	-1.9254137084511895	-2.2427687495086133	-0.8364949444323316	-0.9190434450035444	-2.03480033053524	-1.063028912901745	-0.8602553576391757	-1.7427264093376198	-1.224392910047385	-1.3157553636597707	-0.7496757485330036	-0.3165606675756061	-1.7254032721849568	-0.37813101375546
-1.3034576210171414	-2.057698907498558	-0.9573728910635668	-0.9743171069898096	-1.4234796499005735	-1.4057998119847557	-0.3702899386396217	-0.4845413513077663	-0.9650464176540624	-0.95546700931239	-1.096663859639875	-1.5015041954930812	-0.8676035897245258	-1.2247020621569318	-0.9704093364001144	-0.6620600418320909	-1.46163100531643	-1.0325168187269835	-1.5221545140163188	-2.0661587144012463	-1.055370693044428	-1.2913568854645634	-1.1125776063880457	-1.2895952707667355	-0.7251292891953811	-1.3527443769537035	-0.5736611177022185	-1.9893334409355896	-0.9975905253839206	-1.565230613190213	-1.0278066541591369	-0.521318102717866	-0.8742198974271617	-0.5733556763171931	-1.8839966438712925	-0.6571391746204666	-0.8623010023613578	-1.475513172116019	-0.2122247507013819	-1.305766821257682	-1.95768624990509	-1.38256564150941	-1.568241405810328	-0.3330623236742462	-0.8244589370507476	-1.777218703195932	-0.0136722643157362	-1.4899315249679947	-1.1453260092650448	-0.407613983354014	-0.9816558119508488	-0.9887368578437832	-0.5189685860070766	-0.8050529875859553	-1.7222975699747425	-1.0214188165808362	-1.7081531732045956	-0.3902992489060395	-1.0159586287544138	-0.944011267971132	-0.8160946189849629	-1.331957766149847	-1.4690411528514482	-1.720429430152322	-0.2523340195477165	-0.4963241188049043	-2.3104552242571867	-1.1979860651168135	-0.5151646894804914	-1.6874039616739047	-1.124373102535965	-1.6329757779305272	-1.5650859642625612	-0.3480870954278504	0.2282841001898041	-1.118829720664485	-0.2049673580776545	-0.7001765374855053	-0.3257990169508219	-1.1002738155314538	-0.5129040030976086	-1.311754893560768	-1.386890234372186	-2.3477136608481697	-2.103177973155742	-0.923779880145784	-1.832378169161648	-2.143152026569819	-0.7283951850843621	-0.8593492183401605	-1.9155296054367	-0.985184213866853	-0.7944552471453833	-1.6547978130770766	-1.1561034383283717	-1.227195603735289	-0.6657482109977662	-0.2132316296666351	-1.6442640863315106	-0.2749252011979395
-1.2349449026146682	-1.9798266989867948	-0.8823904787879239	-0.8958906805087251	-1.318427057301347	-1.3342402304631336	-0.2784433223839258	-0.39837239922607	-0.888938781484162	-0.8767900707761577	-1.020372761900019	-1.4320003565008417	-0.8105597523488628	-1.1553956095666558	-0.887135497762113	-0.5982165308926887	-1.3803041031155914	-0.9529902617184848	-1.429195195545713	-1.9794185676912817	-0.9756312152828585	-1.2320038554294372	-1.0605027863084335	-1.2308594661871584	-0.6489179765721657	-1.269338748271627	-0.5100374935772696	-1.90541392230814	-0.9168172044151094	-1.4766467081593402	-0.9659356286087808	-0.4278652659076957	-0.802381370007975	-0.5227029880028985	-1.7975140657834818	-0.5706216892958941	-0.8251272298828441	-1.3460754616577906	-0.1399478964071195	-1.2529407679065798	-1.873415037126408	-1.3130977847549643	-1.5031525255547875	-0.2713838206669632	-0.7329346075029205	-1.6993382491196682	0.1008792922895071	-1.4252214754191237	-1.0795235231854876	-0.2887556295653032	-0.8861210962849633	-0.9257562247972002	-0.400511533252854	-0.7346066183849853	-1.6441428675411216	-0.953489847706376	-1.6374600671211643	-0.2669279884592584	-0.9458978448695212	-0.8641412895977173	-0.7352525354532696	-1.2540825754152225	-1.3986346567041323	-1.624463376582724	-0.1562812324786428	-0.3746750441643207	-2.2380738998253014	-1.140867488006782	-0.4261397232258012	-1.6425177563735311	-1.0500424879953691	-1.5498135383380898	-1.4972574080745762	-0.2294117479267995	0.3242830148210234	-1.0468485464336676	-0.1396689413663427	-0.567291549353617	-0.2192687402953905	-1.0095400705331004	-0.4238660822588248	-1.2509803717075862	-1.321478980871539	-2.2678770875494165	-2.0216023754374906	-0.8524888014773871	-1.745906543979392	-2.065821911206325	-0.63631059962943	-0.8127780733988069	-1.8523324997124024	-0.9249002122665876	-0.7140125858321645	-1.5816069416386946	-1.0864165914775274	-1.1619193060329414	-0.6046196218443237	-0.1136255668020344	-1.584542620633301	-0.1756055140523684
-1.221519022824316	-1.9607647833676864	-0.8859197977652598	-0.894431871026257	-1.3107093375650387	-1.3399978368874637	-0.2728555409788007	-0.3990091476780336	-0.8893268323593583	-0.8725937305310123	-1.023072798190879	-1.4426476114670908	-0.8340846655003934	-1.1487482122079349	-0.8854227338605982	-0.5968797385139616	-1.3917340307366417	-0.9541958687042912	-1.428904152271599	-2.0061895425631424	-0.9725788297354716	-1.2726783331342748	-1.0830186573521254	-1.2705500011086286	-0.6438457226821616	-1.2852410917550332	-0.4925604623122196	-1.9274001167597876	-0.9123946278444038	-1.4897947016551103	-0.9810681660404332	-0.4158452852809946	-0.8134979375340851	-0.5406591169908862	-1.8154208895656063	-0.5457568202051021	-0.8379313973571428	-1.349215302173672	-0.1328152649871262	-1.274418841326972	-1.8818101058972636	-1.3300345444646249	-1.5191697764285923	-0.2557766212732453	-0.7127057694535435	-1.713003348266039	0.1324447764094748	-1.437331388643427	-1.0704192811621174	-0.2594237475083523	-0.8717791417385118	-0.9249960759428923	-0.3706401878394491	-0.7263872812861429	-1.6627216091634602	-0.955961027757062	-1.6509865652737128	-0.2342620786563221	-0.9538891802714614	-0.8616446350297905	-0.7246572517378201	-1.2628915618738423	-1.4033142890139518	-1.6427930664690518	-0.12408932406775	-0.3453457355054545	-2.2660344776040846	-1.1661798055660195	-0.4175485878758354	-1.6533372836928903	-1.0551595840892436	-1.5570322318721146	-1.5011555372673986	-0.2052971314321905	0.353421236733605	-1.062778920378629	-0.1179766917226407	-0.5422112210123333	-0.1911531511341649	-1.0345532462345546	-0.397404731562532	-1.255507157415744	-1.33500550336706	-2.286561232444756	-2.032214099603246	-0.8488073750309699	-1.754409392762193	-2.088195579018133	-0.6279366117281802	-0.81577816382972	-1.9063405254525412	-0.949899924531884	-0.7076496947198306	-1.5916431116874894	-1.0733968217157952	-1.1827771483220215	-0.609141309488952	-0.0835116475974129	-1.6079841139192832	-0.1471151293475802
