sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-2.12910828432113	-2.133048250571277	-2.336320020598904	-2.1350796741698588	-2.3106337061047384	-1.9844280863651185	-2.20083836862082	-1.869564678805525	-2.13215639245174	-1.5977265011624515	-2.304899692432668	-2.1297328420335435	-2.3596792754427494	-2.200849456931125	-1.5893901512172663	-1.8714521886501276	-1.939914724762137	-1.9547470156971476	-2.388610937323824	-2.2585042316689035	-2.01863737861259	-1.7590985230403764	-2.0648001571085115	-2.26396551437349	-1.9489878873061304	-2.220706482206339	-2.462148818090588	-2.0618463591866814	-2.3833113602192744	-2.3818789376509377	-2.2471267228793725	-1.8777074445207125	-2.113077373886199	-1.8957614654490424	-1.989512695025509	-2.217290816554216	-2.260415136682996	-2.337235212820392	-1.87290290971299	-2.3215335190717794	-1.5259410973340637	-2.1516698680017257	-2.2042652790721258	-2.3832004253969514	-2.130313398437862	-2.297352811405861	-1.916612621813902	-1.861250757306165	-2.1898226074971494	-2.156913578602657	-1.8321721597003524	-1.8132965108094687	-2.100188625465473	-2.30637444835388	-2.126600926631025	-1.4677955582939683	-2.2531525367518146	-2.223046764573953	-2.123183572673249	-2.2287889090256687	-2.1897671451844274	-1.647257547545734	-2.162646033012121	-2.4261119832436435	-2.22207610729518	-1.5101009087852266	-2.50097999986204	-2.7374543618877	-2.323595079556993	-2.057022310659753	-2.16249542420791	-2.16277354934746	-2.354138620483727	-1.7730547207717693	-1.3972750258494002	-1.710796050447175	-2.2114477694022856	-1.6311054125730775	-2.527116298054617	-2.0413270187784693	-2.204108707698235	-2.05614642269614	-2.1598291566359227	-1.9977351251610065	-2.329614024772724	-2.142001827132011	-1.5275938238053373	-2.084126659250889	-1.916716889261723	-2.034207014072188	-2.028744053282358	-1.8527552819073168	-2.1664532639314293	-2.077099512294206	-1.591773000534036	-2.223054194546256	-2.026258341643727	-1.717738777723362	-1.700295307791307	-1.889023969092409
-2.0774401620271066	-2.0706040537451327	-2.2781192010863736	-2.077567045374268	-2.2562297780955363	-1.9186156896346749	-2.1612711326729634	-1.8272742175918253	-2.0748715978211187	-1.5485390034779352	-2.2570066330402208	-2.078890313772717	-2.307247725178368	-2.137968668400616	-1.5406585984664507	-1.8244831219071644	-1.8962557373349689	-1.8993958377846176	-2.333030279851501	-2.203756767410532	-1.971074961952313	-1.7076806598747618	-2.0135085007624784	-2.21274239344168	-1.8944503932807455	-2.167026183710134	-2.4089283847865604	-2.0175650521422543	-2.327573777317889	-2.3322575663314744	-2.191449473953076	-1.8333212526942064	-2.0529348478661986	-1.8461747670428736	-1.9303700086651143	-2.173616120613953	-2.2022046290271	-2.273493523282056	-1.830782528098916	-2.270812083673793	-1.473797013495668	-2.0972167007617024	-2.163369418617475	-2.333243784884956	-2.072400347430688	-2.244981408819744	-1.871727020655683	-1.819275748652531	-2.1445504084560683	-2.1039085265279684	-1.7810183866135472	-1.7593271992770418	-2.043749403522632	-2.2498983541320023	-2.0792363217903715	-1.3990900628216367	-2.1981022929954053	-2.1615080198591943	-2.0618016332429483	-2.1758603452551437	-2.1410310871256204	-1.608198965300581	-2.1071458716370497	-2.371140339297788	-2.1753877166486784	-1.4601063697874213	-2.4262586930436494	-2.684240531792431	-2.2782794495974685	-1.9944606043831103	-2.105635201198821	-2.107654970078334	-2.29697438574873	-1.7110920777177387	-1.3402441381730177	-1.673016282756251	-2.159484033822619	-1.5694440562010057	-2.4858025628889977	-1.9968304368572096	-2.160205398997697	-2.0103732689437823	-2.1091706801958026	-1.9441806825978671	-2.27680337709078	-2.084392914470215	-1.4739466503421796	-2.028925642045547	-1.8649381657439856	-1.977394858150881	-1.9740714516586668	-1.808663521904296	-2.1071977902703205	-2.028806154881313	-1.538372717879633	-2.168810001009872	-1.9762580008028887	-1.673751345155466	-1.6478560200100176	-1.822071523448087
-2.0281214613836247	-2.0389819125042394	-2.2267716816497045	-2.026833912705922	-2.2281345488817523	-1.8650380955968653	-2.130854303689503	-1.8059839409674228	-2.0333594958637646	-1.5237850292887638	-2.222544075075898	-2.026744479650155	-2.277198686512169	-2.11235364087378	-1.5049425544474335	-1.806987804935855	-1.8504471820561317	-1.8381879534316057	-2.2837750147442626	-2.1506916522635704	-1.940952512669082	-1.6677706988928995	-1.991380860377037	-2.1617742484294875	-1.8765022360504977	-2.137464061588771	-2.3849316527193016	-1.980046629742627	-2.2814271146209224	-2.281587422990053	-2.16318164812228	-1.812364170278136	-2.0090534380726446	-1.8141120522486984	-1.8862936201532208	-2.1455536015894463	-2.146699066435637	-2.21188619700715	-1.809080635457836	-2.235334642185291	-1.4282867207533996	-2.0776233258808205	-2.1379453737361693	-2.2770884938296634	-2.033539876778458	-2.215069305198572	-1.824234451639032	-1.775729994928659	-2.121693056244969	-2.0538029366920223	-1.733077157000504	-1.7131960802973434	-1.9967314296219456	-2.20801768152797	-2.044785269558932	-1.322618262274455	-2.146154134942128	-2.100754580294698	-2.0293645897491266	-2.14803106565982	-2.0924374345926275	-1.5731813876419662	-2.0633273535583627	-2.328216800160336	-2.1485290300998936	-1.4027864900635356	-2.3824122643731966	-2.6530219315365757	-2.2384011959559174	-1.9354540773898643	-2.0603744299402247	-2.0699989021902065	-2.2440306480402383	-1.6527440289263398	-1.2720104749221908	-1.646898370433086	-2.133271165562037	-1.501136656481426	-2.4558366127868965	-1.960280758754719	-2.1350299849440666	-1.980289855658028	-2.060900224801125	-1.9187940547111335	-2.22911563997696	-2.037852143322182	-1.4300780382606144	-1.9828368256473647	-1.8143005737468527	-1.9236533682684007	-1.9248304619613643	-1.7807580528494324	-2.0728153929524824	-1.9851839347967348	-1.5031949160272224	-2.14449915499674	-1.93936989747958	-1.6406662704867163	-1.6080470985382502	-1.7770551052382266
-1.991924105891198	-2.0271656956317186	-2.1748560209185106	-1.9917074701761384	-2.2109141734003708	-1.8211698764530668	-2.112949035560081	-1.7952688311160767	-1.990855224286916	-1.4921698017613267	-2.212481496390581	-1.9961933579140076	-2.2613330491944184	-2.083362694983456	-1.4832834781567066	-1.793842759836743	-1.8046870221189124	-1.793489765596236	-2.235467249085663	-2.118901222010408	-1.9236464019678865	-1.644414474819303	-1.9667775942226768	-2.122705347007962	-1.8625648345218693	-2.1089545380465844	-2.3662525830585337	-1.9665596420826728	-2.2483139983801035	-2.233805738106774	-2.1538123986933373	-1.8047583707409056	-1.973429464826572	-1.7701861166609187	-1.849078821597616	-2.143402309468106	-2.1114330298787496	-2.1588286718776395	-1.800201521511141	-2.2289544638462515	-1.388090677234985	-2.056501663177645	-2.1193961265236423	-2.231500789097945	-1.99373688231738	-2.1873539942195515	-1.7974596294106164	-1.7492752645152352	-2.107614786928439	-2.018838624828745	-1.700319517687781	-1.6805779042992413	-1.9583723821468453	-2.1595473033977464	-2.033298578937165	-1.2568205371199177	-2.101641223986615	-2.050342955835096	-2.015425558119767	-2.134401845230368	-2.055792876471899	-1.5398833694427745	-2.016349554247362	-2.2884671802578795	-2.1321816635155906	-1.3548151060753229	-2.33864420793312	-2.624703585792464	-2.2244373319578745	-1.8715286367042008	-2.029901093572858	-2.0518340725447466	-2.2050786142619287	-1.6040726636180758	-1.223835965939248	-1.6444745067101694	-2.1234987543437294	-1.4410759011901466	-2.436142930324344	-1.950177772482408	-2.121863181096581	-1.9649180228749357	-2.024005323154837	-1.89925048150732	-2.19039228407113	-2.0014010622489296	-1.3994878090179168	-1.93553120975108	-1.7838811844488074	-1.8943255568752653	-1.8936443901183715	-1.7738807064323767	-2.051652865610316	-1.946139410619092	-1.46997257755855	-2.1327593531657767	-1.903631809160746	-1.6086857713940068	-1.5769656254256816	-1.7370519098348558
-1.9354509233477009	-1.9627241548673748	-2.12077192943138	-1.9374058443226767	-2.156406798254685	-1.7675189902118624	-2.067591714966753	-1.7580349688625014	-1.9345317080221085	-1.4507129263157037	-2.1472347011345327	-1.9347420617781248	-2.2116712827993865	-2.0247144778335056	-1.43552269751611	-1.7531631869458697	-1.7580793111583428	-1.7275318240078277	-2.1720154968551517	-2.0655965649276693	-1.8717015910427184	-1.5900666356332758	-1.9083037739129145	-2.057497085802423	-1.8225248936126357	-2.057646206396534	-2.3055122020882486	-1.9072472423401696	-2.18464259488211	-2.176383998142528	-2.0995478951253994	-1.7590950869015998	-1.9142408936114772	-1.718252982678153	-1.783134194499741	-2.08340130103523	-2.044662002902991	-2.0956363303380074	-1.7566901036289582	-2.1670074438638145	-1.3356453238517407	-2.007810428473624	-2.0661936891417185	-2.170586157480628	-1.935643624379548	-2.1232416834802788	-1.7360173493877649	-1.700688589672385	-2.050327562436983	-1.9646189803395229	-1.6564236764798737	-1.6253688509664534	-1.904778024159824	-2.102634692802844	-1.9814125437383263	-1.2011000880938902	-2.0350879366117627	-1.986209499194864	-1.9511919579495476	-2.0831605311855146	-1.994987414033829	-1.5032492233799848	-1.956527295467068	-2.228425297521242	-2.0805922590311803	-1.3030668063248732	-2.27283005744002	-2.5644212780342825	-2.164813597971139	-1.8130955770586807	-1.9688914362354493	-1.9909399147059723	-2.1481619556192064	-1.5362879384343973	-1.1661207393161863	-1.6026049747266962	-2.0799039963185315	-1.3781375226791257	-2.372859485863627	-1.9020234006852064	-2.0785171576088923	-1.9102204270570424	-1.9691945093245555	-1.8485463284487291	-2.1258411000230897	-1.9466642827608795	-1.3575355833747769	-1.880898282867481	-1.735767881511005	-1.846915559788388	-1.8407278790597192	-1.7257447267853938	-1.9927890446785317	-1.8809621061451367	-1.432402823827888	-2.0862273767072828	-1.8490661657614105	-1.5694811940275342	-1.535233805590751	-1.6774981837107927
-1.904857674802937	-1.927721152684696	-2.0819432753741283	-1.9036726228159164	-2.1352256759251644	-1.7269156481978218	-2.0443656974497038	-1.7371808790167944	-1.9023810933767085	-1.432166836264574	-2.1175058397097293	-1.9038330322276824	-2.178926882696951	-1.993365581091908	-1.4074853830173253	-1.732335321448814	-1.7275331160792355	-1.688072045721804	-2.1356423470980976	-2.0259005800838352	-1.8394088301382303	-1.551628068172357	-1.8898439754280656	-2.0222299181105625	-1.8029238963400696	-2.0335181654726493	-2.2778760505082385	-1.8813875891252587	-2.147035147838758	-2.1241467543083283	-2.0664611681706018	-1.7346910132863855	-1.8865640786598343	-1.685980958908871	-1.761271521599348	-2.049376320079485	-2.002717144867153	-2.0594479118616	-1.728517086934709	-2.142244378200448	-1.296295827151928	-1.9858177025535304	-2.0450176663856663	-2.129386618076822	-1.905127030919449	-2.0893792438460457	-1.7130869813883218	-1.6716940799302793	-2.0237811459008137	-1.930153198615236	-1.6246869226710416	-1.597562187246828	-1.867335395645236	-2.0720574333373647	-1.9530243457773653	-1.1536838438892596	-1.996259408402825	-1.9380328882821656	-1.9198357865832485	-2.062425057524715	-1.9651396258638631	-1.475610767597161	-1.9233796356818025	-2.186080032585355	-2.0560953397180466	-1.2683966093703725	-2.2321907089989264	-2.5256265083179725	-2.146759148910285	-1.7629067089839312	-1.9375291700749344	-1.9635634097384924	-2.102933544314646	-1.4963121161511843	-1.1243681024729242	-1.5817155353686958	-2.0455307580038835	-1.332690128429534	-2.3453440815701065	-1.8771452698387776	-2.0506563652622165	-1.8790259567762575	-1.9373723071477664	-1.833628186594007	-2.086946781794305	-1.9151069780370509	-1.3226199192243413	-1.8436492955582864	-1.7055473143696622	-1.8122336841637303	-1.8063256632165117	-1.7070086082925566	-1.9663562767929224	-1.8545250990439184	-1.408835639417934	-2.0528466158934133	-1.823143598583825	-1.5417591716425236	-1.5137182270837748	-1.6413264184305452
-1.8719562979015407	-1.914332426662206	-2.043123735428872	-1.868554868901469	-2.1111214331127206	-1.6880544563451476	-2.01767263324374	-1.7145202437745524	-1.867420598135279	-1.3904487527131673	-2.1039240141745896	-1.8680990124811647	-2.163821297063931	-1.9716428358856504	-1.3842723024896029	-1.720016802602934	-1.6907631772634528	-1.6517459977394264	-2.0910905714853945	-1.9801780504314128	-1.8290859637855463	-1.5185734625712066	-1.8660169251051903	-1.9856890921251416	-1.7842885980198184	-2.017648983010537	-2.2517616597554877	-1.8550172502900952	-2.106661763337047	-2.094607694566621	-2.0619215900854413	-1.7195022096465378	-1.847827358518795	-1.6553852701574576	-1.7216947349648182	-2.0342900778690622	-1.9685351830123528	-2.007037454370127	-1.7183391624463715	-2.131722126006073	-1.2569493774831608	-1.9635284450730217	-2.017023797354661	-2.0885652373452683	-1.87286199281278	-2.0627753993417945	-1.6762235128200027	-1.6407472799024372	-2.001484513439004	-1.8998174301529056	-1.5849943451188877	-1.5636044325456298	-1.8269004949869925	-2.0274639046647462	-1.9302181293268064	-1.1012051009173611	-1.9593640960560448	-1.893633629751412	-1.9029318578586656	-2.044469930311512	-1.924286952131139	-1.4496471453403943	-1.8834290110512024	-2.1461267879213346	-2.0452142392213504	-1.2246864025049138	-2.195270225127078	-2.510631721613199	-2.122862211912	-1.7262916865400704	-1.901884082532439	-1.9457452551352383	-2.0693579635134207	-1.4561540650045768	-1.0812229183813369	-1.5607445481193671	-2.032244324130256	-1.2842969738753076	-2.331775773690687	-1.8561784714672556	-2.04410792038521	-1.8638249739951225	-1.89866283098373	-1.8147008039545016	-2.056055712397652	-1.8820887394977572	-1.2955349106446366	-1.8103749023395528	-1.6656828999896744	-1.7684140462411388	-1.7674620532019942	-1.6913902240346588	-1.9416010110011717	-1.814730878955583	-1.3804264107632342	-2.044751564089484	-1.7879811043625404	-1.5097263332705837	-1.4794406826215472	-1.60562172008489
-1.839521403934328	-1.8763395715583508	-2.00774263009473	-1.8402948874245757	-2.077707537700506	-1.6690523229943228	-1.9849409916000225	-1.6826246833655107	-1.8455417884449064	-1.3802562817713493	-2.0686689946281245	-1.841152161147457	-2.126014358332797	-1.939351504863693	-1.360084359785624	-1.6817197863794608	-1.667790330642592	-1.6173043957904747	-2.064226638219238	-1.9558023287929545	-1.792905404617886	-1.501133488336737	-1.8203766878654248	-1.9565481836580323	-1.758173525199335	-1.9858332155856968	-2.225141521092485	-1.8276675456035136	-2.081606538124798	-2.0685339951642647	-2.0247466152808298	-1.688837805428989	-1.816563313009972	-1.6239547082103674	-1.691307351081597	-1.998990415774338	-1.9322600952037816	-1.9940815093053663	-1.69037845446491	-2.0999784376260155	-1.227002414095551	-1.932421297818371	-1.984794550457231	-2.0549383298312645	-1.848755785755352	-2.0221713863315136	-1.6450031788227908	-1.6148334266451418	-1.9664264667590368	-1.869245861598512	-1.5584057849371675	-1.5420965620067937	-1.8005476382890178	-1.990794897064788	-1.8929049178007884	-1.07895313534249	-1.926514725221023	-1.8653630614592056	-1.865764867216742	-2.010087842620909	-1.8941827469779613	-1.429762332129675	-1.8550128418755685	-2.116046311799999	-2.0116815491064024	-1.190307573843154	-2.1625632360495346	-2.4726808202499897	-2.092075021396858	-1.7034773647849315	-1.873885086424892	-1.904483503875137	-2.036962493800312	-1.423159577747779	-1.055421342689089	-1.5326288750373394	-1.993218858352194	-1.266506326173333	-2.296589058734706	-1.8141860076959868	-2.013699455191856	-1.8346534988746843	-1.8765906432138937	-1.778617599720474	-2.023773580671536	-1.85114870337036	-1.2721701374534526	-1.7855956573534522	-1.643894315585503	-1.7336656943954956	-1.750694008306792	-1.6648143118752592	-1.90448514688982	-1.7905755850303848	-1.355701424846339	-2.0130764983425946	-1.7520563483186438	-1.4895239058941765	-1.4604250845657096	-1.570894938851851
-1.8205187484177847	-1.8478641825535569	-1.981619545046988	-1.8184001567314547	-2.065758738849967	-1.6502036591986065	-1.966056231099992	-1.669501650609347	-1.8179314306047984	-1.3526924375995315	-2.0522142768180838	-1.8167850348358543	-2.113382500916687	-1.922466746205667	-1.3426190190273344	-1.6719729162293484	-1.6523454717717805	-1.5975718665077705	-2.044018332498453	-1.9268257834319185	-1.773368693274879	-1.4742322714509273	-1.806063325436995	-1.925983964761872	-1.7504217094376544	-1.9652125430358856	-2.2070995507899243	-1.8062108168033744	-2.056639702183852	-2.042998137274544	-2.008187728350067	-1.6822734581242296	-1.798711914065988	-1.59788077026875	-1.6640414702024613	-1.982520035728375	-1.9085877284504813	-1.952069019564456	-1.6748477056554525	-2.0815588332706256	-1.1972101297424314	-1.908441727220016	-1.9773119744152396	-2.042697936229225	-1.8219031105853267	-2.0012031268616144	-1.6128317151568552	-1.603975571724723	-1.938589834390133	-1.8426733745721329	-1.5333272419133717	-1.5145058373174272	-1.7880958371927922	-1.9747834633856465	-1.8804329229459853	-1.0589903705089514	-1.9078801279335211	-1.8334012532055064	-1.8512782207053395	-1.9894569271493323	-1.8622599518312908	-1.4083264298104812	-1.829372022082167	-2.0909269439620943	-1.99723189143901	-1.1804589523497664	-2.1354898783246137	-2.446340622798856	-2.0705584705572204	-1.673891165139607	-1.8469592117826488	-1.882046550038556	-2.0161549877462965	-1.3978570487275643	-1.0292021382866146	-1.51656300599059	-1.9823415259858128	-1.247374255280003	-2.280325203551945	-1.8023844009031584	-1.9977417463500036	-1.8067410923892933	-1.8534620619251247	-1.7579257837698137	-2.0112118989846346	-1.824848018364243	-1.2610571682230478	-1.7693541941039903	-1.6146403173629464	-1.7026589562814327	-1.7213684400449598	-1.6584368765121822	-1.8854941913854504	-1.7700561648795723	-1.3416779318575909	-1.9878613246732717	-1.7340918248324269	-1.4723145959732276	-1.4470191559147445	-1.5697485782748797
-1.7733365019486045	-1.8126074816945288	-1.940691615830692	-1.7820090105040405	-2.026485072107008	-1.6176159689502765	-1.9357491733369776	-1.6380397845072143	-1.7788460785714213	-1.32786068733993	-2.027566517453861	-1.7745934101935	-2.075159766045203	-1.8828795901837272	-1.3071642268658423	-1.6315778278356574	-1.6084245275652451	-1.5517219847571655	-2.014777605054505	-1.8931762496744189	-1.7391083041128217	-1.434777114793902	-1.7655590313464875	-1.890031633150912	-1.7075265522158534	-1.929609934142688	-2.16095162666303	-1.767816262439527	-2.024756045681958	-2.002230612766673	-1.9746165083837848	-1.6357114364649856	-1.7581098397508577	-1.567044567879352	-1.6154236315799784	-1.9469141034270272	-1.875422518937752	-1.917284285400897	-1.6355487887809048	-2.0477297339447524	-1.1592377301378092	-1.87266555397585	-1.9327106572853088	-2.002486613469172	-1.775377241004825	-1.9613747644755384	-1.5826368484348017	-1.5719948177282042	-1.893183053210104	-1.80322264849597	-1.490336733561388	-1.475858333367098	-1.755375512039713	-1.934398480046616	-1.8394244507797384	-1.0220068462546128	-1.870037042415441	-1.7897837275689514	-1.8057153155379009	-1.9590913471619875	-1.8258515208455173	-1.371993976844401	-1.8000338370277418	-2.0549787745261656	-1.9668270167433768	-1.1383489482911124	-2.108732253595724	-2.408050953395332	-2.0431802036483377	-1.626588300815781	-1.8078353399538083	-1.8481205603339856	-1.9777646040702903	-1.3568209313969	-0.9984235833213636	-1.4850117325364935	-1.9423690015979789	-1.207084545481652	-2.255218356231665	-1.7684610011402064	-1.973766574041655	-1.768233733527555	-1.8148342928397756	-1.7248261973499717	-1.9820050320317488	-1.792099851851904	-1.2299477182986054	-1.7375147347889917	-1.573141169395399	-1.6572238697656867	-1.6867557957742505	-1.6185851288087552	-1.8487011236941349	-1.7206564683445222	-1.306288970427537	-1.9494415309036908	-1.6891038069481483	-1.4311881196309173	-1.404873953856381	-1.532665033631159
