sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-2.281054028235946	-2.9175526475915383	-2.2576735383660558	-2.7381379936512973	-2.6869120071238903	-3.079401678895043	-2.2052205825386637	-1.977835212812544	-2.7008484354527598	-1.7386453797021315	-2.9805692096077103	-2.659126220342773	-2.098696857127848	-2.703929445264473	-1.9450209737162825	-2.2258630680358324	-1.7162917573139942	-1.8844819109904043	-2.607472162266061	-2.4167737806858307	-2.120301889302721	-2.712904653522057	-2.1195418224127214	-1.844159842431491	-2.4510225016503115	-2.3157658774933214	-1.965468568084222	-1.950497156668849	-2.5462273835442195	-2.58747996031196	-2.049886540130041	-1.801466231950894	-2.502911807415432	-2.924733136212006	-2.5222499920860337	-2.9029183367806994	-2.6895953497435947	-2.9256694970074197	-1.8261947143318211	-2.8642819927999623	-2.357077224230381	-2.107777997493332	-1.9346783967392656	-2.6900403912004984	-2.56641651871096	-2.194583605794647	-2.172023246507148	-1.673949832016121	-2.309216186971	-2.3660535497043576	-2.062269391121558	-1.9755288737528656	-2.9934513582015216	-2.2856924111116217	-2.014887034710477	-2.4659713297154373	-2.492658158765484	-2.8984001539759485	-2.177900414533101	-2.209836447870608	-2.3114012574400005	-2.005281268003904	-2.943998639682079	-2.3734001738988937	-2.5953030869538907	-2.2237363183521257	-3.374687193791074	-2.451157901638134	-2.6089766280280986	-2.5039038611158584	-2.3641815401419137	-2.3841728650127427	-2.5923648480991126	-2.615672224691211	-2.3508089799883907	-1.922697898642452	-2.194980011630876	-2.2237737864382163	-2.693615122862464	-2.1963647814382097	-1.840575579436006	-2.191725823426388	-2.22461257159029	-1.888031650624394	-2.9244472180162475	-2.2802543433833766	-1.8082300760129728	-2.621008396798281	-1.6123627154028848	-2.5998207156710125	-2.462006484221672	-2.515471604938724	-2.265236133937361	-2.763474609093752	-1.6893770978961702	-2.397415673540667	-2.429187704048276	-2.15598062418759	-2.115618789381576	-2.407434321703509
-2.2673312533601204	-2.8797931245411217	-2.2222880999485435	-2.6764254755290917	-2.635039146193793	-3.022375983760917	-2.182311549792154	-1.9527325955761912	-2.6467539948941687	-1.6976379035533145	-2.929504715346634	-2.613583687532076	-2.06023721232058	-2.641916041853688	-1.8961911123091029	-2.175513852620238	-1.7055483311385822	-1.849986480577737	-2.568081249056359	-2.383776250619696	-2.0796077967390447	-2.664984977517889	-2.09217267307984	-1.8218171492449111	-2.4017597294079813	-2.278370590389052	-1.9356681428992548	-1.9281974119525127	-2.50487452454502	-2.550371488313929	-2.014533995549888	-1.768792600425828	-2.4595583866885504	-2.874993954042751	-2.474092288216338	-2.8509981577032115	-2.641536991167624	-2.8907104478504464	-1.7911212951243591	-2.814897302549466	-2.316750022992275	-2.087508014669192	-1.9029076836976624	-2.6574577454778376	-2.54264852222815	-2.1612897246907368	-2.141175836940258	-1.659501490189375	-2.2697035017586	-2.3284126471490185	-2.012106627771856	-1.9223700907445425	-2.9559410418279715	-2.2514848969933725	-1.9828456573218287	-2.3993270763281758	-2.4666086676792385	-2.8380189835774448	-2.1407340488132967	-2.1703280232496147	-2.271008326018623	-1.9621828852508003	-2.9170487277509314	-2.3414172005577583	-2.5626214481901743	-2.1795226541690664	-3.3007769579095787	-2.409113560476066	-2.570799350175472	-2.4750776961919243	-2.336116104380466	-2.3591364574086087	-2.565115247527139	-2.600703148389497	-2.3165889946050804	-1.8842364908415965	-2.16217128980204	-2.189494306397549	-2.670281964664056	-2.1572077820811004	-1.800410633823011	-2.1681472604167245	-2.1968516758030727	-1.8377337947071413	-2.892477025992908	-2.2417620452344003	-1.7733551813169228	-2.5741357317730373	-1.5740912860654626	-2.5607016517722045	-2.400777131889214	-2.480352329244295	-2.223780050814787	-2.72687697080887	-1.645672837390562	-2.3452495170296537	-2.3913705700775454	-2.1195139852209404	-2.0668962377315947	-2.3536540611295744
-2.2764906979820774	-2.8911665216282403	-2.221967298400375	-2.6604834700729127	-2.6325572453617823	-3.014734618836351	-2.196233768321873	-1.9693998076163044	-2.645428439204102	-1.7139456243566609	-2.9560666980383847	-2.612585877291397	-2.0728442266961604	-2.652761997152754	-1.8755658665508324	-2.1823135615240066	-1.730774750093635	-1.8508895235623093	-2.586118743477405	-2.393055838667941	-2.0945805977463725	-2.652263324698928	-2.1058060470948874	-1.813367330403768	-2.398540108613048	-2.3023104139303565	-1.9670063531251931	-1.93422732497728	-2.521446989440764	-2.5608256646784078	-2.0248403093745377	-1.7709517397100951	-2.4622648374861003	-2.8687912447809616	-2.468596982989294	-2.8419931398598792	-2.6161234505405573	-2.9093800337623867	-1.806191620742208	-2.8129353724848536	-2.3357351057106444	-2.105198094420728	-1.9202566946414532	-2.684585088274813	-2.543836824292826	-2.1708734975242	-2.142242336754818	-1.6615439301785944	-2.2857963145028544	-2.3479577005264995	-2.013707293455734	-1.906605109008112	-2.977005578898594	-2.267887148157648	-2.005571141951416	-2.3766456109225045	-2.476146656737674	-2.820178131765944	-2.185317664409053	-2.195556144663977	-2.273343202673344	-1.9653149900867977	-2.935133523676828	-2.3468294687044198	-2.588411757790892	-2.1849190490939474	-3.283230720568004	-2.4257968341000526	-2.5967012550731003	-2.492830732521896	-2.3552936353589025	-2.3858787951891465	-2.563044386616721	-2.6120868265400348	-2.323035154302972	-1.883935306429653	-2.1782195447800867	-2.19168142881297	-2.6819186902013725	-2.183576653550594	-1.8140975313073375	-2.181270333437223	-2.2175749958687714	-1.848494850091416	-2.893819568839429	-2.256861524473349	-1.816202102556453	-2.5886977892314347	-1.5715542130765727	-2.56474757268915	-2.3951376218928133	-2.4909306708779293	-2.2643767218627726	-2.71967748336799	-1.6483876258491537	-2.350773609271779	-2.3999274449911674	-2.1332249856975625	-2.0617112750389444	-2.349358114922546
-2.30748852085748	-2.9309246849448822	-2.2309165196368843	-2.652606802727028	-2.633725806747408	-2.998886439230495	-2.226990000764927	-1.9963354000378568	-2.6455330303881563	-1.7155677408807328	-2.9894478254045955	-2.619708401352312	-2.094585640388533	-2.654674294574674	-1.8715882068621668	-2.188345412773692	-1.751857126092389	-1.8389095716600663	-2.6094114154984585	-2.421520501187043	-2.122343601639313	-2.6336140790182863	-2.142577656715153	-1.834125560608228	-2.396191235786147	-2.319752122886817	-2.0104183600896897	-1.973898935721324	-2.538896174183532	-2.575723843632624	-2.0556660069675896	-1.797291596322666	-2.4860939523530963	-2.845721708894701	-2.4757739153690568	-2.852551407032158	-2.564797229520236	-2.918960379931556	-1.832584484626144	-2.8236014202325874	-2.352213429398697	-2.148260712918277	-1.942842867837688	-2.7123017821319526	-2.537156054469447	-2.2135193791932406	-2.152841082544825	-1.6586437637228704	-2.293222551580528	-2.3827894725783074	-2.0068466901678472	-1.893878746456618	-3.008041588330601	-2.294705217723232	-2.053530004201559	-2.3290150143342965	-2.479603266759713	-2.7835151034237007	-2.246949910646469	-2.226196525507938	-2.279145136963932	-1.949056310585129	-2.94697889560799	-2.3560356771572595	-2.62267932273703	-2.200575254989638	-3.271805777554309	-2.437893229004512	-2.6138465826244293	-2.4859649938878423	-2.379949757097956	-2.450186106767781	-2.5732619570074946	-2.643021287832174	-2.326027161333117	-1.8858944293775872	-2.203339528443983	-2.1918158714382527	-2.702508071419267	-2.210419409508605	-1.8504535891226048	-2.164509367683877	-2.241412277216011	-1.8618993745080648	-2.885954439685752	-2.294357115942282	-1.8491298531388296	-2.601302235060238	-1.5700759583524937	-2.5924841044734603	-2.378197279767901	-2.5163533692611284	-2.319014411605124	-2.6981184455671423	-1.6540436751143557	-2.3545862001325863	-2.40956469375361	-2.136701907322177	-2.066087161826085	-2.326350180173799
-2.2847969925657776	-2.854443790282508	-2.2028071257798345	-2.6026118232222686	-2.579042481647277	-2.956515417372965	-2.190983967575276	-1.978663367898271	-2.597066069371	-1.677314648286963	-2.914062443819716	-2.5576889610635094	-2.073316695368497	-2.601266871797569	-1.8265654139611096	-2.142777695558077	-1.7434980122020924	-1.831585306948143	-2.5594155809688983	-2.380719897777913	-2.0882048728145097	-2.5793939556686403	-2.1083476839378634	-1.8050163788460023	-2.3578790254344413	-2.27981279364903	-1.975528333805236	-1.9353785124567089	-2.5132621895433416	-2.53397026464866	-2.00908167626544	-1.747600783760887	-2.435040070273455	-2.803100959402619	-2.4169451391817995	-2.7924746809196628	-2.5249729567022348	-2.897295618145068	-1.7994729390376218	-2.7729039181465183	-2.3250969106143837	-2.10944664767304	-1.9149156532921727	-2.6530792715342093	-2.515625547931654	-2.1744952465371963	-2.1132862244234536	-1.646716259427106	-2.2448100363137007	-2.355831665664828	-1.9693071128346544	-1.85325494794906	-2.934775006902192	-2.274728169668472	-2.016741433406561	-2.301535941705664	-2.4394640017764218	-2.7378224593597125	-2.209505619149813	-2.1872719776243588	-2.236685243221629	-1.914495633373248	-2.914049781305629	-2.3233649645262626	-2.5852884157969696	-2.16929791132946	-3.229500646419007	-2.404976492844273	-2.550220599734345	-2.45292267442509	-2.3461836964923104	-2.3970922049491064	-2.5488557493910684	-2.6170016737073665	-2.289478341845517	-1.8554385075663316	-2.177484118708772	-2.1517709422944664	-2.6449600221085694	-2.184983599840517	-1.819042231784244	-2.1588314164185	-2.2222590991048405	-1.814514739707228	-2.848580713651312	-2.271995561140736	-1.818202823281836	-2.557812209539226	-1.5354243098022164	-2.555921210734788	-2.3315556021262145	-2.4619790384640727	-2.278430459158578	-2.659144180553486	-1.626098391464692	-2.314330931533578	-2.3747542048941	-2.0838109357162176	-2.028996592096353	-2.2877714076672064
-2.2802226694897545	-2.8259147950048007	-2.197604269814896	-2.583770581984977	-2.5678855283898745	-2.927093386260504	-2.1937159579093035	-1.9752948183971255	-2.578358258805888	-1.6728464318005063	-2.901588996922145	-2.5389658298996998	-2.0670873100727176	-2.5765984404429134	-1.8081851862239664	-2.130788402714252	-1.7551689373337724	-1.829615978090776	-2.54480111559426	-2.384784127923436	-2.0655428504250093	-2.5584464373809714	-2.122642069327605	-1.7951353158793664	-2.351871069672093	-2.275492396115426	-1.9822305951972112	-1.9387141732386828	-2.4985774941994423	-2.519111398929456	-2.0025365452982284	-1.736541902648289	-2.4303042240744577	-2.7773286442199936	-2.4065787956507414	-2.764482463010303	-2.4863598088859105	-2.904869584077712	-1.7994806905223533	-2.754960136561338	-2.3258576293756392	-2.121023752191708	-1.906564704723522	-2.6489779924772576	-2.5164842888040795	-2.15328667426599	-2.111684277254544	-1.652288161288843	-2.2244741742981216	-2.359680178031004	-1.937241619060256	-1.8197183575228024	-2.925849551780251	-2.27329402146883	-2.016670922115562	-2.2638594197651547	-2.4420688870560947	-2.698739975881598	-2.2143718507620624	-2.189916838061727	-2.2133806728033973	-1.9029131117491351	-2.925352235613849	-2.3109436678599358	-2.592251210061605	-2.165676625187406	-3.190885163260415	-2.380008434763212	-2.5330931984755845	-2.463908467771198	-2.352582257668036	-2.411918032674313	-2.550489029513609	-2.617033677797245	-2.2903788437615096	-1.840286822328259	-2.1697438692713438	-2.13198621087477	-2.637036470830356	-2.1765843079861216	-1.8160766613161528	-2.157615659609378	-2.227855163821732	-1.8123351733400503	-2.8400180041467484	-2.270870721689033	-1.8230121134152069	-2.549450493285244	-1.528418736341153	-2.560525939983508	-2.2989482469688296	-2.454549553207984	-2.2881308894983707	-2.650518668177631	-1.6201514454146884	-2.285936571251876	-2.3632231208115675	-2.075293294887982	-2.0149112931404787	-2.2686645480384
-2.3241804151707703	-2.8627272230671386	-2.19546170370079	-2.5780737280873254	-2.569974626328751	-2.927912703929251	-2.218409890832475	-1.9928884926601869	-2.580516348802941	-1.6840345647690589	-2.930465525798913	-2.5485787382682226	-2.096531454139701	-2.603858240857509	-1.807817195745156	-2.137714233526507	-1.7767840563163262	-1.8327824989715984	-2.57258248724607	-2.409322251998832	-2.107528522499288	-2.536508275908953	-2.14279061443096	-1.830142152906716	-2.360477729731344	-2.305200812190496	-2.01803492162677	-1.9494196573451272	-2.527879352057793	-2.542619492050945	-2.0278647513689707	-1.756055719526912	-2.4392620883345937	-2.771807480674273	-2.3970694892245263	-2.773567938629559	-2.4888971620063214	-2.8968921920612853	-1.8180320840842743	-2.774747004464694	-2.3430923954896965	-2.159483551587816	-1.9339910127717064	-2.6857788056186487	-2.5163967288736644	-2.1930473430635566	-2.123221281805665	-1.6472852012683388	-2.24691799927781	-2.385038860480768	-1.9475034279625187	-1.825117426323121	-2.939747780832448	-2.2973508113469885	-2.04748437083344	-2.2453253659962344	-2.457765843166465	-2.6899214841298678	-2.273152247459488	-2.216032387195492	-2.216074538011698	-1.904978219979579	-2.937396914187	-2.326096820766636	-2.623910031548536	-2.1706734428283463	-3.1965833398115566	-2.40288725692277	-2.561143497236457	-2.468597769367275	-2.3657365784322746	-2.457383063537365	-2.5479812812790783	-2.63754561166483	-2.298108831380291	-1.8522463554934028	-2.2010375499022	-2.1526394221684813	-2.6669475808941083	-2.206292618102142	-1.8490731007407035	-2.156522940481254	-2.2568739584484705	-1.826738269363786	-2.8428610276263115	-2.293278476608212	-1.85574992494118	-2.573398074648277	-1.5421187398017957	-2.5563687875347427	-2.303784176076604	-2.4729196209406106	-2.345224042845009	-2.646279926637753	-1.6228930700783315	-2.312665384736795	-2.3817614656639194	-2.0705752852678567	-2.014225039804363	-2.2574306116397014
-2.3072952190402853	-2.826745501996049	-2.197765294656324	-2.561344929910109	-2.5356984132637703	-2.9039530557334845	-2.2023506955536667	-1.9659010707383	-2.5642917283539632	-1.683337350549687	-2.903733652231772	-2.535769768759181	-2.069483184947675	-2.569121706325918	-1.784475826798451	-2.1113409734233266	-1.775673083888763	-1.828945077984881	-2.544015171272044	-2.402514149941455	-2.075078144228235	-2.5383347863122125	-2.125227070694121	-1.806301531444945	-2.325602116809365	-2.28618350977455	-1.990657339590179	-1.928593769105846	-2.520444816832881	-2.51861045240592	-2.00950988123387	-1.7339113380361415	-2.436434099858808	-2.7438847106742905	-2.3850373139455234	-2.743432433824172	-2.4550593408640577	-2.8974058985175137	-1.794280751636842	-2.7378961543115223	-2.330634256316232	-2.145017418883918	-1.9139948127268096	-2.652819010124536	-2.520330022772925	-2.17774323023989	-2.1056137589650854	-1.663697528579801	-2.2315835279568046	-2.37297763711317	-1.9203062441444996	-1.8103533169076744	-2.917997664534467	-2.284549524822204	-2.0253661689966718	-2.2267879409654165	-2.431633744773941	-2.670291218422023	-2.246293081187684	-2.1948842889291584	-2.1856207379292085	-1.8789537564592145	-2.92275163979592	-2.308124224469604	-2.601291029287683	-2.1582655637044037	-3.177257912399038	-2.3869603804867414	-2.54088898411313	-2.4573745442401425	-2.361560350843368	-2.435459375963224	-2.54206856636153	-2.6271834139848824	-2.292048806024483	-1.8270332114438173	-2.1704309532002624	-2.130844551536515	-2.647702670901507	-2.1790727551373164	-1.8363709369737709	-2.1569704076011096	-2.2386229346891904	-1.8046020801325229	-2.8234865287324324	-2.2995693054180557	-1.8477654386609328	-2.5563704717716704	-1.527801669012048	-2.55690730190324	-2.284852933308241	-2.451301189580189	-2.31064079591974	-2.624184166651485	-1.6132173784123185	-2.289272934971142	-2.3614341396251373	-2.0609193801619203	-1.998204644085148	-2.226862584946884
-2.3259200167858247	-2.821975869953093	-2.201577603091922	-2.575112092074994	-2.5540293400634644	-2.909177895190288	-2.205646598500911	-1.9889698657521409	-2.5653155016169986	-1.6799584409199682	-2.891642275312277	-2.5343247874761268	-2.081314127466233	-2.588498438080717	-1.7875781657137644	-2.118680342140145	-1.79588247335996	-1.8324905564943903	-2.560513004478853	-2.409772104984188	-2.092419147648997	-2.531382044592204	-2.1376198117578533	-1.8247142815434012	-2.340585459928354	-2.287155500412081	-2.0161892138598865	-1.94074941081024	-2.528123876239714	-2.519963411835474	-2.014035391444299	-1.7336280186698925	-2.4364616411974818	-2.7308732199834296	-2.371794867578477	-2.7440672154559667	-2.4670500534027853	-2.8710189172492435	-1.801676505149297	-2.76217952691221	-2.3302004861984	-2.14690988323512	-1.924232437663001	-2.6688543846875628	-2.515418644896507	-2.18306112246657	-2.1118656437558365	-1.681143243089115	-2.232129696193584	-2.391166189138432	-1.9183428424621016	-1.8073878239470564	-2.916224947135257	-2.29099027748499	-2.0468301500644404	-2.240018245025525	-2.4411885965651927	-2.6888556047964056	-2.279049578729354	-2.2073786609172386	-2.175810175550298	-1.878169925194073	-2.910394422986485	-2.313213586776554	-2.6144683233664847	-2.1743594918349163	-3.18654803082683	-2.389217576740595	-2.5319453336718665	-2.4649050171655755	-2.368852111317923	-2.451925815289452	-2.532344341950998	-2.634301597490021	-2.2814841475042127	-1.8360756262793525	-2.179886472936301	-2.1346861850244254	-2.648783114053353	-2.189040284369248	-1.858062646258487	-2.168883706974022	-2.2629365880788805	-1.802327245458992	-2.82713827134562	-2.301657316643281	-1.8582585025113905	-2.571909677686881	-1.5277886195308836	-2.561039918356216	-2.285955692195233	-2.4544457745661563	-2.339027144191413	-2.6279333594746515	-1.6216753551665457	-2.298546174964469	-2.364320289741749	-2.0433215346683267	-2.0051236035240136	-2.234753357099864
-2.3088455350064616	-2.8326559661438337	-2.1909823954442245	-2.5834041452804306	-2.543885488825952	-2.898908638032246	-2.202256848777616	-1.981577095258945	-2.570611204753497	-1.681739670295274	-2.9114074931548446	-2.537098172489131	-2.0734043332630034	-2.596927691152735	-1.790798784375087	-2.111579833152646	-1.791277408810446	-1.8149579473143167	-2.5655515672252007	-2.40701070537956	-2.085450308628185	-2.5316568565676545	-2.125276199272603	-1.8230610855572695	-2.3245402542192863	-2.272623841179061	-1.990709220977755	-1.9302557383544243	-2.5326141674123304	-2.4917214692411687	-2.0044145381811678	-1.7217488725793668	-2.4317862927409752	-2.725285840437356	-2.370468068162604	-2.744189599096523	-2.463796384892375	-2.848201451400209	-1.7829375980705298	-2.7653191985264938	-2.332616378563826	-2.141494485266041	-1.905209312863405	-2.663500160061088	-2.5117392805714363	-2.18409781726198	-2.114222279431224	-1.6698739104564646	-2.2211117938974043	-2.378825033778062	-1.9182807568662297	-1.8022025708230376	-2.9091167818715484	-2.2995502613976537	-2.0276240783782926	-2.219784497362254	-2.422655706378839	-2.6986613597940723	-2.2742370961611305	-2.196514438746865	-2.172231901748713	-1.872745170474295	-2.908802894516506	-2.293277656672278	-2.617567678970186	-2.161351393103168	-3.2036159385326672	-2.3901910855463018	-2.543159600917576	-2.456648696186783	-2.375334041690897	-2.45015833424868	-2.51910930815144	-2.605506556758262	-2.274905741207629	-1.8379382023724595	-2.176906770935716	-2.1258566207878515	-2.653323177617801	-2.1850352819426093	-1.8683635836904835	-2.1564631208835383	-2.2565948403439267	-1.797567452446469	-2.8132440725138603	-2.2997524975496777	-1.847819161880268	-2.560561586688498	-1.5096061041889233	-2.568584594044514	-2.285681280647904	-2.447518702064376	-2.332771277421813	-2.602786209346422	-1.6175877165291237	-2.295032106299737	-2.363106336165174	-2.0458005254638465	-2.0004964322587515	-2.2261982626858305
