sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-3.377527550813438	-4.108058212578305	-2.184734753758521	-3.804873870665173	-2.401051071803328	-3.804098850008408	-1.5158474100753467	-2.956203934472376	-3.318701799092618	-2.4469182617278604	-4.112409485833768	-3.318508855136915	-2.999240322939172	-3.7994230626080574	-2.34107488848154	-3.8582971702276274	-3.3393555047070613	-3.349974393528785	-3.3134248095419427	-2.1536289060729765	-3.22370146020117	-2.5391181647655063	-2.610927653770071	-1.4273130918032462	-2.839153528136722	-1.5023129559931525	-3.282480834388521	-1.515333677513846	-1.4520172652592491	-1.558390998128479	-2.862655811257215	-2.155975425044362	-3.221872527393164	-3.1696182143255336	-3.4274361954679837	-4.171314054300728	-2.3842914070060286	-2.830720822074111	-3.3255163286270704	-3.849552643851402	-2.6111489913255217	-2.8829488724925274	-2.986270864066665	-4.11645575336611	-3.2927700786542164	-3.3420937605565357	-3.098825325762948	-1.5561328750676997	-2.805792565174689	-3.881532898550554	-2.562639651822652	-3.153815269385149	-4.109440059291464	-3.3433370827125204	-3.395764572832404	-3.846636570270006	-2.912100192456905	-3.7757676231225568	-3.347733226138507	-1.4671428652549277	-1.8103581872654464	-3.756652192968149	-3.392473791534091	-3.878930682391232	-3.324201012356952	-3.118913225490787	-3.728326564270665	-3.007527008573171	-4.164119214085053	-1.4012074908801342	-2.315879572873396	-3.866168046537117	-1.4570943348961598	-3.341316371801796	-2.4497661572356546	-3.821380617066708	-1.4474163354678171	-3.1374365287928434	-3.152988803451721	-2.245903335025777	-2.854908102530952	-3.38288913198009	-1.398916492048211	-2.341366511572895	-3.1063840091486594	-3.3553203985786704	-2.1716261496702574	-3.166374180623869	-3.395589910724468	-2.5291855561103	-2.857144231044662	-4.175402982716143	-3.3507791378385527	-3.9165728090828527	-2.7743744345843995	-3.841648429766132	-4.12687928477065	-2.989584239439957	-3.380837524435226	-2.360719674325024
-3.344363583029481	-4.064313109747344	-2.144126914039141	-3.706918042858026	-2.3287940585991973	-3.706210312894229	-1.4991717248466416	-2.901175419111228	-3.2480717971772126	-2.3901414393449603	-4.038661356061689	-3.254774656496752	-2.933978743089199	-3.7152102053719376	-2.2881365339599915	-3.7629350176488447	-3.3087234245825217	-3.3057312592756576	-3.23112602354699	-2.110508377041832	-3.1412273875992183	-2.4716266302079792	-2.5864363979064358	-1.4068166626189058	-2.7869206721110884	-1.4069628366216502	-3.265999390593293	-1.5072062799960526	-1.3658445353923656	-1.497823452948658	-2.804285795697574	-2.114977381860311	-3.1561347407672606	-3.093278057421614	-3.3584403498927906	-4.078034354787331	-2.3188250636897685	-2.768536608382921	-3.301989814314174	-3.767412143487092	-2.5519746357806987	-2.8622706615921065	-2.926431693438836	-4.050366539242828	-3.270681874430577	-3.2741480801616003	-3.046404626482964	-1.5494487845670808	-2.737112010075161	-3.824005995204076	-2.4634872605395453	-3.0706692671788405	-4.058497159178884	-3.2990556139837337	-3.349632113174441	-3.753787502316624	-2.87672707636478	-3.699509075410484	-3.304204209926882	-1.4127886392237576	-1.770987207853263	-3.685092616590204	-3.355081656118669	-3.832076703328396	-3.2725634023394843	-3.031291046362436	-3.644221013207864	-2.935095772684156	-4.092720331168231	-1.38171482573218	-2.2599326900883834	-3.83128396717964	-1.4347635271046253	-3.311114179227177	-2.414586906078058	-3.74120748546287	-1.3953068362522174	-3.0820758792001124	-3.117942947603485	-2.1923596539403034	-2.78505838280748	-3.340384769847728	-1.3647926630187388	-2.2885730829228024	-3.054473195104568	-3.298517617549843	-2.121826319539287	-3.0970233891002037	-3.329929718755428	-2.461771718530004	-2.78242611857978	-4.115833964869086	-3.294492156314297	-3.847759433423549	-2.7171757646980867	-3.759401290734638	-4.046317872952352	-2.936174723549122	-3.3172147809573103	-2.287506791796112
-3.332156979621937	-4.017023124677606	-2.1121063946124705	-3.654300281885465	-2.2747055504554234	-3.665565140972237	-1.4888779055528474	-2.8563625607019767	-3.2039844246748346	-2.3894336326971635	-4.015752165897626	-3.213182311870153	-2.9040794698377144	-3.6676944091709927	-2.2190977695465195	-3.722420135275972	-3.3055275472743344	-3.302424612338054	-3.2142998246217656	-2.091448726458659	-3.0968973723386	-2.4334456579514088	-2.5273257757190013	-1.3999647825360375	-2.732379183815362	-1.4031208072878436	-3.24325085342622	-1.455630207074532	-1.3334315463411988	-1.4996951177938482	-2.772221681597622	-2.0501586129289686	-3.119187125660785	-3.04672956213791	-3.323863850870915	-4.013979907216124	-2.277803921993468	-2.7528420972649483	-3.2799456875794504	-3.71457132124796	-2.540084293057713	-2.8342174459437546	-2.906395687547161	-4.03105519310129	-3.2500702150405845	-3.2338449408474546	-3.022029795411705	-1.5048243876008462	-2.695038406184375	-3.80475172189858	-2.465349667953148	-3.0188654961740657	-4.028645582729928	-3.2851712895975567	-3.3474680543030937	-3.711230743453046	-2.864908452055815	-3.6451234962857497	-3.2965800440341915	-1.4088494792888908	-1.727435070189013	-3.649270075926432	-3.344140434622742	-3.8199928473457927	-3.2586701800504594	-2.996775778985572	-3.585713175264305	-2.9160752464056467	-4.101482688537113	-1.3709388265754392	-2.2641472902306115	-3.799777347930585	-1.38575166220632	-3.280059021391533	-2.395743069578771	-3.6899232260323394	-1.3812347308946686	-3.0374993889437465	-3.085690548098059	-2.1952182495094026	-2.7428359513956404	-3.344476287562453	-1.3574410549136824	-2.256648467977166	-3.022807665376037	-3.279513274869371	-2.134097063867887	-3.061454245168489	-3.3104519520721456	-2.4379853158719578	-2.7438893411664598	-4.07744003033731	-3.300858451696459	-3.8392580196686175	-2.690746078307509	-3.7061749909034423	-4.012428787336332	-2.919250705364559	-3.2847557950859585	-2.2408559187680503
-3.3404750770117886	-3.99590837437924	-2.085308263177877	-3.5897515037941106	-2.2320674035794466	-3.5940990984337597	-1.499646305456235	-2.836821697721761	-3.17988903448196	-2.351765643880286	-3.980648745753619	-3.182588395122956	-2.876733500835009	-3.587342690233488	-2.191428122637044	-3.651516156742365	-3.29892816027604	-3.261362214906549	-3.1560434240005524	-2.076358184466128	-3.021762617335824	-2.402935803900505	-2.516049031664982	-1.3729613222993662	-2.657816594873696	-1.383290430494582	-3.2431735486945086	-1.4809651046789107	-1.327031984121804	-1.4917668691252963	-2.7405552757068112	-2.0116621057922397	-3.107069438088215	-2.970670328620434	-3.302228967369196	-3.953737157699728	-2.2038849960321656	-2.7015892048331387	-3.2773124516304413	-3.6409701517200337	-2.533331115471394	-2.829349746481913	-2.8603294278111084	-3.994407348189375	-3.2412927093479484	-3.199745204246918	-2.9741823349846226	-1.4987803487773397	-2.606698487861986	-3.79973060440048	-2.416908984256778	-2.980492758936856	-4.01577581808983	-3.280980849542643	-3.344822177586096	-3.6317838378715455	-2.8378629898615597	-3.5667677910141906	-3.2771781907989097	-1.41055700229215	-1.6882109966038226	-3.5611706247258823	-3.335385267200866	-3.799328712065187	-3.23985127988241	-2.9746804783867837	-3.506679464308748	-2.8861820669888814	-4.040825525214732	-1.321041492216838	-2.2328646257408358	-3.805083077377288	-1.3788044783686908	-3.2874221320919204	-2.380698657564537	-3.606871045033048	-1.3582275631560132	-2.963971357085832	-3.0502521252189614	-2.145829136766443	-2.7250310573218304	-3.3225073333226267	-1.3490254812340126	-2.233166629935494	-2.970000768186946	-3.296708760332089	-2.074569251521773	-3.0261716082798644	-3.258598647871761	-2.425357140101621	-2.675008790594297	-4.042287632732856	-3.2892861338703288	-3.8339647723337418	-2.6670822734836133	-3.639125268566806	-3.974574191403676	-2.8782807758430917	-3.262474022874502	-2.203873117215565
-3.3117131668373023	-3.904073274387583	-2.0402321045107485	-3.508599011503069	-2.169380220998021	-3.52161904801116	-1.472126912504939	-2.7970253948521138	-3.1189443070342486	-2.312116296142644	-3.8768059685568494	-3.114221153896715	-2.849823011750367	-3.524264490623115	-2.1359002538805383	-3.563255421566059	-3.270290115013894	-3.2638793046363084	-3.1058680207411093	-2.0143806479982844	-2.9904266906194152	-2.337200065680097	-2.503113641098039	-1.379594250545219	-2.6080089074560906	-1.373708846178293	-3.2010738406491672	-1.4656478654133118	-1.3387126048219848	-1.4517645573473617	-2.687539061962314	-1.9357783326075284	-3.0435404864540883	-2.9108522223083964	-3.2252031305242053	-3.849659416149598	-2.13591715565083	-2.665919940626321	-3.2393446025026025	-3.577889842760186	-2.4962912126814545	-2.7828760497061613	-2.81489111175402	-3.884512504422938	-3.210885718055837	-3.1369887472904745	-2.912486492543636	-1.4804421367491063	-2.548405316114678	-3.761163882721201	-2.378401284064719	-2.912437368840304	-3.8958890071546017	-3.2651368184365674	-3.310274778182982	-3.572787602899552	-2.8031533168045644	-3.506757753035182	-3.258691806388245	-1.3816366502055029	-1.6621836741249043	-3.493906573584757	-3.3016619394317184	-3.765634041466313	-3.2091632883341363	-2.9190136436348717	-3.463058186284697	-2.842019466664369	-3.96309145984412	-1.3226447972727873	-2.1812419277371315	-3.754018226668028	-1.3936595567998529	-3.2653120303925407	-2.3360749740711237	-3.561877080195282	-1.3516677184678818	-2.917080725869805	-2.9862432793070663	-2.121351804777301	-2.6649030878001305	-3.3196329693587643	-1.339218612813986	-2.1583036759148784	-2.9211819394166034	-3.269307724900272	-2.042643239061291	-2.9670876545336315	-3.2048056216063188	-2.389864617779345	-2.6157335573243587	-3.9431178967222817	-3.253673355699378	-3.79970860326537	-2.6244502788761856	-3.5672404027294125	-3.907801882331983	-2.783182802730441	-3.2112755251046945	-2.1236496160384477
-3.28702461329566	-3.840802978861875	-2.045779068409193	-3.474471020124073	-2.1565728828644373	-3.468588616259028	-1.4777583260307174	-2.7659063718393844	-3.0927829056098077	-2.3017277649994647	-3.839280248132351	-3.0695243014529936	-2.8431225220260767	-3.463678003963034	-2.108893056696751	-3.522434013549047	-3.2586081691164823	-3.268063793192927	-3.063187901489338	-2.02980363479648	-2.935796872649657	-2.325688223692148	-2.5034172781302244	-1.336743379656249	-2.5809807712114647	-1.358112951602111	-3.2027723029129542	-1.4713020093058535	-1.3149674279907175	-1.446388724626359	-2.656975352724368	-1.922626398395757	-3.0160959888540915	-2.8615382668057587	-3.211309700730881	-3.7883927481555135	-2.129656993051997	-2.6353323928873698	-3.251420404977703	-3.536166786775726	-2.487611527735307	-2.7657380704068477	-2.775896639696802	-3.852948234823982	-3.205272561691195	-3.086994892284445	-2.8956796398404885	-1.509448398929052	-2.496927412196779	-3.7508925989927153	-2.3107789221524286	-2.858248461198545	-3.8636069554853223	-3.253113380057886	-3.291973338785379	-3.528472621948553	-2.7953977127489877	-3.451025148703505	-3.263204341877789	-1.3936877099223903	-1.6313100742266016	-3.4533059122882133	-3.3135075082219685	-3.733148976808349	-3.218097226860948	-2.902921176828705	-3.400444870755725	-2.796197694002703	-3.9074565647515023	-1.3450536707571914	-2.184308677240088	-3.747439963792836	-1.4378481263282172	-3.2394484991987174	-2.3291197100760184	-3.492203705327172	-1.3455199217217	-2.860140200854971	-2.9603649033234665	-2.110815625982611	-2.6407373375668657	-3.313893675238115	-1.3728455956316716	-2.1542337982331152	-2.899139643498892	-3.257242472892881	-2.049521636769679	-2.959776937105368	-3.173764644115084	-2.4005100553283847	-2.567979600874136	-3.90056250852386	-3.2482752843399147	-3.771067583822349	-2.6142505549394928	-3.5126287748973466	-3.8606393373258743	-2.762064162928472	-3.1654595206959595	-2.1073702164105192
-3.315570891228273	-3.829059438760301	-1.99025405218953	-3.422610035616127	-2.1375862735328464	-3.4363820538122765	-1.5052125303585986	-2.74970889371488	-3.0539787030470564	-2.290594169564649	-3.8131292657200095	-3.051288614682938	-2.8230710621600257	-3.437010158308449	-2.1211624786758363	-3.480810455576264	-3.2644509250466163	-3.2742484068150564	-3.031376665196348	-2.0048599628774086	-2.897864730044594	-2.290437707461545	-2.486758015554436	-1.3779078256835031	-2.5421928577779758	-1.3895170342961922	-3.220788406613815	-1.457707857923279	-1.3856047761326389	-1.496298384823029	-2.635145043351286	-1.8703248660216745	-3.0080193825946235	-2.834093202730911	-3.1670835268458166	-3.743959416415189	-2.141268201126675	-2.607815579920412	-3.240244817387564	-3.496583503883618	-2.491936923530057	-2.7921480458736587	-2.767594926369516	-3.827603137580769	-3.2056719324676943	-3.062283378198605	-2.8805191677582487	-1.4809588033652712	-2.4572264944307176	-3.7339268417172895	-2.355501539931058	-2.8161016229295246	-3.831567271016977	-3.265682956915156	-3.3032275924732883	-3.4822396846508665	-2.810662288304308	-3.4107000257424755	-3.261485187379882	-1.4212435812111386	-1.6107395436185243	-3.4238087092063165	-3.3096458619310534	-3.751578032239647	-3.1921277163431654	-2.8683232490150607	-3.37236762702721	-2.780749701434905	-3.8906559513327417	-1.3682072093895474	-2.163095928393937	-3.7419584036487112	-1.4118484728112863	-3.2438271176732845	-2.340217433199093	-3.477765115949952	-1.3765973592702891	-2.8504613601790827	-2.9590788121084004	-2.0908161849904427	-2.6158037783466703	-3.3077261848869264	-1.3953255642538502	-2.1246117412479864	-2.8916959300102025	-3.2511203209770394	-1.9935545382751527	-2.936472450138317	-3.167212278018213	-2.35967533787949	-2.530212387109728	-3.876573752759092	-3.2621275214394263	-3.793553642663173	-2.578841800157321	-3.481584056542294	-3.828810385207419	-2.722503128594948	-3.149116982077244	-2.096767425046492
-3.3459521370478447	-3.826152887893272	-2.0414070166561085	-3.442190626383859	-2.152407435354747	-3.443013651107817	-1.563517882990614	-2.7866101047706886	-3.0853122983507304	-2.340718017725686	-3.821061498235129	-3.088575083302976	-2.833571110864177	-3.4424639201826857	-2.1197528248923496	-3.496777474011148	-3.2951272474006714	-3.3035476045247285	-3.0545972484987187	-2.0405775349317565	-2.9128192337407843	-2.3334547463377078	-2.508547813169273	-1.4233076289700848	-2.53832448457279	-1.4589020470842764	-3.236687919743504	-1.4958070429150894	-1.4198840497902387	-1.5454240679798377	-2.6777199777048497	-1.898389275186524	-3.0452105991400558	-2.844624810385343	-3.1909446154014645	-3.736069852304592	-2.146009706610187	-2.6515034097873698	-3.274508240671034	-3.49526998562252	-2.5179125762463554	-2.8324161039202824	-2.785759444555237	-3.837900897349433	-3.2668121415279257	-3.098603420525844	-2.896623736484487	-1.5689769991773137	-2.4778787812206424	-3.783620656019968	-2.377969597592707	-2.8305364034171525	-3.862344651669565	-3.305157297978833	-3.3553637806348213	-3.5003755371650223	-2.8168771095225944	-3.4132351865655064	-3.295385894988846	-1.4323837694343782	-1.6171120848971008	-3.426101833143581	-3.362117332409324	-3.7794792294804	-3.2467160662656727	-2.895094165104537	-3.384271832953297	-2.804557887346791	-3.914909011493109	-1.419082821504421	-2.203126158201229	-3.783307558242136	-1.4843829581440746	-3.287808016548542	-2.3726806712256154	-3.467327187339793	-1.4309443761445055	-2.851065319710378	-2.9859050142696035	-2.12341925760467	-2.646405845603568	-3.3490897122595418	-1.3778414798824423	-2.157203753356565	-2.908227205899666	-3.319349283325297	-2.049572138644732	-2.9756789454403045	-3.1800224667101418	-2.4079621200223227	-2.5443870876059917	-3.88059569664203	-3.272522167948672	-3.810627207742449	-2.6136161293106364	-3.487343876378393	-3.829937811974281	-2.7382376349572586	-3.16428647592863	-2.1063236124762508
-3.3672796530631826	-3.8113773801915674	-2.0278728496629435	-3.456661125266641	-2.2118239735988143	-3.4579416518683206	-1.5739456802749812	-2.796041374837292	-3.074236115037865	-2.325262530130304	-3.789740571084119	-3.072234613596469	-2.8394988894370057	-3.454953006192573	-2.1285335013604016	-3.5020771344866173	-3.3204504322793733	-3.320531970783224	-3.04976308256086	-2.0045959592196887	-2.913771277948206	-2.34794696094935	-2.5254212404324283	-1.460532283576411	-2.520126077007604	-1.4855106895289991	-3.2721618649440067	-1.5439341101475388	-1.4642769495689267	-1.6097236919816529	-2.672527411453443	-1.8369572893231003	-3.031271826767218	-2.8416041549090503	-3.171099671655093	-3.7122630929372726	-2.1793881464732068	-2.6284317231899674	-3.298243792726941	-3.5272556616468416	-2.5341510929821904	-2.8203136657872063	-2.771440810993722	-3.816372110974168	-3.242374200856286	-3.072448005787949	-2.9015541194545693	-1.6253909784128586	-2.447624538759181	-3.792930985126633	-2.3618046614540367	-2.819533226289507	-3.821034030105229	-3.304380655282942	-3.3831726392209105	-3.512583131364925	-2.839788472974208	-3.437120590689749	-3.320464454211984	-1.5293036170270036	-1.6114845570260097	-3.428113506992481	-3.3582914926338554	-3.7895860684034095	-3.2641372735849195	-2.9071032844714555	-3.3759582512113755	-2.792421630872452	-3.873679912080555	-1.4552518323359542	-2.197390825056726	-3.793796341615119	-1.4912922188360236	-3.3137081577453005	-2.3717357970290966	-3.481946411281986	-1.4566204713968702	-2.846783595824433	-2.967826426223652	-2.087902903199089	-2.6495544805954	-3.382573481453077	-1.446436149141544	-2.129815361937048	-2.925612322579031	-3.307723409291994	-2.02195807161199	-2.978576101829174	-3.1617092265820905	-2.4168434970313752	-2.518113448383511	-3.849432534326128	-3.3093448590234766	-3.8291230662017752	-2.607289823853204	-3.4967238521768853	-3.807644093252793	-2.6824494988250493	-3.148801653776606	-2.1479911022296307
-3.392981553823696	-3.862799035807444	-2.0527142766942945	-3.5042839393955707	-2.2495115329471527	-3.501264447973468	-1.640834670366455	-2.839312276925255	-3.132303320121045	-2.3973732462181503	-3.8555575146458376	-3.126715378472831	-2.88790944928143	-3.5029265983175724	-2.206257652600262	-3.5570914421352358	-3.3650376033108005	-3.365001623311934	-3.104517788912081	-2.029240721008313	-2.9476265087735274	-2.413984241869488	-2.554444867573803	-1.5727048040165652	-2.550128243428502	-1.542919777116002	-3.3025678386798005	-1.5886354075976583	-1.5169654483942925	-1.6154925770700848	-2.729608149897062	-1.8933917725332696	-3.0749789129034726	-2.8977578861071622	-3.2074424738879626	-3.7692585639870337	-2.2337960622601583	-2.671411115395184	-3.364646330895233	-3.5793330668988257	-2.5887247237499325	-2.8496666080942585	-2.815390289005112	-3.8603381961512064	-3.311904294410385	-3.13081253812574	-2.9693519965232986	-1.6757517651291132	-2.4835348655166665	-3.841910933672978	-2.436255946785413	-2.8810605597625494	-3.857137181346846	-3.3788164664216938	-3.420810680324183	-3.5611395070950937	-2.8756760035106885	-3.480264820429224	-3.373783913549406	-1.5447053143579814	-1.651781756141123	-3.4764040977024586	-3.4335927709958285	-3.821585923236107	-3.32888886069328	-2.93149410465507	-3.4298421004344912	-2.847421914243812	-3.946382739893671	-1.5316228179107054	-2.2559494516015035	-3.836376351445808	-1.5388847438464328	-3.351466617437997	-2.3998907535508214	-3.5371965537680485	-1.5346186542963047	-2.895519646738189	-3.022932359273434	-2.131893670634104	-2.7167923634949664	-3.415686672084835	-1.494137499521489	-2.1599826794969927	-2.948896443072532	-3.359736408786779	-2.0559750779255817	-3.010683504456281	-3.219618306521517	-2.4619659920923125	-2.552954101375846	-3.891681517526065	-3.3544362717627343	-3.880530553110573	-2.6529742079332506	-3.544094814082112	-3.87024956187304	-2.7256365309207315	-3.219604653857888	-2.183466395510551
