sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-2.3442462142557643	-2.326582819105509	-2.25195501697031	-2.253949438233231	-1.9027571129587733	-1.8911653668843007	-2.0113902612058268	-2.0400323774592684	-2.272241012651883	-2.0439117768094275	-2.0787291691098786	-2.356289023649246	-2.170330689475556	-2.202687716043944	-1.8589482760715168	-2.108132028409721	-2.304365941157836	-2.0124319524830336	-2.3561803206178964	-2.552483587259252	-2.041178689581193	-2.11376636077494	-2.077532769955291	-2.0223690554248943	-2.169985639521984	-2.219687489583717	-2.0481816435977374	-2.318039099850791	-2.3668095695403863	-1.83670313557689	-2.1407093042109957	-2.1618328413180525	-2.254740473141208	-1.877766095625087	-2.1042899376574	-2.190122719531089	-1.827061188273153	-1.7858006362948649	-1.862486809871044	-2.177253054964199	-1.806269387508107	-2.3535798274489794	-2.141825495963636	-2.1958000425090223	-2.2412747479068758	-2.212254947892794	-2.1915564344605896	-1.9588595167817768	-2.112037391003764	-2.2610032997884644	-2.2868410948344597	-1.8406317546747872	-2.126286065135167	-2.4643884000364618	-1.9548411905617755	-2.267959362319492	-1.7897860650700796	-2.3222303243757865	-2.18728133583198	-2.150519205139771	-2.3915788096928146	-2.363938387660617	-1.835414146720136	-2.453481743434672	-2.202434964912392	-2.335570143844469	-2.2743456011888763	-2.047747232297012	-2.461233926984322	-1.914541118806959	-2.5326218789537016	-2.377804431653092	-1.8656370597114649	-1.790862611085438	-1.9138015726544064	-1.9883441617669717	-2.0079327101256093	-2.2772938926473936	-2.2514272788769483	-2.080371371673039	-2.229483724880416	-2.010391141876028	-2.196681181166365	-2.0733900097807565	-1.9114299724405943	-2.1648983496054166	-2.2939448181988387	-2.1779216256448453	-2.0577087711275457	-2.065487709647956	-2.241517891551693	-2.1805270862240347	-2.1698731840692904	-2.004970849454108	-1.997907613451058	-2.085353463267157	-2.389402507605037	-2.05127453855412	-2.1160757639353487	-1.9217439171712285
-2.314201202568776	-2.300798410037296	-2.236666702444701	-2.220584540071779	-1.8753512886897352	-1.845420054437898	-1.9877428757077544	-2.021218058976417	-2.2435381310127105	-2.012704683097822	-2.052585774357547	-2.3267007718167343	-2.1410563117214307	-2.182553100705859	-1.8381120669010225	-2.0834383861892127	-2.276322762704753	-1.9946134973663767	-2.321700130732802	-2.514194567283973	-2.010131860994802	-2.1055363452329283	-2.05309925434882	-2.0023519451988894	-2.1370892382849918	-2.18640499779984	-2.0266654461712004	-2.2863353596892955	-2.335671392561135	-1.8013616102363543	-2.116812371229841	-2.124231153267973	-2.226205991753113	-1.8394652330826773	-2.072690404184138	-2.1469037048655246	-1.7893600518963109	-1.7536553394070409	-1.8432328095840005	-2.152913698890232	-1.7724207917444998	-2.314584043549979	-2.111765394538601	-2.1663648688233037	-2.199337987810603	-2.181463817077775	-2.166586967483433	-1.9341393688119783	-2.080367941811469	-2.237785174750869	-2.2482101803186483	-1.835127173002458	-2.0958073806729707	-2.4375889265268094	-1.9356167564032605	-2.2281797784339816	-1.7802935087586549	-2.2867078590401078	-2.1576259320991213	-2.110670951048398	-2.3704598182413696	-2.3243981751945304	-1.8013508279044483	-2.4222730445293448	-2.183384725328496	-2.3061836282077284	-2.225830625988578	-2.014907597222197	-2.430977809585808	-1.8790797256922112	-2.5026440389922766	-2.3423461748404253	-1.826110744624535	-1.7647459785171686	-1.8913719374658655	-1.9580900507227392	-1.9710535858348863	-2.256382684802475	-2.2284170740189917	-2.041458497179068	-2.197668152727913	-1.9791456739665152	-2.165650814381362	-2.044693896805952	-1.8847348214024435	-2.1360637146358106	-2.273144435098485	-2.158441623650387	-2.03385995696216	-2.046891849300936	-2.2304492105000486	-2.1584354199145395	-2.1420346259715224	-1.9719663335233015	-1.9848231507876075	-2.055737286782484	-2.361620264209998	-2.0260110965338125	-2.092104035765327	-1.8897651660992183
-2.270808857851232	-2.265213805230287	-2.210350391609277	-2.207541052659433	-1.8425949738887912	-1.815707259783884	-1.947485792169296	-2.0013015402470336	-2.212573063286016	-1.9869045882760847	-2.0166968563416083	-2.290598429182878	-2.101107543871511	-2.1521830399789468	-1.7891924071426073	-2.0571255222030884	-2.243254048664305	-1.976965398509912	-2.294692555827297	-2.489633259865873	-1.968892814542864	-2.1017186828599703	-2.033006006976509	-1.982821918698811	-2.115155686890566	-2.161282359793101	-2.012503091876824	-2.239548284298536	-2.31107286438668	-1.7661281141891014	-2.0783455496433327	-2.0979177619053635	-2.18090177871658	-1.8085790090540628	-2.029865432587001	-2.117849336960687	-1.76620128634618	-1.7418828709208125	-1.7788597741433427	-2.1174063620175354	-1.7464684345043524	-2.2742344892145643	-2.09702785967659	-2.141537556289212	-2.1928701896081644	-2.153500459462652	-2.1335391667953827	-1.91191339034234	-2.055383730753199	-2.214102443380292	-2.209067194636864	-1.8090581201868705	-2.0603742377105085	-2.4075165812965813	-1.902420383982775	-2.1981315473633267	-1.7511648640502704	-2.265718431944095	-2.1318408376492246	-2.0773174074320284	-2.338323154849963	-2.2780274960006768	-1.755724113472075	-2.396274316979304	-2.164510107079219	-2.26649938288022	-2.2017631627193146	-1.9906882543244837	-2.3829151349340387	-1.8330525951161176	-2.46789661981979	-2.313948030460203	-1.8040862973256708	-1.7399027994648002	-1.8463622051341957	-1.9046535952487809	-1.941785555925196	-2.23968605181388	-2.184957373706826	-2.0179950788285845	-2.139694011105891	-1.9445749277877855	-2.132163902624683	-2.0147815562713847	-1.852200940632552	-2.115356199842602	-2.236329919651812	-2.1095994645529688	-2.00985181816058	-2.0253185147111203	-2.2009401426376147	-2.126494853749451	-2.1118388068249097	-1.9585482705552653	-1.9639794636630727	-2.0115764980690964	-2.3310777718409152	-1.995652982305244	-2.0700328492338613	-1.862796763991214
-2.2079665773297994	-2.2202755795389058	-2.141342762312532	-2.1591272853083208	-1.766631975823524	-1.7543063266845655	-1.8836503829395188	-1.9399445897310648	-2.1475992321888864	-1.9309542715339576	-1.9540049874778147	-2.2262789964945044	-2.0178273312767905	-2.0919906576890144	-1.7200056315122647	-1.9876212268241296	-2.182137069730901	-1.937994904172125	-2.237742235342268	-2.414887736474889	-1.8934405311531632	-2.0778432807494127	-1.9780152925626424	-1.924126328969996	-2.051915063071527	-2.0917747478624653	-1.940812575309584	-2.1380496293769515	-2.2488241621590994	-1.6824687412827903	-2.005892131215786	-2.0349174950208133	-2.1128517170340846	-1.7429312851028034	-1.949589518203756	-2.0479811411471944	-1.7089693753910558	-1.6902113919789843	-1.7073318921858245	-2.055924312723169	-1.6840369034872782	-2.178395635243052	-2.0357781987439325	-2.068515043711907	-2.151055703103025	-2.0863833707247386	-2.072407777542431	-1.8705765459100168	-1.9781226584156584	-2.147571854450625	-2.1281973878347795	-1.7340225736163135	-1.9975240647781187	-2.335967066240842	-1.849711821262326	-2.1300823610640665	-1.6900253295050778	-2.194244545801201	-2.060492245164491	-2.0009341764974837	-2.269813059632152	-2.1912450583684566	-1.6548320357674935	-2.325039460435361	-2.102838105052593	-2.191212482001769	-2.130062399494121	-1.9284507164688875	-2.312325740360704	-1.7552556560301746	-2.388340831038476	-2.237451795273917	-1.7271563613795604	-1.6533845529508426	-1.7641679775990502	-1.8259701652457203	-1.871456167114492	-2.1952197346754234	-2.115788859415448	-1.948325589566251	-2.0569255022404334	-1.8955993131910485	-2.068051367322509	-1.9384548824915284	-1.7762203287105187	-2.0613760500759075	-2.1730616715361166	-2.0394153134024524	-1.9483278298181903	-1.963565090623551	-2.151198805457786	-2.0472826306638403	-2.0332409819121997	-1.90603564188086	-1.9164596224926065	-1.939853242870694	-2.270151865820821	-1.9354181706202196	-2.008457534383292	-1.785334015913985
-2.160450670605902	-2.1767361823556555	-2.1123048214733564	-2.1197773843041	-1.7297913911666167	-1.7038653267071897	-1.835237939719598	-1.903095925002792	-2.102148060420207	-1.8940744896379755	-1.9187721907273296	-2.182990154293732	-1.9760627233530796	-2.05632277031636	-1.675615929435359	-1.9398895310196915	-2.143112131815552	-1.899980207134745	-2.200242998825599	-2.3647278484132435	-1.8411326436357935	-2.0593769360296483	-1.934030157905731	-1.8800542179165047	-2.0138923620649734	-2.047002731331172	-1.9054658206497883	-2.0703513431311085	-2.2096222789367976	-1.6330213208001456	-1.9631765560832548	-1.9967997824549288	-2.062076658043741	-1.6845822282765943	-1.89130363894238	-1.994251629351841	-1.6771608757752354	-1.6474982701640286	-1.643543710842571	-2.0201302488170665	-1.6382907318089746	-2.11057967918882	-1.995516037372264	-2.033141985493848	-2.098056781205475	-2.0399862976370837	-2.034065659387224	-1.8202812954786	-1.939951208193517	-2.094442640634767	-2.068271738343484	-1.7030471244364702	-1.9528566526826376	-2.2855178350741374	-1.812430753583972	-2.0670315624105444	-1.6504621163948272	-2.153253480981252	-2.016769830801393	-1.9520093681535693	-2.2190684640229827	-2.1288937577353746	-1.594024759839589	-2.2797932964255723	-2.060884228610716	-2.1440138796423684	-2.073365476114746	-1.8864253009722989	-2.263687629732932	-1.7114994639674077	-2.341361034135893	-2.1941646315118346	-1.678211562516625	-1.6038331272351067	-1.7172586928808016	-1.7791802625559296	-1.8269697966595544	-2.165380994898945	-2.066986229873196	-1.902062299175416	-2.0073215176861594	-1.8344114875248527	-2.015440452549535	-1.8912979881023533	-1.7281507329614216	-2.015749236521418	-2.126099389515125	-1.99615964608492	-1.9098323979078613	-1.9233678305391009	-2.1263878189840826	-1.9895031335899307	-1.9946062802227944	-1.8564223498079089	-1.890446226324145	-1.8866795993764391	-2.225934405644165	-1.9036778216397063	-1.9704498439931168	-1.7423919172761058
-2.1077186357507425	-2.1310034042888084	-2.071131425832049	-2.082742507313171	-1.6799281347976862	-1.648747774049976	-1.777089184704317	-1.8601581391457624	-2.0601410604780543	-1.8418297827173489	-1.8531174220382456	-2.1312485468876843	-1.9140490087400064	-2.007526687341157	-1.6216944578845471	-1.8972329806105024	-2.091371179241972	-1.8607315793683217	-2.153752645380387	-2.3069621522663506	-1.788472653787063	-2.023266521887059	-1.9009556513841768	-1.8430716609931217	-1.966091582648794	-2.003834940219128	-1.8578363588116729	-2.0070169562992914	-2.168058392586698	-1.5744827979581053	-1.9010931487217173	-1.9408498397047664	-2.008546691852184	-1.6188079501049475	-1.8385261337305951	-1.9430953451846829	-1.6180379974082524	-1.5982966348570171	-1.5942196654834777	-1.978970119543909	-1.5873947376207276	-2.046911036673886	-1.9540829362136969	-1.9873523443501	-2.055796682989901	-1.9918997358819028	-1.987971418045984	-1.7719891947400332	-1.8890651797299631	-2.0503741270491656	-2.0091863810045623	-1.6640561685942512	-1.91346510800302	-2.2354643323671555	-1.7679407074129407	-2.0176176525114204	-1.5881344808962503	-2.1072081887689484	-1.961426483499548	-1.900539141593418	-2.173731143025466	-2.057891025136701	-1.5281931445390855	-2.23601901816568	-2.0156243212250726	-2.092056817051806	-2.0197062754203925	-1.8312159204491407	-2.201712300365366	-1.6607146476322312	-2.292695859986186	-2.148375346430791	-1.626341930741202	-1.5433827878281965	-1.6586559359088189	-1.7180845875481208	-1.7839641143261835	-2.1256235167645623	-2.014360867986975	-1.8580993536666468	-1.9408911153130968	-1.7775512218146123	-1.9746348063659045	-1.8478880965933189	-1.6754332638946865	-1.975445019624417	-2.078921605475834	-1.9413062698996608	-1.8656058590628015	-1.8823841800724987	-2.0861095357526445	-1.9398545203903688	-1.9489614608823664	-1.8070928286315413	-1.851372977239524	-1.832980285536734	-2.176883388323549	-1.852858041922264	-1.9369915990405695	-1.6905102955308424
-2.033845806402562	-2.06089334323991	-2.0166621538633422	-2.028820365191317	-1.6036033433940071	-1.5807655276816577	-1.6949342484471448	-1.7909807409411238	-1.977537585085938	-1.765676023793306	-1.7830494607464786	-2.0501671524202774	-1.8299079992742249	-1.9363895157135016	-1.5540335536168184	-1.8147013851843223	-2.011844894164559	-1.8107855389130167	-2.081788424255382	-2.2338284673138493	-1.7077663044846367	-1.9782888763519884	-1.8337425416091573	-1.7770971443459818	-1.9022630830311853	-1.92735269186054	-1.793046351383763	-1.910816682554373	-2.092836459186652	-1.496607817704272	-1.82823033361168	-1.8697737007363875	-1.9270895183318557	-1.5483155281125562	-1.760057780396097	-1.872690490801016	-1.569862536606483	-1.55144101224647	-1.5173101108374425	-1.892809906230443	-1.5210825775547434	-1.9484119815735887	-1.886216439019444	-1.9116451333132207	-2.008576181737696	-1.923836027943248	-1.9140311500508704	-1.714778552064354	-1.823451369380336	-1.979328146596527	-1.9114893600388283	-1.592114394742297	-1.833279879811761	-2.1678974692492563	-1.7097445026808509	-1.9536441902003967	-1.5188274859828397	-2.0482404844418425	-1.898791784202842	-1.828782620120653	-2.095501156183254	-1.9614487040778472	-1.442983661489528	-2.1671764581350943	-1.949415131552949	-2.0174493761781527	-1.945112860489625	-1.751881839438798	-2.1230953567384967	-1.5765568135129535	-2.2103419329533334	-2.082668834099597	-1.5390705385922543	-1.4679681603653476	-1.5804333290800474	-1.6312021441112277	-1.7123592596777604	-2.0782023651060797	-1.938390588928864	-1.7813277702213712	-1.84879221982567	-1.7307704015642893	-1.9027865865605864	-1.770116976149822	-1.59995757082906	-1.903901901940142	-2.0140991603085534	-1.866119726587146	-1.796872600266248	-1.8120289570077857	-2.012365217284389	-1.876962377194909	-1.8654747482177023	-1.744390333740813	-1.7865230997475987	-1.7679032633508094	-2.1114079716522327	-1.7793384169235609	-1.8625402284607029	-1.6072376990521724
-1.972787720706172	-2.005676304163809	-1.9577886202359476	-1.984071638804572	-1.5552099072125003	-1.5246828954054703	-1.631818306638072	-1.729259875201954	-1.931583491419008	-1.7169047286902148	-1.7310196641490794	-2.000803338385294	-1.750306103428222	-1.8935934838471855	-1.5056808736482812	-1.7547515275658776	-1.9716053866523189	-1.7546305421238708	-2.0310374897370704	-2.1656506207658026	-1.6500313088813423	-1.9426572370149915	-1.7728487510488078	-1.727652093889001	-1.8578093064218892	-1.877589891835072	-1.7435571767773017	-1.8329715897238383	-2.0352122952618843	-1.4348968077815965	-1.7682605403095315	-1.815241633621957	-1.876406843701712	-1.482085877469836	-1.7146511182902666	-1.8127517169593688	-1.5035652115932518	-1.5069204593309784	-1.4718654064849548	-1.8500944496163731	-1.4627132221092294	-1.8788310859330368	-1.837499362968408	-1.8597391087320008	-1.942224265564788	-1.869200092785228	-1.8606402885916489	-1.67099802983519	-1.7712816103889326	-1.9217272242714785	-1.8357160211600836	-1.5381344649437407	-1.788467137239371	-2.113464784369694	-1.652167477093621	-1.883970754657497	-1.4698237694803005	-1.996959689911708	-1.8420164683277584	-1.7701122174628172	-2.036397996513931	-1.8914611161269637	-1.3761465771941548	-2.109057336072855	-1.8980478605646305	-1.965303007591117	-1.88969539404538	-1.6911871054993186	-2.054003490314755	-1.523721300324928	-2.153739371147028	-2.027832823213557	-1.4947355099935304	-1.3932690573006856	-1.517457387109284	-1.5761903827607655	-1.6733380445477362	-2.029118067520279	-1.885626631233425	-1.72952566670881	-1.766526443958027	-1.6597132998210689	-1.84870560887582	-1.7174328684515876	-1.5411755965135372	-1.8554731398743505	-1.9523903894693533	-1.8109165669679232	-1.7382059988625862	-1.7602540048588853	-1.960069467547164	-1.8197704195848483	-1.813130487056648	-1.7027879357893512	-1.7409076362882925	-1.7135068930648985	-2.053851100622773	-1.7258688863385463	-1.820995969642708	-1.5512401670395888
-1.8899595876918676	-1.9186037815662296	-1.8782169065446352	-1.8994043351762944	-1.4751498312948923	-1.4318057383424525	-1.5335721100616386	-1.6386996635182702	-1.835462516851577	-1.6210803269665293	-1.6363625743958683	-1.9101727825561117	-1.649438569787906	-1.7918697969033786	-1.4143638339396558	-1.6694831202446214	-1.887850332614672	-1.6874858300626197	-1.945850355576932	-2.065971729853838	-1.5693426817741236	-1.8712208282149947	-1.69546665655215	-1.6418900833503902	-1.7850669253544666	-1.8009927730062605	-1.6564517247601005	-1.7265202276641505	-1.9492294802612349	-1.337363477035009	-1.6811589508553295	-1.7303829699826156	-1.783588539584978	-1.3761568718121675	-1.6376125785347864	-1.712893504180008	-1.42405525176231	-1.4262992466474629	-1.3881746275357376	-1.7652748452753453	-1.388532597448566	-1.774705623322441	-1.7571964242336533	-1.7728474259919649	-1.8707315243805824	-1.796102167492024	-1.7713589848540097	-1.5947727056737375	-1.6938750194199743	-1.8335273336868776	-1.72419970045363	-1.4565822940961808	-1.712546500952391	-2.022319695038313	-1.5698362421207226	-1.8063310177128211	-1.3992751943585875	-1.896702958641492	-1.7587218472430548	-1.6849201934868718	-1.9401819554117825	-1.7838290655650093	-1.2846117533412893	-2.0309735974177894	-1.811144677703734	-1.8819867186827075	-1.8057146862964475	-1.601526589060954	-1.9497225689717292	-1.439196967837947	-2.0587647910710034	-1.950859184418968	-1.4074295559278094	-1.3097986078234147	-1.4218694982756963	-1.4897194550995896	-1.608889273134679	-1.957410896151048	-1.8034439793499548	-1.6473029298532742	-1.6737183286590458	-1.585545996904035	-1.7647782891123138	-1.6294319315201604	-1.4422804029262322	-1.7691661685974744	-1.8638380327137405	-1.7317757487678755	-1.6542165558315929	-1.679388019301305	-1.8668888356463085	-1.7347960399147986	-1.7210340055348663	-1.62347906074753	-1.6602995484313192	-1.6301036625448135	-1.973843753387132	-1.639009772984803	-1.7392116692391846	-1.460129732899017
-1.8195392921730875	-1.850921120042004	-1.8182008131715444	-1.8401032396696555	-1.4174614437012314	-1.3707731940623162	-1.468675190510528	-1.575025274877441	-1.7719762333831826	-1.5567755718028022	-1.581106243775698	-1.8471532158106256	-1.5697655571419675	-1.7414079243988398	-1.3537675229763533	-1.5988261377277893	-1.8217887730867808	-1.6224774759885543	-1.8870987644870276	-1.9895057836793584	-1.5060679400457928	-1.832867623990365	-1.6275428665959586	-1.577501054434463	-1.7306357880145775	-1.731646242128429	-1.596729703096531	-1.653966535728102	-1.870986155480258	-1.2687667423825006	-1.6179937350231737	-1.662701816474666	-1.713281520234532	-1.3178693382300104	-1.5833554904766027	-1.6578276524221187	-1.3603432749339432	-1.366726104461995	-1.3234475766803946	-1.703457212402253	-1.3287370177456883	-1.6914611315426855	-1.6862617473097925	-1.7153575975984654	-1.7955673985081309	-1.7331978281171931	-1.7008718516046346	-1.541877483988079	-1.6297264907583735	-1.7639634773693196	-1.649461088388301	-1.3837845462235832	-1.6436126538701517	-1.954282948172491	-1.5052436864600205	-1.7428207969458007	-1.3414764397650325	-1.834574192992588	-1.6881328515210934	-1.6211953567316022	-1.875165658782956	-1.705717372749425	-1.216074201294961	-1.9749120306857624	-1.75024737957551	-1.8156686510717943	-1.749996860167569	-1.5330566157384695	-1.8810636599239203	-1.3628002854286532	-1.9923259123451489	-1.8916932218422344	-1.3477796166605909	-1.245038085589772	-1.3663838770084822	-1.4205933152638894	-1.5488405803540133	-1.8986932197723545	-1.7364717141752726	-1.5768102485469182	-1.5889212195454816	-1.5198215114460711	-1.7023181743228546	-1.5640825300172323	-1.379083358540398	-1.701850355857587	-1.7921080428267409	-1.6616706269541757	-1.5941494192518382	-1.6167647652619896	-1.813189701779491	-1.675702305039611	-1.6562238387489667	-1.5561689888258177	-1.6065634113639171	-1.5639571670933867	-1.901706646801094	-1.5825380477241895	-1.6698117489948636	-1.3972005106305576
