sim_1	sim_2	sim_3	sim_4	sim_5	sim_6	sim_7	sim_8	sim_9	sim_10	sim_11	sim_12	sim_13	sim_14	sim_15	sim_16	sim_17	sim_18	sim_19	sim_20	sim_21	sim_22	sim_23	sim_24	sim_25	sim_26	sim_27	sim_28	sim_29	sim_30	sim_31	sim_32	sim_33	sim_34	sim_35	sim_36	sim_37	sim_38	sim_39	sim_40	sim_41	sim_42	sim_43	sim_44	sim_45	sim_46	sim_47	sim_48	sim_49	sim_50	sim_51	sim_52	sim_53	sim_54	sim_55	sim_56	sim_57	sim_58	sim_59	sim_60	sim_61	sim_62	sim_63	sim_64	sim_65	sim_66	sim_67	sim_68	sim_69	sim_70	sim_71	sim_72	sim_73	sim_74	sim_75	sim_76	sim_77	sim_78	sim_79	sim_80	sim_81	sim_82	sim_83	sim_84	sim_85	sim_86	sim_87	sim_88	sim_89	sim_90	sim_91	sim_92	sim_93	sim_94	sim_95	sim_96	sim_97	sim_98	sim_99	sim_100
-2.2318133990597326	-2.6046788402242265	-2.126330869602357	-2.291563272672515	-2.210662173721773	-2.3429698606247045	-1.86715978551524	-1.8493573125483973	-2.2933885665851204	-1.8711151242023167	-2.295069833968844	-2.339156132757025	-2.00416117887167	-2.270655526002893	-1.852449320017028	-1.9455155499442125	-2.118456655352469	-1.9453819060092203	-2.353485107198456	-2.6395892467289497	-1.997503969181286	-2.219875058909423	-2.042896225662367	-1.9502483271942823	-2.0346565219486146	-2.232685667164816	-1.829933250787502	-2.309612443892536	-2.2336491328238504	-2.1971792520957467	-1.976453890862464	-1.8400298263789776	-2.1026835226922787	-2.0272498511111463	-2.3696623949030555	-2.135426042268568	-1.8585672806422613	-2.504344409509415	-1.6226248365425244	-2.2809242611533955	-2.171467170947617	-2.237282076204529	-2.1309265208024013	-1.8970832843325016	-2.043532637843148	-2.2546200832277097	-1.8454873724970395	-1.9112254144756595	-2.086050029951186	-2.1869410659063195	-2.0601261324376434	-1.8297778204188035	-2.15578522362792	-2.1914425630198893	-2.0830749513907394	-2.0624591713775886	-2.135425440121095	-2.391694017731398	-2.049177410123007	-2.050910501075529	-2.0715206359808582	-2.1703400149429983	-2.23302199988911	-2.4858386666669827	-1.9888235567925303	-1.8911717972453603	-2.716544229041716	-2.1171498175723467	-2.112046477481592	-2.127713035673324	-2.224147430586875	-2.382348466794834	-2.182872816390268	-2.109858068237761	-1.6467292238769986	-1.8824916109640677	-1.8340560961017116	-2.117906094460704	-2.207826762126928	-2.08553482655689	-1.807071606856529	-2.0149887441432828	-2.1794115597045454	-2.2543839023532675	-2.5121792730762067	-2.103811494913765	-2.136715953145712	-2.4585743270696505	-1.813414614822948	-2.283570938381891	-2.449688343131356	-2.142603865127552	-2.040953180186021	-2.31412326282321	-1.8467300363071628	-2.125498746947848	-2.1047850371170784	-1.8285954417271533	-2.1743556308494187	-1.8981986223252056
-2.19097525388253	-2.5639607070469106	-2.096311848973194	-2.2440568371164744	-2.1625884066783483	-2.294494270727953	-1.8400887343189911	-1.8233939739003169	-2.251291468923489	-1.8306825738366237	-2.249379771773444	-2.302015415228862	-1.9700569240534096	-2.228541954199996	-1.8055548084900463	-1.9089729851122483	-2.082129365923351	-1.910710739986511	-2.303209245252968	-2.5857329823610007	-1.9589948090831455	-2.1944123663816124	-2.014689003588336	-1.926488836244854	-1.9943997374219515	-2.184384087459359	-1.7986771759496585	-2.263072502237729	-2.1936082152758773	-2.151743322659403	-1.945159345579392	-1.7978609996863408	-2.0672429420161085	-1.9859927573457048	-2.3164320691123312	-2.08510592441246	-1.8314791691213523	-2.449518822246193	-1.5939745452401282	-2.245007019296838	-2.126022645916179	-2.203119257542389	-2.0900192798531223	-1.8623643203528888	-1.9964384112801243	-2.218302306959961	-1.8076826531286387	-1.881698114993932	-2.0502005265223007	-2.15468646647872	-2.0119348633794014	-1.799326278155657	-2.117703629362647	-2.1565036053044637	-2.050456528770298	-2.001921154845148	-2.109712491699651	-2.3459722412346617	-2.009062610850278	-2.0077955265988714	-2.037355991420277	-2.1239274535003703	-2.197688761354154	-2.433337548616974	-1.9547174098428424	-1.8480406341023148	-2.6555059296394026	-2.0817338981151736	-2.0705426843670174	-2.090461509985	-2.1877772768538764	-2.344022239387032	-2.143920812145403	-2.077507040489334	-1.6117014644247225	-1.848254089551649	-1.795783989336934	-2.0829782945274653	-2.1872840815342114	-2.042255558098518	-1.7662180429208896	-1.9812488874192336	-2.140418228478498	-2.2075817880081723	-2.474880737135967	-2.0679904575280674	-2.095139989601394	-2.418793762295353	-1.7761182894521912	-2.2497653516303333	-2.412957273825812	-2.113901775727683	-2.0032094036855668	-2.2684588095059954	-1.8132936817439596	-2.087475667256373	-2.071950232527609	-1.7907498012401608	-2.1359403639588197	-1.851575051716551
-2.150071767995448	-2.530102625042768	-2.0693657913651555	-2.2217373833163325	-2.128780022889305	-2.266420871339554	-1.813135803115963	-1.8068316908867663	-2.2230873784546725	-1.806027147303925	-2.224216029795461	-2.2746852251894056	-1.9447017214688105	-2.211907868804748	-1.762075271977778	-1.8885105460431308	-2.0581446583775747	-1.8896227602475804	-2.2714777526080625	-2.549959042837433	-1.925281001221263	-2.1831678412894333	-1.9973724875296204	-1.905758251207469	-1.9727696292786436	-2.157842339233845	-1.792578600653921	-2.229866188394937	-2.171074526810673	-2.114656205457853	-1.916611378170516	-1.769981105462067	-2.039265532923335	-1.9592560865021456	-2.275910167769565	-2.0548935624470137	-1.8028679988041283	-2.4167393027504405	-1.5547072337361507	-2.220446390445346	-2.097926771760643	-2.1758761524562638	-2.0687966648138936	-1.8388206643209064	-1.9703352168516592	-2.1935134658460576	-1.7814065878828993	-1.8638132792203377	-2.0323629107844203	-2.133750001124911	-1.9850449300247308	-1.7653689276588154	-2.087339041581638	-2.1359029233979587	-2.027167967041442	-1.9666864094771568	-2.0820909076199423	-2.3169462625095107	-1.9938306475013623	-1.985034195178241	-2.0122695724700064	-2.0917090538364804	-2.167282693103094	-2.397776240719724	-1.9383936152972805	-1.8114373063325848	-2.6216765722807778	-2.0623276880288013	-2.0487730055228384	-2.058164264826617	-2.167605799512806	-2.320344914976598	-2.117259567620984	-2.053182945324374	-1.5789378172301018	-1.815499785968292	-1.7763053726693567	-2.05225731374489	-2.1668466436302154	-2.0187069872065444	-1.7379867837846517	-1.9593327106151517	-2.110731623668172	-2.1767241606617937	-2.443489514276787	-2.0479534242569124	-2.0642884221155398	-2.368804113367836	-1.7485694680355517	-2.2256449066375708	-2.376745006204965	-2.089581336664687	-1.9886085021292168	-2.242948950244116	-1.7889528875841882	-2.0475557098945605	-2.046507250335601	-1.76587732485969	-2.1052333997318	-1.8278259562930264
-2.108142515258589	-2.5051224765671685	-2.016381972060242	-2.1792780125396343	-2.067255673842208	-2.213995985848616	-1.7679558630455294	-1.7622680022723651	-2.174859842255312	-1.759366097502833	-2.1849312008882	-2.2321633324400545	-1.88928827208388	-2.167848110541987	-1.6987350460358526	-1.838977890206961	-2.005102272148118	-1.8441381131983408	-2.217125215970695	-2.491990627572492	-1.8735244844728476	-2.145466728429658	-1.960833059544829	-1.8597677953747	-1.9191400634468927	-2.1020604410064467	-1.75211210166063	-2.165396760685683	-2.127425005317523	-2.046264330842201	-1.8702167395578997	-1.7241910306588295	-1.996482590404104	-1.9016902220787115	-2.21508749338575	-2.008802288785058	-1.7439484030702206	-2.3591527774536862	-1.502647033120967	-2.1771253544762232	-2.0529460893398555	-2.11854146604194	-2.0209063513149457	-1.7837723445377545	-1.912057613640875	-2.152363187310308	-1.732562533330492	-1.8242010208807824	-1.9785161243242029	-2.092866772681896	-1.9263321631292916	-1.7057173314322496	-2.038373485316729	-2.091277970989238	-1.9950756961464196	-1.8911654193703764	-2.034559002390042	-2.252990684640196	-1.9543332333107573	-1.9370248311479232	-1.961147607363925	-2.02740284063614	-2.1019858762709616	-2.334090558464732	-1.8943997606878744	-1.75326327496386	-2.5596904915804077	-2.0132689071063967	-2.001408123994423	-2.0058635720234177	-2.1255230181779163	-2.28222969613005	-2.067187554842364	-2.003287480363642	-1.5185489918211277	-1.7582299405771884	-1.7347166180780016	-1.9999654605150712	-2.133405182001966	-1.9621476595169545	-1.6890455962635016	-1.9153668307417464	-2.066786507734022	-2.119550944486699	-2.3927222628449365	-2.0113278226164075	-2.0127891524872594	-2.303962298694836	-1.6957863472770458	-2.182896737547718	-2.318304798433588	-2.0396954570980026	-1.952022586617736	-2.189899285680735	-1.7437840495548944	-1.98882616559006	-2.001346219126114	-1.7177717371076675	-2.056665936289246	-1.7668625816096577
-2.0459378869742677	-2.4362149248113893	-1.964928289732832	-2.123837990879809	-2.0003593619330813	-2.1512014420764145	-1.7012916065367814	-1.7100106914115345	-2.1154767195381114	-1.7027683390998474	-2.1110038196818306	-2.171389803270316	-1.831146123318909	-2.1121108991142514	-1.6321347713072938	-1.7827877441988706	-1.9482902855720563	-1.791441037515205	-2.1529752997215903	-2.421632858813913	-1.81064924715464	-2.094035838387346	-1.899769361691168	-1.8007067073047336	-1.85857773790464	-2.037190067447484	-1.7053686196734763	-2.0952006881825067	-2.0698306662238357	-1.9715139145370983	-1.8079551434778929	-1.662177954005124	-1.9323810182460472	-1.832341054661027	-2.139874887826956	-1.938220791359984	-1.6934572799474583	-2.29172288842875	-1.433340803130181	-2.118327850279518	-1.991252836022617	-2.0459767977525503	-1.9674790600986465	-1.725873494976751	-1.842039252995194	-2.0940329831961315	-1.670740875954049	-1.768161033054575	-1.9292493753932096	-2.033921452547341	-1.8614827253209676	-1.6542613772689303	-1.962806839208939	-2.036591835936811	-1.936692629228422	-1.8209214683418449	-1.9761460351929212	-2.189383841217875	-1.893635557321892	-1.8750313746536245	-1.8996629310706732	-1.9599415272696048	-2.0394262126884337	-2.2674811824129097	-1.831894879188388	-1.6866068182256078	-2.4884207127277485	-1.9571521418969808	-1.927824992864885	-1.9444315275947504	-2.072593210973936	-2.213230826542529	-2.0084135667191165	-1.9397387675224105	-1.4577391361384842	-1.7081450901194846	-1.6856245953822633	-1.9444349965714605	-2.072448720676691	-1.8913516381709057	-1.629904658912472	-1.861760662296539	-2.0064629011118664	-2.0526839929027934	-2.329729150561048	-1.9589753137245645	-1.947727729491768	-2.237176624340279	-1.635838180985911	-2.128116144528944	-2.2581238810950075	-1.9694229383942476	-1.898976418482156	-2.1234038251473044	-1.6937024155453126	-1.917176509400101	-1.9365358457173047	-1.6590668833695816	-1.9933535473836403	-1.7087639213357386
-1.9741277761729157	-2.373077926613357	-1.9049054121488331	-2.071434369670954	-1.9297127705281067	-2.08317718046561	-1.6334002330014996	-1.6497510457985092	-2.060279865768737	-1.638521934657006	-2.0338118912822294	-2.106240360590155	-1.7620618051461303	-2.0545353298062827	-1.5560596062923169	-1.7325247778116666	-1.8766861857918349	-1.7317316782194805	-2.0773778368801463	-2.341679315926964	-1.7372181545134258	-2.036948672636018	-1.850002288934268	-1.742877378937157	-1.793995338227531	-1.972469494041002	-1.652062834775501	-2.0299380254254302	-2.003017055077476	-1.8847676197406047	-1.7387182643764223	-1.5932697860876357	-1.871133024275247	-1.7573572136878233	-2.0693156592689586	-1.873825755870477	-1.620422142843426	-2.212759965228752	-1.3706883474997402	-2.0583720374741223	-1.9288807918289936	-1.980359068071728	-1.9061374300154232	-1.6663521240800383	-1.7680689689375138	-2.025574276724981	-1.6091060296954849	-1.7098574430831084	-1.8748835623021665	-1.9752496013187009	-1.7922827062543631	-1.591164212430078	-1.90013906671885	-1.9805440573716624	-1.8765115342763523	-1.745417938308894	-1.907761154393097	-2.119237859259346	-1.8292985077991415	-1.8158545550984548	-1.837117010552938	-1.888559836155869	-1.97946949881438	-2.192125602436804	-1.771168992798286	-1.6123882683874589	-2.4083032311466908	-1.8889882439306935	-1.8568161796308096	-1.8834936606407684	-2.0210697459135383	-2.151211942115524	-1.946392911571347	-1.872328349819116	-1.3944129825326526	-1.645884237261507	-1.6370859560716842	-1.872718442462416	-2.012821162636245	-1.812908923134109	-1.5650856480747009	-1.8008398616444523	-1.9503496235309437	-1.9901465708491963	-2.2626148691018053	-1.9103047382786784	-1.88132128744591	-2.1554796279092625	-1.5733386660176956	-2.072966560351761	-2.1772787055829133	-1.909589158617492	-1.843843842310864	-2.0545238101602443	-1.6371923210220014	-1.839392974413392	-1.8708357193773983	-1.5957083792633395	-1.9275150780194212	-1.6486188527019563
-1.9183324551911167	-2.3220414675379986	-1.845135409930725	-2.019934385375005	-1.8519122454667525	-2.022976070289697	-1.5620967980175426	-1.5862336260718726	-1.9964904218178132	-1.5745574913319695	-1.9804108766171769	-2.0474458771160022	-1.700258670867966	-2.0079036967748123	-1.4851248302912727	-1.6765638551234332	-1.8087358337507928	-1.678484398748	-2.0065416144208634	-2.269717717061232	-1.6747154477741677	-1.9832876094985907	-1.7891219617758696	-1.686741126152301	-1.731982299580959	-1.908377626301516	-1.607641575425277	-1.958317897783772	-1.939608475995458	-1.803420799202571	-1.6817784375890488	-1.530157847145987	-1.8090082541131771	-1.694913723068736	-1.9938383712291328	-1.8150160578707573	-1.5772714189608197	-2.132688210985396	-1.307197319093924	-2.0018881013117453	-1.8694597661898795	-1.909002048964893	-1.848445291221452	-1.6088341851414558	-1.693201704597468	-1.970903785568415	-1.5418861444572045	-1.6566124445818642	-1.8273278229276535	-1.9166916945743533	-1.722095638869972	-1.5297809823677746	-1.8220281348437264	-1.9297163428098567	-1.8231953225669808	-1.6771422047890372	-1.8498780750013384	-2.052149104224814	-1.7866731874024282	-1.7547922744502422	-1.775921920201983	-1.8162866062273355	-1.916248432030777	-2.1189284559987738	-1.713424185715396	-1.5354272688622908	-2.337587572658149	-1.8256737650756865	-1.7999343233794485	-1.8185113120379115	-1.9664699050341543	-2.0932458963794187	-1.8739054653087472	-1.8112648480514724	-1.3268110312159238	-1.5851056106837456	-1.5909607908271246	-1.812263678718582	-1.961322925933458	-1.7321225913397529	-1.5018217627242876	-1.755402378895377	-1.8937751624125776	-1.9202878505278584	-2.197696355227244	-1.8502959847731888	-1.817109412909227	-2.0803525466677124	-1.50957013504565	-2.003335889621621	-2.0986948861347683	-1.8589748364561784	-1.8036033079532452	-1.992059746757538	-1.576478092114718	-1.7764825391321912	-1.8139015917675376	-1.5277330182128597	-1.8625219650955944	-1.578677006718912
-1.8605964188870787	-2.262600007830533	-1.797616498225561	-1.9767637707968069	-1.7910628468907146	-1.970665014058926	-1.5015322982745372	-1.525141047181838	-1.953073534606659	-1.531731588233267	-1.924472192454358	-2.002725649949184	-1.632912211197689	-1.957126815223932	-1.4293173406649944	-1.6253294311466728	-1.762805578454178	-1.627140138145088	-1.9513073939879884	-2.205615591428687	-1.6149314025468613	-1.9462330387516056	-1.733024493668453	-1.6361434672605464	-1.677673439654125	-1.8548949634798564	-1.5574273562810013	-1.8962397461845688	-1.883299654850085	-1.7346380298179664	-1.6281751814360357	-1.475636765144448	-1.7634437341788831	-1.6381839488952192	-1.9432610012892195	-1.7561246667051904	-1.5204998356518078	-2.08243166346762	-1.2581380754237688	-1.95084513451703	-1.815230449632805	-1.8489016409107712	-1.7984939199892145	-1.5606685992438334	-1.6304942511768143	-1.922603429697889	-1.4847133371913264	-1.6208060531262471	-1.7837555944494403	-1.8650565797523693	-1.6569576563937	-1.4815298271437125	-1.768971893516577	-1.88117245664624	-1.7672109685235629	-1.6201762253203105	-1.7980862168775378	-1.9991126484483035	-1.7351734868387634	-1.7005024934845887	-1.7227929417825625	-1.755859925099812	-1.8624506076396867	-2.0573599690702147	-1.6573203767551832	-1.475516129777823	-2.283688626526544	-1.7714914605751733	-1.7395829187502678	-1.773187351537023	-1.922798455032812	-2.0360336726584745	-1.8298132959146716	-1.755083554495649	-1.27286329290558	-1.5344667425476115	-1.5489661837105384	-1.7566219900825124	-1.9126921838820137	-1.668775855214352	-1.4391888352345863	-1.701512840059314	-1.843451576035784	-1.865020825577954	-2.1446468411441786	-1.8080375305581344	-1.7664794874886185	-2.0242092664662024	-1.4518084342479196	-1.957423045209316	-2.040160027298429	-1.807275705070461	-1.7558896196287297	-1.9444953783587076	-1.5335391084857524	-1.720447297146632	-1.759593009481783	-1.47520230272658	-1.8164235915121203	-1.5217331228435276
-1.806963773951501	-2.2021910126684574	-1.7435037230880406	-1.9218486601798803	-1.7319690208489844	-1.9160715656713057	-1.4338805518930278	-1.465528173585501	-1.8912876319709604	-1.4626530102135498	-1.8610525232153632	-1.9426042742921357	-1.574293514047204	-1.900522133570674	-1.3617090286812596	-1.5698326386478998	-1.7067411262758825	-1.5739466266107016	-1.8912449589974816	-2.1392118457309426	-1.5603309000184642	-1.8941146829705515	-1.684406923911303	-1.5795762039078798	-1.6254545657180903	-1.7979296561508298	-1.5072728253750027	-1.8259148737008823	-1.8243526934204144	-1.6635523311261515	-1.5705395730777618	-1.4107120028399056	-1.70098575001917	-1.5724377064227029	-1.8819461665854185	-1.6858626205910845	-1.475578911333481	-2.0091027169947124	-1.1994124350077275	-1.904290287654342	-1.7598271161760768	-1.7800319272168104	-1.7457350199779331	-1.5032712013010163	-1.5605221643545524	-1.8675515547413184	-1.4173002080228772	-1.5723329011012483	-1.7299495701170842	-1.807799459340354	-1.5785718305129823	-1.4249896976559555	-1.7033254301506036	-1.823474500053712	-1.7146734392101093	-1.569707596642684	-1.7501950317395525	-1.9353250635250183	-1.687669003384078	-1.642483099923644	-1.6522205707866269	-1.6859257957198257	-1.798560457447144	-1.9971694909606057	-1.5945704437555237	-1.4106538020244164	-2.222347208828029	-1.7106136419540194	-1.666811695649869	-1.7215518335138622	-1.863213916016552	-1.983372952580621	-1.770697944642428	-1.7020919848843423	-1.198029854801517	-1.4761855526454464	-1.5054685275593978	-1.6962496570605508	-1.859129872529785	-1.6073757525183472	-1.3782480072365042	-1.6511231332402987	-1.7950794601702376	-1.8028609692224875	-2.08686252263992	-1.743591319173882	-1.7038749802985222	-1.9696674492817647	-1.388917882269402	-1.9012273445870185	-1.980178389344616	-1.7537388750044975	-1.7069372623091226	-1.8895286403558125	-1.4795210316256815	-1.6624858218666458	-1.708108899343317	-1.4048856497784867	-1.762801206141486	-1.4616651225615211
-1.766286023816416	-2.1689947820595017	-1.7138550277464455	-1.8922826705616755	-1.698648305798123	-1.8871398366910968	-1.4004259956944092	-1.430491449931394	-1.8612713896979527	-1.428585163754487	-1.8457145182237813	-1.9188921015768503	-1.539250414311098	-1.871710585510119	-1.3311313085074967	-1.5309503505611826	-1.6806167421491018	-1.539634526514662	-1.8661330568467336	-2.1105121463614926	-1.5268124961008274	-1.8837892776313483	-1.6493253017895535	-1.5512123800630495	-1.5925921780213357	-1.7656820133259077	-1.466463748703983	-1.7927082029348471	-1.788974555175775	-1.6297090634512903	-1.541737915270364	-1.3712751986514404	-1.666393207301682	-1.547480222373456	-1.860226044698696	-1.6529643599421877	-1.450105423416099	-1.9830110391350568	-1.1593342062382628	-1.8820712466069784	-1.7323099797963712	-1.7378464616899894	-1.7078619286671357	-1.470990314578825	-1.5148439439638337	-1.838722368338724	-1.3775929597766312	-1.5477350790299471	-1.6904984493575028	-1.7703808900747808	-1.5380917530874283	-1.3867955262914633	-1.6630622004165043	-1.7911176283059411	-1.682203027646003	-1.5377027313713914	-1.7202205939269004	-1.9048111970672224	-1.6562341099845788	-1.606362705337814	-1.6179210633841257	-1.649191362933768	-1.7626894600177372	-1.9713355732623	-1.558086788768218	-1.3701852271421546	-2.2076227255660794	-1.6767609045975598	-1.6384541302607567	-1.6900972757878636	-1.835843858166864	-1.957813792340372	-1.740170862190049	-1.6702752531361222	-1.161100755841975	-1.445368725616856	-1.4686743049626498	-1.6672542445653014	-1.8301785671850777	-1.5799659156635784	-1.3351609947056793	-1.6140422826097	-1.767801390652772	-1.771040137946451	-2.0603773196513435	-1.7006536007388535	-1.6709235185046116	-1.9402593314389724	-1.3520089622216067	-1.8727487182929243	-1.966323022535946	-1.729589456655442	-1.6777025625337438	-1.852728453308392	-1.4509045796530111	-1.6323950607678224	-1.676978112585722	-1.3709736627495264	-1.7351051906156971	-1.423488397285089
