,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
0,-2.9908350081499098,-2.747240102662226,-2.1459827313681,-2.414178306158306,-2.946405988167486,-2.209466570758721,-2.351812899737191,-2.2275628708752233,-2.421239225990746,-2.2993953684450688
1,-2.958284439402195,-2.707487759128009,-2.1522533616444726,-2.387264202063207,-2.9008883814065674,-2.2688276557084963,-2.3690180726397654,-2.224711264471024,-2.4119804910813976,-2.3042753626776653
2,-2.8687089181467926,-2.598164639291197,-2.0922263965927046,-2.3220718992047424,-2.8145440177750367,-2.2647684856774095,-2.2932391696038437,-2.159700494593793,-2.3339840042407203,-2.269114755656092
3,-2.804612060804706,-2.509906587493817,-1.9929872817529917,-2.2443600040038194,-2.749606531207514,-2.210682100664356,-2.209678579035966,-2.0849863707578464,-2.2525882482296122,-2.2182873940394474
4,-2.657844470804442,-2.3652945910933427,-1.8602306195668388,-2.1175451715070985,-2.584792158237955,-2.1040514908920382,-2.0626173147271456,-1.95683391604157,-2.120622097703675,-2.1068078303277735
5,-2.4407953178731203,-2.168299808759133,-1.6705006986245685,-1.9323030627642355,-2.39729041819657,-1.9352730657973871,-1.88564870515221,-1.7818253300687383,-1.9387887967269586,-1.9272641399163575
6,-2.2841351204366127,-2.041619213684726,-1.5173355072612877,-1.8071191578000758,-2.2616153123521374,-1.7886073506606233,-1.7233242032941651,-1.6536805024362182,-1.808264336217891,-1.79468415530571
7,-2.1846902097588514,-1.9587146999134546,-1.4359865951137898,-1.7370629714589514,-2.1835896932825065,-1.7013104350884767,-1.649655343170897,-1.5811144599561604,-1.7343035665202131,-1.7156657902413683
8,-2.137191515220911,-1.923121817300194,-1.4097084313628279,-1.6920444556285552,-2.143082939173694,-1.6565116547884025,-1.6235517234107495,-1.5487453478913755,-1.6935381987343747,-1.6603711299260802
9,-2.143687148849117,-1.933520339924906,-1.475294651753249,-1.724415039116955,-2.133415846735646,-1.6765285929407199,-1.6592876151180738,-1.5922652369678478,-1.7284150087696666,-1.6813597925491137
10,-2.224899753817079,-2.020786685262083,-1.6000776973208835,-1.8139199854406485,-2.1927277522954274,-1.7662284433143094,-1.773522433262587,-1.6894667257912013,-1.8174914011669736,-1.779681292203297
11,-2.2970344561599707,-2.1082597988806877,-1.7520580007261037,-1.9253388629992456,-2.2505884639476434,-1.8521194925284608,-1.8792438403804634,-1.8023871944613592,-1.928541635348971,-1.8777792538746394
12,-2.3179550942684934,-2.169984589337839,-1.8260481545971867,-1.9840479320605673,-2.2843042843859727,-1.8746442447505307,-1.9387318104893645,-1.8735907386217503,-1.9875265621992655,-1.9270675950186626
