,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
0,-2.0113661437164954,-2.772183768154088,-1.554076354194094,-1.6587951221709325,-2.3172708226965915,-2.0953939654697717,-1.15357674765051,-1.2265132702158588,-1.6532517384554826,-1.623680776978399
1,-1.9303787339865321,-2.6966366643818356,-1.5032543251640145,-1.591553726814786,-2.228724366383614,-2.0547819632624926,-1.1143206536331152,-1.182075224937685,-1.5953340743309654,-1.563152106108188
2,-1.8509734947137846,-2.607222670684316,-1.4601320191145588,-1.529978347039874,-2.155575779252748,-1.9982271389895314,-1.0645114246687066,-1.132714861050232,-1.528610605600609,-1.4976545174945024
3,-1.7804331078444635,-2.538981520133495,-1.3823360855918054,-1.4478840241995816,-2.051314968379194,-1.9067990893691171,-0.9643672386950017,-1.0409053478744534,-1.443100390832504,-1.420673372447821
4,-1.661373792451209,-2.4273815385486843,-1.2812080775827728,-1.3337669126233667,-1.9045832781299208,-1.7877803361205866,-0.8223197924306874,-0.9084759313792827,-1.3272106808724953,-1.3003800361102764
5,-1.5022220845999232,-2.2829154541903063,-1.1421962992801744,-1.1777741662203303,-1.7183584403679448,-1.634201010673445,-0.6474167779072949,-0.7358833742826713,-1.1737427113092063,-1.1458465797558215
6,-1.3905586689125808,-2.1565696485430226,-1.0346285828924366,-1.0569527409995618,-1.5428581017325753,-1.4946626504082001,-0.48036114802556373,-0.5861514523663676,-1.0481272058287545,-1.0295956369584598
7,-1.3034576210171414,-2.057698907498558,-0.9573728910635668,-0.9743171069898096,-1.4234796499005735,-1.4057998119847557,-0.3702899386396217,-0.4845413513077663,-0.9650464176540624,-0.9554670093123901
8,-1.2349449026146682,-1.9798266989867948,-0.8823904787879239,-0.8958906805087251,-1.318427057301347,-1.3342402304631336,-0.27844332238392583,-0.39837239922607004,-0.888938781484162,-0.8767900707761577
9,-1.221519022824316,-1.9607647833676862,-0.8859197977652598,-0.894431871026257,-1.3107093375650387,-1.3399978368874637,-0.27285554097880077,-0.39900914767803364,-0.8893268323593583,-0.8725937305310123
10,-1.2646493763679305,-2.002673476129086,-0.94681480721545,-0.9484827846886656,-1.3813887417529869,-1.4012180254638125,-0.34357837640471267,-0.46530980791712273,-0.9431865256693344,-0.9365452393779166
11,-1.3243505942706464,-2.0760790887272726,-1.0437350177199705,-1.0534543189394623,-1.5250861375000504,-1.5026019694865138,-0.4421043305390599,-0.5708551557184999,-1.0468126227902035,-1.0296238278319803
12,-1.3717524324432757,-2.156178716345969,-1.1186631735147525,-1.122684925085392,-1.6265099835609313,-1.5767954571389098,-0.5056304640191036,-0.6413444900579763,-1.116932133517243,-1.09880729291279
13,-1.4220085459238962,-2.246351206096212,-1.223721508006365,-1.2386497235961944,-1.7332774528989265,-1.6484708491387337,-0.6117608290697345,-0.7713813443704457,-1.22596321794712,-1.1977391101408765
14,-1.4263852635489827,-2.2848771197799773,-1.2911492710418706,-1.2787604606237106,-1.749664243306549,-1.6524719366575893,-0.6559930820227214,-0.8320820513642904,-1.2704482761782376,-1.2413492191546542
15,-1.43463325575116,-2.2834994314698713,-1.356131741548285,-1.3033876715499124,-1.737791226040217,-1.6354094170295157,-0.7182054021429273,-0.902663248131365,-1.3011222698793505,-1.2694378195973368
16,-1.3912130947395955,-2.2550219037956754,-1.3595116829147462,-1.2847744193513486,-1.6756708106174052,-1.5781357518601369,-0.7218584918700726,-0.9183707022020214,-1.2778566936579248,-1.247650873701752
17,-1.3522489237695638,-2.212519201996536,-1.353123926756623,-1.2390134091079394,-1.5760036854309638,-1.5188407452222146,-0.6904455244855866,-0.8999077677859416,-1.2330508060000314,-1.2120997289252777
18,-1.26865966416889,-2.118570868856724,-1.3170088549439634,-1.1691450004155792,-1.4644658410167026,-1.4390991599378553,-0.6368872281387313,-0.8544780779396143,-1.155569958827216,-1.1445492740224599
19,-1.1872794800883955,-1.9991572883668212,-1.2473769948218187,-1.0617128274622731,-1.3038365007675266,-1.3401101009266618,-0.5293374736962435,-0.7583137542455688,-1.0504506723411187,-1.0517225000340105
20,-1.1034790608079,-1.8926618188963402,-1.2007234461286589,-0.9623952818325765,-1.1659194402205582,-1.2522184573590196,-0.4270906333359333,-0.6698833226012989,-0.9526721361310398,-0.9720882684325725
21,-1.0382912354548126,-1.7829622210633655,-1.1414438935469529,-0.8840717358067455,-1.0602206338597366,-1.179755116007436,-0.33888023614024354,-0.5937481101048777,-0.8678218961061243,-0.8979280782081867
22,-0.9601401292530165,-1.6268602530354825,-1.083287014942519,-0.7649948922001988,-1.3300219715017305,-1.081265419750077,-1.013648011525403,-0.4831869676414987,-0.7549203469560072,-1.321994166534614
23,-0.8875319585642093,-1.5356363172137169,-1.0219253781281081,-0.6847645952498552,-0.7596244890727181,-1.0100011863839102,-0.639860949057252,-0.39592176942386514,-0.6661980791356812,-1.0709135862161525
24,-0.8261270082052288,-1.4283480909522208,-0.9679083546542823,-0.6041654475319123,-1.0301592679856422,-0.9474019461204237,-0.5842481948566213,-0.3294018627916709,-0.5912857878524689,-1.1099202168284537
25,-0.750402270097276,-1.3108170383529114,-0.9080772917517914,-0.5110310205897061,-0.6374777750026878,-0.8659649261893628,-0.41652501941263814,-0.23592955910213345,-0.4996031139800936,-0.9184371934645726
26,-0.6853893300298558,-1.223484271245962,-0.8374203331403292,-0.4158412451958063,-0.8230772345327858,-0.7988003236307166,-0.5803547216505056,-0.12945881357082403,-0.40587534599568176,-0.9108972868619623
27,-0.6860288647405505,-1.2089993960301477,-0.8595524352300666,-0.41733285431881734,-0.602829982795986,-0.8046364745521476,-0.5104293626215732,-0.14482500850483593,-0.40304858154393985,-0.8372086296938356
28,-0.6773479814788297,-1.1799304880896468,-0.8618224339874447,-0.40625734184781587,-0.6197270862934554,-0.8026852276572946,-0.5052235229364611,-0.13691337810254764,-0.395616243216814,-0.9176950805172924
29,-0.6697779742446252,-1.159934631540629,-0.8414912252534869,-0.4008718199628847,-0.7644969662726335,-0.7976283668206017,-0.5632880613955668,-0.12054650214401376,-0.3897799918246254,-0.9497901369090447
30,-0.7141750229302668,-1.1848688100598588,-0.8732252746205625,-0.4413813153156348,-0.6294970540184471,-0.8355948278943846,-0.4491722613447384,-0.14021585968126285,-0.42704484052191766,-0.9134479159808346
31,-0.8420382105553427,-1.321525412013801,-0.9612108823502362,-0.5685069976682684,-0.8197741129564021,-0.9753653521562865,-0.562409874137035,-0.2514394605020704,-0.549006852621602,-0.9220754420719615
32,-0.9935638308783938,-1.4883107574089458,-1.05666179607482,-0.736054735988032,-1.1149715501893547,-1.1530372064662395,-0.7730567624014654,-0.4007805649229862,-0.72843337883365,-1.127975445179797
33,-1.1938265301159856,-1.6725163189523027,-1.1587995662660677,-0.931958788168764,-1.5453577702701502,-1.3586525929201374,-1.09843606983962,-0.5844726320539999,-0.9181745153317813,-1.3888096098349394
34,-1.4019809714823306,-1.8534876879024504,-1.3030208401233623,-1.1238424023090405,-1.8326492108310195,-1.568770991784622,-1.347366504271068,-0.8030014353920069,-1.114820127456423,-1.5881914044831358
35,-1.5916006632783288,-2.0144250608362646,-1.4275023774447937,-1.2848888240913174,-2.033867764725027,-1.7586351900021462,-1.5384140439987288,-0.9699298945524009,-1.2734203549763965,-1.735087793469663
36,-1.6435863878162589,-2.0947902205478,-1.445522212636259,-1.3471653778848347,-2.0412136396167786,-1.8448044051793409,-1.533492432628225,-1.0351797487361307,-1.3340981646361307,-1.7519523174226472
37,-1.5993879717559785,-2.130298821852258,-1.4258827432078303,-1.3494626952768407,-2.008663803333491,-1.8448519170812618,-1.506565362280157,-1.0475087935490335,-1.3414817263388654,-1.6960312885586288
38,-1.4780654008587117,-2.094813722130096,-1.3529626831286896,-1.2858676274065117,-1.8873944303564572,-1.7506603901514575,-1.3691652203819928,-0.970230617021038,-1.2768756596079387,-1.578669855068001
39,-1.253473125685363,-1.9396150562244328,-1.177148775229401,-1.1067950070231896,-1.6349448542759328,-1.54509759823873,-1.1370961281915182,-0.7757099452119284,-1.1033695038480225,-1.381156923257696
40,-1.0486124462648212,-1.7361041605419822,-1.00270513629177,-0.906904118847353,-1.3866554676037253,-1.3190857706123296,-0.8895954420678139,-0.5537672868950583,-0.8954632830462006,-1.1418246324284862
41,-0.8573404059049685,-1.5934424358739157,-0.8477222287035159,-0.7600977180824542,-1.1965482206668885,-1.1391755350545454,-0.7044580864484463,-0.40172835415035285,-0.7511032117292205,-0.9841678683849509
42,-0.6616352676973384,-1.3469735637850748,-0.6594782419653241,-0.5537505523640266,-0.9310836093442385,-0.9174269034504791,-0.47959569417208775,-0.1840904771762204,-0.5502387907721902,-0.7891627952748679
43,-0.5135470283484425,-1.1867371542321454,-0.5006822368379404,-0.39848681376359557,-0.750675672086787,-0.7517538746925172,-0.29811597788225597,-0.005741745250285594,-0.3890845361521966,-0.6334368020447149
44,-0.37848386924053024,-1.0270581498615494,-0.348293917155358,-0.2537920908356683,-0.5925720743593683,-0.5964864691785784,-0.13675001132650433,0.15078879094933786,-0.24576082778191183,-0.4929449632551704
45,-0.25393231268073785,-0.893393996549257,-0.2114275042388282,-0.12614635118241269,-0.44033036093437883,-0.4689461617727467,0.014105146869328173,0.2968121295706909,-0.11428956591626623,-0.37064538630661426
46,-0.14591905630942448,-0.7478737183615571,-0.09735634709638169,0.0004877281811465934,-0.3032395030641,-0.35994158216723776,0.1810187224942114,0.44423413362451064,0.010102472972206736,-0.2399360021274573
47,-0.05996679218160572,-0.649720021845539,0.016209868228294375,0.08982334649152882,-0.2185490094722185,-0.26852422150895666,0.3106975760868787,0.5519894914946534,0.10334949784091109,-0.14110142307214962
