,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
0,-1.1749465123815284,-1.6721931700490655,-1.7027125162210133,-1.753625147968815,-1.5801536142824295,-1.7737817348109648,-1.5683262797232331,-1.6274584583745193,-1.7499771911722732,-1.3149143821706368
1,-1.1466431111707152,-1.6411419421191336,-1.6902664778137377,-1.7243942892354742,-1.5805851887474962,-1.7507022868783377,-1.559038751914021,-1.6339663009685466,-1.7283785987176488,-1.3048516697937909
2,-1.137893771546081,-1.6346391001923881,-1.678446564831387,-1.711521492696111,-1.5657907308854357,-1.7510651775232038,-1.545575034096039,-1.6237474215863508,-1.711508256526187,-1.2871850113164016
3,-1.107726280934304,-1.615286673990619,-1.6350619321782425,-1.6850063560114135,-1.5335339187891839,-1.7409124109744536,-1.5243908496544993,-1.6056384455761175,-1.6832345136933713,-1.2762409138837278
4,-1.0684451541019955,-1.5842647865879902,-1.609671698412024,-1.6549485337083245,-1.5210104810057095,-1.7186098962900818,-1.4977572805424952,-1.5924503780328805,-1.6478920709230598,-1.2554009368098118
5,-1.0406330703287434,-1.5604757137754293,-1.5779889339038768,-1.618960386777933,-1.5095902833087553,-1.6961986432318772,-1.4692611891590237,-1.5650754199857086,-1.6158226018738358,-1.2143048028324672
6,-1.0097675488272089,-1.5206856132597322,-1.5556862084980283,-1.5804971259643454,-1.4667585186769891,-1.665834505722948,-1.4184738583703926,-1.53177032620016,-1.5701707872983692,-1.1967005166637936
7,-0.9856936711696632,-1.4875454098021967,-1.5175499793744205,-1.5568893420501702,-1.4342043534883127,-1.6430790862239628,-1.3984690957145047,-1.5090766073953144,-1.5523899310111031,-1.183630487720502
8,-0.9464816089245057,-1.4490574030513608,-1.4726521774673147,-1.5013627615617249,-1.376702982536884,-1.5970902462520467,-1.3374796468395178,-1.4654795072944322,-1.4927717786921846,-1.1370368237137334
9,-0.9160955424659325,-1.41026550047629,-1.4463572227228398,-1.477014999261906,-1.357665572907808,-1.5728787949963268,-1.3162640840018935,-1.442401081908487,-1.479250608105533,-1.1008748260264483
10,-0.8922685131796823,-1.3755368563479926,-1.4087098985591868,-1.4567193466625017,-1.311129813556652,-1.5493696172025047,-1.2692821256455291,-1.4015294705885997,-1.4460895633501691,-1.0774087664571783
11,-0.8658431194908136,-1.3333346353120465,-1.365963977487997,-1.408351948205154,-1.2657644305710771,-1.5025090338501192,-1.2217722058317801,-1.3452387966326107,-1.3970786069948036,-1.0465479038865446
12,-0.8392089306126833,-1.3214131835214145,-1.343949499772511,-1.3708198913579415,-1.2327957929611626,-1.4887021790942208,-1.1874932795344204,-1.3240883139037132,-1.3769000294114582,-1.0313620815380566
13,-0.8362446939732268,-1.3075772974504662,-1.337520946476267,-1.3756775643022703,-1.229114849858375,-1.470857002874253,-1.1811293376418,-1.3013210644913342,-1.3672114715707482,-1.0199462622073696
14,-0.8068816654830676,-1.29993763347054,-1.3205046639325917,-1.3726332591129304,-1.198227431886698,-1.4524002444614466,-1.176157500083512,-1.2848262618137543,-1.3595872387835934,-1.0009413975744417
15,-0.798093360090687,-1.2706541850951991,-1.2989997339870507,-1.3514031888311977,-1.1485401503027575,-1.4224513201399902,-1.167940360900471,-1.263688963401078,-1.3489736428029977,-0.9768806717332499
16,-0.7491735974796729,-1.229287047825741,-1.2780939828002935,-1.3347541651892545,-1.1271860020586926,-1.356486605715119,-1.1518582796942876,-1.2112607637120023,-1.3211544813145433,-0.9273010673180224
17,-0.7183079655857015,-1.2152785561774075,-1.26264379577711,-1.3182673238840752,-1.114636262423253,-1.3216674075977057,-1.1483272202775259,-1.2017718057259694,-1.3232953701196448,-0.8870422627731583
18,-0.6609888724213047,-1.177306750861372,-1.224262601873292,-1.289855766133345,-1.073208791771884,-1.279384104364453,-1.123824707561669,-1.1789716554466274,-1.2770479835621054,-0.861297478198345
19,-0.5962765827787118,-1.1166129520710906,-1.1746670083930166,-1.2435804790168823,-1.0300842062279876,-1.200669836725048,-1.0886224996425478,-1.114124451323044,-1.2272604673827794,-0.7936787725245981
20,-0.5332862720063789,-1.0691197631142326,-1.1357705533120024,-1.195116999899425,-0.9770989133827844,-1.1550778591711577,-1.0540924381818937,-1.0828786088261073,-1.1891602700010235,-0.7318020362329307
21,-0.4572299810669118,-0.9868467161528264,-1.077069197143608,-1.1365700020915965,-0.9298417144526661,-1.071511044035558,-1.0188148397864345,-1.024238562495316,-1.1288418290290045,-0.6598570131829947
22,-0.3515324508951065,-0.8942197145554993,-0.9853668522664321,-1.0271398529050602,-0.8505690368147208,-0.9738014027580262,-0.945941146979867,-0.9590141780293292,-1.0224943443785237,-0.5762354617125252
23,-0.28798623186445893,-0.8409550764462425,-0.945911528500045,-0.9832981105518546,-0.8102968579859392,-0.9540052376835746,-0.9129313059991049,-0.931078732372908,-0.9808582983412818,-0.5442754625769346
24,-0.20357951218166767,-0.7692247576807625,-0.8923938228017853,-0.9029300202402422,-0.7511915960182841,-0.903002797758154,-0.8620989744135136,-0.8884309416156758,-0.8976996147777891,-0.49950646800918946
25,-0.15001920112979922,-0.7283966182279157,-0.8587902930390324,-0.8480143533197023,-0.7159017728777204,-0.8933035945595696,-0.8335608520665337,-0.8789843251383965,-0.8519006786156008,-0.4902009366939844
26,-0.12786447159476563,-0.7126600614487085,-0.8408977423535562,-0.8338570645910407,-0.6933787196467147,-0.8981238100502476,-0.818643732258122,-0.8815036746750011,-0.8283462321003272,-0.495469868949801
27,-0.10077840083697284,-0.6986263357242536,-0.8378578848539634,-0.8125268652416041,-0.6936400142245445,-0.9196902760216165,-0.8154805291725588,-0.9022823892038242,-0.810001075294989,-0.4948413603444707
28,-0.09633091491434594,-0.6927242863498412,-0.8277014251804695,-0.7939069144304716,-0.6929582845768899,-0.9258890492660741,-0.8226491137093297,-0.9174633078434645,-0.7867062137844425,-0.5189494543019914
29,-0.1109331868827457,-0.712061680588263,-0.8484859268432978,-0.8002805346981628,-0.7164242489785501,-0.9784801146636602,-0.8553174900613294,-0.9646339853907587,-0.795394586068344,-0.5660630263877608
30,-0.11396976456400632,-0.7094464020190087,-0.8427211430533538,-0.7769896717169973,-0.7009999728139161,-0.9833323873547576,-0.846680407454823,-0.9756084695989683,-0.7777251632711085,-0.5827134749943476
31,-0.16274265320044687,-0.7557691812580392,-0.8952039272264186,-0.8189809456054303,-0.7578452521277619,-1.0590617518136933,-0.9023844110162347,-1.0385931992450592,-0.8128798670151747,-0.66400290540154
32,-0.22911874807482038,-0.7989490448272444,-0.9317228252130187,-0.8576626020518704,-0.789122928477517,-1.1181432281432953,-0.9424782337033323,-1.0880466872134715,-0.853749910634706,-0.7466478908007642
33,-0.3439831023281119,-0.8932116638542458,-1.0124262666869435,-0.9310076123762595,-0.8889832895916984,-1.2069715752104313,-1.030823677325847,-1.1664588992051865,-0.9255167823647209,-0.849121391057047
34,-0.46146865803126774,-0.9856170726519188,-1.0984191412562652,-1.0223877703670252,-0.9559508411351555,-1.3139035472860414,-1.0936400638696746,-1.2628158026338299,-1.0189197792900762,-0.9658110029777807
35,-0.5988070944702347,-1.0943926215735333,-1.1878048896771405,-1.1209834657464668,-1.049384470342532,-1.4035049027974598,-1.1806926171658432,-1.340217137258988,-1.118698247588879,-1.0722734683745856
36,-0.6675744176145029,-1.1509031645558392,-1.2353973906452378,-1.1835321666682976,-1.0888467721887232,-1.4650333890484548,-1.2350257593524032,-1.3839807499275332,-1.1805135103832969,-1.13513233537276
37,-0.7343002243414867,-1.2224389122537191,-1.2901920283244181,-1.2347593173850497,-1.1383624230569476,-1.5220605923464396,-1.2917604062234211,-1.446335555609526,-1.2327500329421162,-1.1749145795156846
38,-0.7344795582635721,-1.2344954361814722,-1.2972335155536632,-1.2571764797617304,-1.128527746869693,-1.5333105204605364,-1.3118747428646067,-1.4470042676971624,-1.2515326432400862,-1.1925121861633203
