,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
0,-2.3442462142557643,-2.326582819105509,-2.2519550169703106,-2.253949438233231,-1.9027571129587733,-1.8911653668843007,-2.0113902612058268,-2.0400323774592684,-2.272241012651883,-2.0439117768094275
1,-2.3142012025687757,-2.3007984100372956,-2.236666702444701,-2.220584540071779,-1.8753512886897352,-1.845420054437898,-1.9877428757077542,-2.021218058976417,-2.2435381310127105,-2.012704683097822
2,-2.270808857851232,-2.265213805230287,-2.210350391609277,-2.2075410526594332,-1.8425949738887912,-1.8157072597838841,-1.947485792169296,-2.0013015402470336,-2.212573063286016,-1.9869045882760852
3,-2.2079665773297994,-2.2202755795389058,-2.141342762312532,-2.1591272853083208,-1.766631975823524,-1.7543063266845655,-1.8836503829395188,-1.9399445897310652,-2.1475992321888864,-1.9309542715339578
4,-2.160450670605902,-2.1767361823556555,-2.1123048214733564,-2.1197773843040997,-1.7297913911666167,-1.7038653267071895,-1.8352379397195981,-1.903095925002792,-2.102148060420207,-1.8940744896379755
5,-2.1077186357507425,-2.1310034042888084,-2.071131425832049,-2.082742507313171,-1.6799281347976862,-1.6487477740499759,-1.777089184704317,-1.8601581391457624,-2.0601410604780543,-1.8418297827173487
6,-2.033845806402562,-2.06089334323991,-2.0166621538633422,-2.028820365191317,-1.6036033433940073,-1.5807655276816575,-1.6949342484471448,-1.7909807409411238,-1.977537585085938,-1.765676023793306
7,-1.972787720706172,-2.005676304163809,-1.9577886202359474,-1.9840716388045716,-1.5552099072125005,-1.5246828954054705,-1.631818306638072,-1.729259875201954,-1.931583491419008,-1.7169047286902148
8,-1.8899595876918673,-1.9186037815662296,-1.8782169065446352,-1.8994043351762944,-1.4751498312948925,-1.4318057383424525,-1.5335721100616386,-1.6386996635182702,-1.835462516851577,-1.6210803269665293
9,-1.8195392921730873,-1.8509211200420042,-1.8182008131715444,-1.8401032396696555,-1.4174614437012314,-1.3707731940623162,-1.468675190510528,-1.575025274877441,-1.7719762333831826,-1.5567755718028022
10,-1.7645855592193433,-1.7904633612193126,-1.750325048039972,-1.7879501285520567,-1.3544768067755963,-1.3159879003016919,-1.3889620633955702,-1.4954483495906168,-1.7060710349107344,-1.4903917354175937
11,-1.719282279323352,-1.726836143249979,-1.7002066877636417,-1.7262145381407614,-1.2947792119815829,-1.2511245743449815,-1.3193159253829254,-1.4296511033938877,-1.6455666465691052,-1.4278523103703444
12,-1.691896475574905,-1.6950682389786995,-1.6706954366326965,-1.7016447186344201,-1.2703933925920705,-1.2371838443013805,-1.305341098835392,-1.4047007408452992,-1.6174040715769413,-1.4019984760862767
13,-1.6476178520749811,-1.624605540687464,-1.6168116659411542,-1.6437071241116994,-1.217974403007068,-1.1999267403355205,-1.2595460990147052,-1.3456540775222599,-1.5524386986582703,-1.359572645031245
14,-1.6258058798818888,-1.6041591259883967,-1.5950542190251853,-1.6248293936114508,-1.1896586106991773,-1.176495970698324,-1.2385811921684224,-1.3148179189142173,-1.5282386941078372,-1.3363952481825714
15,-1.6214262999634708,-1.5733364347690884,-1.5561392715524114,-1.6125750282089548,-1.156176849273517,-1.1651947527298347,-1.2271922492528151,-1.2895679154263822,-1.5040972653689728,-1.3238275906387222
16,-1.603769820891488,-1.5422333566693869,-1.5360993466800568,-1.594345936126458,-1.1267462368217478,-1.1433528991602302,-1.2225747482971827,-1.251033687928929,-1.4844118766077614,-1.3113617905941504
17,-1.5693081574597696,-1.5070442020580521,-1.4885064659193918,-1.5618695521941628,-1.0928033483309523,-1.1270473940011763,-1.1994893034681546,-1.2269796245386173,-1.4461900890367088,-1.2863270816747443
18,-1.5493976014120874,-1.4753693278216031,-1.46374442327734,-1.5404285135775864,-1.0695069330769358,-1.1212634827334758,-1.1810619530047899,-1.1968089738527548,-1.4197050703750689,-1.275311799069533
19,-1.5127026050322514,-1.4384846757608911,-1.4183553717185828,-1.5318185098754311,-1.0412249484158758,-1.1002835629370098,-1.1588787495900255,-1.162185588602326,-1.3904106695620444,-1.2451175810013508
20,-1.4972143198562955,-1.4259562342583951,-1.386504186520897,-1.51525470452971,-1.0254889479048337,-1.1043709499652254,-1.1515530048038067,-1.1390498927331685,-1.379301257669476,-1.2261620279613619
21,-1.4519792716211777,-1.3718633191760288,-1.3357958467025368,-1.4711539061119239,-0.984325668989227,-1.0791700221017462,-1.1199045677791353,-1.0949432365569558,-1.3294213103278527,-1.1830104717358647
22,-1.420457546364167,-1.499764716931063,-1.2946133411163234,-1.5352333564839769,-0.9694237566921483,-1.0725200173790541,-1.1097795277021312,-1.0795380871401228,-1.3059548895526176,-1.1550821189740723
23,-1.3956610830251843,-1.3258882330886352,-1.2707949009248185,-1.4194156081314455,-0.945557270981781,-1.0690627124350394,-1.0972019981557655,-1.0542836774967013,-1.2794062480243218,-1.1389606335973075
24,-1.3425048372156787,-1.4160471814509645,-1.2291983338827077,-1.4556930333516966,-0.921363533714703,-1.0464472284115238,-1.067651673012715,-1.019325907621852,-1.2368600605439137,-1.1050621770686613
25,-1.2887212789785594,-1.2939381333487379,-1.2017131991194507,-1.399030211797212,-0.8852696072323745,-1.0244588140407995,-1.0452319291945584,-1.0037526855415109,-1.19893099005009,-1.0616461501532104
26,-1.2607742751397857,-1.3540909506640773,-1.1600417788370434,-1.379633400298974,-0.8492954617039344,-1.001584790676048,-1.007332684186401,-0.9716384767538125,-1.1573251849854629,-1.0170604144432875
27,-1.2331815646189404,-1.2669317441312913,-1.1461400386548124,-1.3415115609141148,-0.8365160803371948,-0.9865035204241407,-0.9942107880775617,-0.9631085037187408,-1.1333787401271254,-1.0001650842255863
28,-1.2144923616729126,-1.2658482178090609,-1.114413551914005,-1.3247721357098972,-0.8286490123329731,-0.9720563810802761,-0.9756882607176182,-0.9523224128383749,-1.1020216627662922,-0.9776951003544082
29,-1.1908822586428622,-1.2979392496518856,-1.1149832843158995,-1.3279917410648145,-0.8093374414978477,-0.9542111257471709,-0.9645469262721544,-0.9407325866188639,-1.085047667399351,-0.9638851722457693
30,-1.1934480506336802,-1.2293109472629953,-1.1228710895182676,-1.3134035973895815,-0.8121461548698797,-0.9508335782548105,-0.9634229219053041,-0.9572324337713951,-1.0824891725915262,-0.9569800435124421
31,-1.1569899296162804,-1.2028774793955892,-1.10547778147944,-1.2745621907132905,-0.7938219433201389,-0.9223325280619332,-0.9411234927729344,-0.9454348819094331,-1.0559804492934526,-0.9404016001812239
32,-1.1665235688535887,-1.2441792212165144,-1.1252530266007,-1.2822582539275122,-0.7855613789800109,-0.9192427663025144,-0.9400430468363944,-0.9506628793391451,-1.059847905237808,-0.9462920082905165
33,-1.1653110640336402,-1.3201879861295418,-1.150720554271996,-1.2875238447060222,-0.7934453237560898,-0.91863460312478,-0.9422948031310032,-0.9542037361234915,-1.0643157696446295,-0.9515589839689981
34,-1.1829592745190576,-1.3489350442615273,-1.1847372541472754,-1.3196069269845367,-0.7979533193560502,-0.9290507754702397,-0.9494104312313452,-0.9798604753683139,-1.0792184916057517,-0.9683376229584642
35,-1.2229194284321414,-1.3889287844814864,-1.23123867902345,-1.3612643846056574,-0.8319014929531561,-0.9596320773357118,-0.9801209471706986,-1.0192295545070307,-1.12434282421732,-1.002374008223254
36,-1.2236226484025021,-1.3484363804272816,-1.2335409672253117,-1.3303307386840608,-0.8296960115258599,-0.9537912852573748,-0.985169584315877,-1.023724207698451,-1.1215618698783156,-1.0077255072100968
