,sim_11,sim_12,sim_13,sim_14,sim_15,sim_16,sim_17,sim_18,sim_19,sim_20
0,-2.304899692432668,-2.1297328420335435,-2.3596792754427494,-2.200849456931125,-1.5893901512172663,-1.8714521886501274,-1.9399147247621373,-1.9547470156971474,-2.3886109373238242,-2.2585042316689035
1,-2.2570066330402208,-2.078890313772717,-2.307247725178368,-2.1379686684006156,-1.5406585984664507,-1.8244831219071644,-1.8962557373349687,-1.8993958377846176,-2.3330302798515015,-2.203756767410532
2,-2.222544075075898,-2.026744479650155,-2.277198686512169,-2.11235364087378,-1.5049425544474337,-1.806987804935855,-1.8504471820561315,-1.8381879534316057,-2.2837750147442626,-2.1506916522635704
3,-2.2124814963905814,-1.9961933579140074,-2.2613330491944184,-2.083362694983456,-1.4832834781567066,-1.793842759836743,-1.8046870221189124,-1.7934897655962359,-2.235467249085663,-2.118901222010408
4,-2.1472347011345327,-1.9347420617781252,-2.2116712827993865,-2.0247144778335056,-1.43552269751611,-1.7531631869458697,-1.7580793111583428,-1.7275318240078277,-2.1720154968551513,-2.0655965649276693
5,-2.1175058397097293,-1.9038330322276824,-2.178926882696951,-1.9933655810919078,-1.4074853830173253,-1.732335321448814,-1.7275331160792355,-1.6880720457218041,-2.1356423470980976,-2.0259005800838352
6,-2.1039240141745896,-1.8680990124811652,-2.163821297063931,-1.9716428358856506,-1.3842723024896029,-1.720016802602934,-1.6907631772634528,-1.6517459977394264,-2.0910905714853945,-1.9801780504314126
7,-2.0686689946281245,-1.841152161147457,-2.126014358332797,-1.9393515048636931,-1.360084359785624,-1.6817197863794608,-1.6677903306425919,-1.6173043957904747,-2.064226638219238,-1.9558023287929545
8,-2.0522142768180833,-1.8167850348358543,-2.113382500916687,-1.922466746205667,-1.3426190190273344,-1.6719729162293484,-1.6523454717717805,-1.5975718665077703,-2.0440183324984535,-1.9268257834319182
9,-2.027566517453861,-1.7745934101935001,-2.075159766045203,-1.8828795901837272,-1.3071642268658425,-1.6315778278356574,-1.6084245275652451,-1.5517219847571655,-2.014777605054505,-1.8931762496744187
10,-1.9919812035397464,-1.7528066190352445,-2.054225156593158,-1.8459072067607492,-1.2738005907371839,-1.6159793570053511,-1.5936461055079356,-1.5314350145127933,-1.9944505447506677,-1.8664588256310761
11,-1.9684030823307368,-1.7173003740349218,-2.0224850980304216,-1.8231854506816445,-1.2554417078040088,-1.5873474134718892,-1.5645301267915455,-1.5135860576849045,-1.9636220315011539,-1.8312062441542385
12,-1.9501317253728725,-1.706440962366177,-2.0084737480597137,-1.8011132519239508,-1.2262981364731136,-1.5658259109616748,-1.541245317335721,-1.4905877520886779,-1.958710469459792,-1.8121194661496174
13,-1.8637850850224273,-1.6240942535503538,-1.933490392970561,-1.7296846908939543,-1.1526985887123438,-1.5083172971107488,-1.463794488912945,-1.4322247806168147,-1.8955774684355085,-1.7319244560928144
14,-1.7810337721875602,-1.5639497109755127,-1.8715707566555357,-1.635064892917764,-1.1077867539718729,-1.4445801780036676,-1.419707738480697,-1.3806033941265399,-1.843089509194261,-1.6762305706160054
15,-1.7241218770911788,-1.516373240755807,-1.8245944164531396,-1.584302018997203,-1.0555624218569277,-1.4015555746780486,-1.380087975991095,-1.342208176015472,-1.8100882827222124,-1.6325433464235148
16,-1.6668500973233404,-1.4498302879251217,-1.76985526655087,-1.5156444591975295,-0.9942252157438605,-1.3643782897156813,-1.3176458723479618,-1.2901152690616775,-1.7609299011139299,-1.569153446094144
17,-1.5906332413529678,-1.4027942392564736,-1.7205244110142748,-1.4407982507977206,-0.9418971232472129,-1.3163213865692007,-1.2582662021643376,-1.2492813430630159,-1.7335544061218762,-1.5225712854593358
18,-1.5489832708785738,-1.3455704325801852,-1.6730749793264876,-1.3971424935459238,-0.8923220639982494,-1.2736855069533914,-1.2129201563928584,-1.2052702084402234,-1.6881242667751757,-1.4564310082732796
19,-1.4496828441913636,-1.274487134588739,-1.581838575265365,-1.2796526484847206,-0.8268701932337461,-1.211852977346965,-1.1564215473354607,-1.1492447085792203,-1.6351188688006741,-1.386000328761564
20,-1.385409948659376,-1.2243312562912063,-1.5337503442108795,-1.224392219185209,-0.7732530393582938,-1.165978854054872,-1.099379733231949,-1.0940738652715591,-1.5895444091066533,-1.3257864970507962
21,-1.2683617760811934,-1.1075400247092604,-1.424384845777274,-1.0945723490397692,-0.6630422847409593,-1.0678668831809826,-0.9978047063122601,-1.0033094788703798,-1.504768628045274,-1.2147355090736471
