,sim_41,sim_42,sim_43,sim_44,sim_45,sim_46,sim_47,sim_48,sim_49,sim_50
0,-1.8800785432653555,-1.7274514923538165,-1.674144415705451,-1.6757602076252989,-1.723762383006279,-2.02594984022393,-1.5147260674276726,-1.4853232578781768,-1.4469133491080255,-1.1985081312779051
1,-1.8670770830020487,-1.6877854966226657,-1.669946433890349,-1.6735864066236465,-1.6954470206420056,-2.0128701722562923,-1.5049216219160606,-1.4729793075255593,-1.4315040493299358,-1.1870784445530893
2,-1.8753221280948231,-1.687218613593992,-1.668458412775782,-1.658236477083133,-1.6769473738239236,-2.000199480466683,-1.4813010662436716,-1.455587127509151,-1.4116903155167235,-1.1721169028395113
3,-1.8663955806949442,-1.6537408662460564,-1.6605026884488785,-1.6423964631903463,-1.6335249943353138,-1.9642144839512765,-1.4494746709496018,-1.4237304602782492,-1.3784747347727595,-1.1410304393229709
4,-1.83714528710202,-1.6196469590903801,-1.6295356701716004,-1.6176255024295236,-1.6034524224673055,-1.9336752681241982,-1.4284416140405416,-1.396797243819944,-1.358932671076035,-1.1199715557682952
5,-1.8104813660142933,-1.544327207732773,-1.5891659219586527,-1.5727968841482054,-1.5495100803549327,-1.8754416361656914,-1.377163911894399,-1.3503342988242364,-1.3112231941207244,-1.062209059707269
6,-1.7715096353643085,-1.4808245820868142,-1.556218988195841,-1.5199047911836105,-1.4812377150089928,-1.8117884167457772,-1.3123196372915515,-1.2834877621213348,-1.2528296470462164,-0.9966864821597
7,-1.7289041232260853,-1.4272969985727522,-1.5095541750859538,-1.4703038375165247,-1.418229489434483,-1.760089594916027,-1.2620448395980788,-1.2619307553600216,-1.2158123599676576,-0.9640898940384026
8,-1.6416148541819466,-1.3042004174823165,-1.4196108337064486,-1.3751786874762517,-1.3181115994905275,-1.6645369165652733,-1.1710574009989227,-1.1630532062208125,-1.1358358446693655,-0.8893232578522968
9,-1.582156307761439,-1.2284037318399794,-1.353774383072239,-1.3133972855538723,-1.2369555913528536,-1.6114067287831815,-1.0884214314295408,-1.099250242688669,-1.07494961250489,-0.8086075990994259
10,-1.518952888814498,-1.1333325553709805,-1.2836928355863828,-1.2352775040072765,-1.1608422077801432,-1.5426776739531445,-1.012811215247887,-1.0222305123286008,-0.9872842115054175,-0.7299007280473728
11,-1.4288795474291098,-1.0282774726947295,-1.1858788277479877,-1.1430506532833231,-1.0647646632482848,-1.4720905433392042,-0.9153922168282781,-0.9398233101373963,-0.9178802209423139,-0.6461121104009386
12,-1.3859326263864393,-0.9751148785690593,-1.1365347384792235,-1.0871572656040431,-1.015468286568946,-1.4384558583481735,-0.8520497526922151,-0.879395709658692,-0.8616316482232111,-0.5751765070238428
13,-1.328392928932484,-0.9054611252209588,-1.0649984227287579,-1.0116538436793086,-0.9350574661159169,-1.3911972864570354,-0.776774417935845,-0.8207163554055242,-0.7850978927061697,-0.4980699397635167
14,-1.275608321265561,-0.8541976847834118,-1.006399438664352,-0.958848701739035,-0.8879313016684752,-1.368179485522513,-0.7149011737131554,-0.7637878929696073,-0.7329093137268985,-0.4348668746440393
15,-1.2207490827362353,-0.8046209071568284,-0.9525373588570069,-0.8914841591247955,-0.8321362908732459,-1.3528781761963338,-0.6496301313922133,-0.6994622737604974,-0.6720904131126153,-0.36760514443096176
16,-1.2036405979540654,-0.7771165486465826,-0.9262867160164132,-0.8682527035221895,-0.8086070721037978,-1.3535194542221416,-0.6258421504832489,-0.6839013499349454,-0.649015592658298,-0.3383079726779632
17,-1.180662574225576,-0.7704743199089881,-0.9036016524286747,-0.8407143644404165,-0.7901683569375765,-1.3519327360670013,-0.5884576260843519,-0.6588200012833637,-0.6201627255783483,-0.3061792692997037
18,-1.1269900900890268,-0.6831817809885611,-0.8408333793837452,-0.7689645613940469,-0.7254623855331265,-1.3238633817580132,-0.529037367259525,-0.5896924355420907,-0.5653131861369605,-0.236033972632056
19,-1.1138799266397454,-0.6818454801654391,-0.8217846018799447,-0.7591378314206945,-0.7155850569044708,-1.3288273469889176,-0.5081847382965892,-0.5706710071449351,-0.546574387320431,-0.2271447115125203
20,-1.0899954280452728,-0.657627486041066,-0.7931327866651069,-0.7335949357966299,-0.7064786757610936,-1.3392274775153403,-0.4894895243521552,-0.5453702923895752,-0.5290792432508817,-0.18865168910321564
21,-1.0726519029018058,-0.6380565535512772,-0.7675984681331846,-0.6999566526789203,-0.6901718731841281,-1.3210451667834857,-0.45512138846465033,-0.5212707740346232,-0.4951649808622059,-0.14439280436550234
22,-1.028104233745502,-0.5945052224332087,-0.7327539217832736,-0.677791593003416,-0.6590731359266473,-1.2951330430623156,-0.4335597116525121,-0.4865150992392746,-0.463744949299846,-0.11380344833588793
23,-1.0180751418303347,-0.5934660671711063,-0.7147236014322463,-0.6552071416868146,-0.6475493824870333,-1.2982802213344056,-0.41376411300559146,-0.4783381017920071,-0.4621739988812541,-0.11149916204995573
24,-0.9845299384392595,-0.5793744177285514,-0.6770634154251111,-0.6167148086388445,-0.601583585157168,-1.269593715254138,-0.37645547878622315,-0.45477487142930845,-0.41939451277691014,-0.06970276397528151
25,-0.939534085495077,-0.5335963775152748,-0.6294235072691974,-0.5834995799413684,-0.5780349825876092,-1.2505539518506863,-0.3528789704779777,-0.4199371826974282,-0.4016784505938755,-0.04778491335047561
