,sim_51,sim_52,sim_53,sim_54,sim_55,sim_56,sim_57,sim_58,sim_59,sim_60
0,-2.562639651822652,-3.153815269385149,-4.1094400592914635,-3.3433370827125204,-3.395764572832404,-3.846636570270006,-2.912100192456905,-3.7757676231225568,-3.347733226138507,-1.4671428652549277
1,-2.4634872605395453,-3.0706692671788405,-4.058497159178884,-3.2990556139837337,-3.3496321131744415,-3.753787502316624,-2.87672707636478,-3.6995090754104836,-3.304204209926882,-1.4127886392237576
2,-2.465349667953148,-3.0188654961740657,-4.0286455827299275,-3.2851712895975567,-3.3474680543030937,-3.711230743453046,-2.864908452055815,-3.6451234962857497,-3.2965800440341915,-1.4088494792888908
3,-2.416908984256778,-2.980492758936856,-4.01577581808983,-3.280980849542643,-3.3448221775860962,-3.6317838378715455,-2.8378629898615593,-3.5667677910141906,-3.2771781907989097,-1.41055700229215
4,-2.378401284064719,-2.9124373688403034,-3.8958890071546017,-3.2651368184365674,-3.310274778182982,-3.572787602899552,-2.8031533168045644,-3.506757753035182,-3.258691806388245,-1.3816366502055029
5,-2.3107789221524286,-2.858248461198545,-3.8636069554853227,-3.253113380057886,-3.291973338785379,-3.528472621948553,-2.7953977127489873,-3.4510251487035055,-3.263204341877789,-1.3936877099223905
6,-2.355501539931058,-2.8161016229295246,-3.831567271016977,-3.265682956915156,-3.3032275924732883,-3.4822396846508665,-2.8106622883043078,-3.4107000257424755,-3.261485187379882,-1.4212435812111386
7,-2.377969597592707,-2.8305364034171525,-3.862344651669565,-3.3051572979788335,-3.3553637806348213,-3.5003755371650223,-2.8168771095225944,-3.4132351865655064,-3.295385894988846,-1.4323837694343782
8,-2.3618046614540367,-2.819533226289507,-3.821034030105229,-3.304380655282942,-3.3831726392209105,-3.512583131364925,-2.8397884729742082,-3.437120590689749,-3.320464454211984,-1.5293036170270036
9,-2.436255946785413,-2.8810605597625494,-3.857137181346846,-3.3788164664216938,-3.420810680324183,-3.5611395070950937,-2.8756760035106885,-3.4802648204292237,-3.373783913549406,-1.5447053143579814
10,-2.460829778413441,-2.8843956046860635,-3.9025249016120873,-3.405446151147456,-3.4569211749151534,-3.5759462170195304,-2.8969835212347728,-3.5132035503613097,-3.4003281291829377,-1.6034697120854384
11,-2.45505852111604,-2.9018491850944743,-3.8878705434684666,-3.409226070505641,-3.4760522727962693,-3.5967816333445914,-2.9076159750919492,-3.514675251429321,-3.4288423849054044,-1.625620756037651
12,-2.469003877442637,-2.884721599537407,-3.877681209270948,-3.420516093564402,-3.4866903472969795,-3.579600251636324,-2.908859289416787,-3.505204484386069,-3.404071488766223,-1.671690789652482
13,-2.4807799260999106,-2.8701705813435563,-3.898294369219201,-3.402067330039214,-3.4865698245663004,-3.581660353949401,-2.9063062601209726,-3.499926131930589,-3.411164216960296,-1.604805521276699
14,-2.4646764992055297,-2.8460377100531424,-3.914218646505292,-3.375357401864918,-3.441177480409219,-3.5127122473910406,-2.8661453531690673,-3.446468909433149,-3.3758752154482656,-1.5747241948198805
15,-2.3827713070330687,-2.760721174413785,-3.8244516684003984,-3.2621774444494758,-3.322545915328437,-3.409493584489547,-2.786460424348785,-3.346796123633052,-3.2791853961310933,-1.505655650442811
16,-2.3433743932443667,-2.6860790214546104,-3.771334003517419,-3.209127134712952,-3.271213340497299,-3.3290062961664795,-2.74263487082575,-3.2393215965889635,-3.2052610553667473,-1.4213972446916776
17,-2.24268786189247,-2.598867517026546,-3.7221807828310145,-3.1347140221494536,-3.1798302350018495,-3.2005213525714815,-2.684813024012752,-3.1414180778990968,-3.1173781789958364,-1.3382976891780016
18,-2.16280955100298,-2.4911162507170386,-3.643130471326152,-3.0424418644253195,-3.0867734418462076,-3.0955226916837555,-2.60435964813625,-3.0279417153748027,-3.025045596573344,-1.2294342053114242
19,-2.0876678482801347,-2.3999565942360865,-3.6222830708187335,-2.9503253909600815,-2.985960708530315,-2.984916578303008,-2.5006603797221354,-2.909161746789605,-2.9404145475442407,-1.1275090167910489
20,-2.0042318547515516,-2.305319402142567,-3.525886701828027,-2.8799449472503693,-2.9168688088757975,-2.863886324059527,-2.445793425227381,-2.805667657716873,-2.843416775073619,-1.028516394213774
21,-1.95185025380411,-2.223553354252406,-3.496674875817757,-2.779461229699079,-2.8606194377229843,-2.7866092232516593,-2.354565144037966,-2.7172589402079494,-2.81225609852337,-0.9617414168872034
22,-1.880855417201589,-2.1743960460000507,-3.4611119808537527,-2.7491846153717705,-2.8093485956626414,-2.729610656529849,-2.3191096637489514,-2.649467745805823,-2.74928226010797,-0.8824274681859348
23,-1.8753437979965322,-2.11855302437878,-3.4278534811576438,-2.6867679068343424,-2.7158157506562017,-2.6643025478172784,-2.2419749912718774,-2.608676233541679,-2.675181792947379,-0.8336506431320186
24,-1.800732122404673,-2.0575282147039053,-3.384741113949192,-2.6084969444816055,-2.6915037065254586,-2.607118364719587,-2.1896421101372257,-2.529922820790647,-2.6326580152992216,-0.7537760977411394
25,-1.7228089394820163,-1.9874666627809443,-3.299223128208594,-2.568923865905524,-2.6143933593946325,-2.5407524377411494,-2.08965330421478,-2.4805639121179346,-2.5623418933272544,-0.7019776480849884
26,-1.731488919627795,-1.9990405281390513,-3.339761830510381,-2.554647802253402,-2.6020714698871292,-2.5261666563543472,-2.119378180442351,-2.4652755801104163,-2.537295602217676,-0.6810134309519265
