,sim_61,sim_62,sim_63,sim_64,sim_65,sim_66,sim_67,sim_68,sim_69,sim_70
0,-2.0715206359808582,-2.1703400149429983,-2.23302199988911,-2.4858386666669827,-1.9888235567925305,-1.8911717972453603,-2.716544229041716,-2.1171498175723467,-2.112046477481592,-2.127713035673324
1,-2.0373559914202772,-2.1239274535003703,-2.197688761354154,-2.433337548616974,-1.9547174098428426,-1.8480406341023148,-2.6555059296394026,-2.0817338981151736,-2.0705426843670174,-2.090461509985
2,-2.0122695724700064,-2.0917090538364804,-2.167282693103094,-2.397776240719724,-1.9383936152972805,-1.8114373063325846,-2.6216765722807778,-2.0623276880288013,-2.0487730055228384,-2.058164264826617
3,-1.961147607363925,-2.0274028406361397,-2.1019858762709616,-2.3340905584647316,-1.8943997606878746,-1.75326327496386,-2.5596904915804073,-2.0132689071063967,-2.001408123994423,-2.0058635720234177
4,-1.8996629310706734,-1.9599415272696046,-2.0394262126884337,-2.2674811824129097,-1.8318948791883876,-1.6866068182256078,-2.4884207127277485,-1.9571521418969806,-1.927824992864885,-1.9444315275947504
5,-1.837117010552938,-1.888559836155869,-1.97946949881438,-2.192125602436804,-1.7711689927982859,-1.6123882683874589,-2.4083032311466908,-1.8889882439306938,-1.8568161796308098,-1.8834936606407684
6,-1.775921920201983,-1.8162866062273353,-1.9162484320307775,-2.1189284559987738,-1.713424185715396,-1.5354272688622908,-2.337587572658149,-1.8256737650756865,-1.7999343233794483,-1.8185113120379115
7,-1.7227929417825625,-1.7558599250998121,-1.8624506076396867,-2.0573599690702147,-1.6573203767551832,-1.475516129777823,-2.283688626526544,-1.7714914605751733,-1.7395829187502678,-1.773187351537023
8,-1.6522205707866269,-1.6859257957198257,-1.798560457447144,-1.9971694909606057,-1.5945704437555235,-1.4106538020244164,-2.222347208828029,-1.7106136419540194,-1.666811695649869,-1.7215518335138622
9,-1.6179210633841257,-1.649191362933768,-1.7626894600177372,-1.9713355732623,-1.558086788768218,-1.3701852271421546,-2.2076227255660794,-1.6767609045975598,-1.6384541302607567,-1.6900972757878636
