,sim_81,sim_82,sim_83,sim_84,sim_85,sim_86,sim_87,sim_88,sim_89,sim_90
0,-3.616301641952107,-4.21159917495333,-4.868351152230145,-4.514839417383786,-5.503686763882915,-3.231079502778613,-4.349566964847834,-3.9330727019500067,-2.72414335765436,-3.4647534965250446
1,-3.5345457171843853,-4.141078308196595,-4.781248177962469,-4.421109139039637,-5.421973065833357,-3.176064773585902,-4.264933610892737,-3.8694342543914884,-2.6681161611196162,-3.4134618887493144
2,-3.47804947852877,-4.095270532637309,-4.714934490632233,-4.359310777134666,-5.353201119657473,-3.145291461596951,-4.202131178705769,-3.7894639555837135,-2.626731836619357,-3.3768650855925744
3,-3.380108646455328,-4.003375893553526,-4.616770261466673,-4.2448103631916485,-5.241980136052249,-3.089041065102934,-4.097297627217944,-3.6857340953849196,-2.5474401034243037,-3.312005323263903
4,-3.261756131791477,-3.89133174668052,-4.482019898003673,-4.110896370807222,-5.103974715018704,-3.0086369420109063,-3.964856524912998,-3.5788945706273716,-2.457384912697004,-3.228889336800174
5,-3.132040688068636,-3.763999028565059,-4.356674532026295,-3.9856530979758222,-4.956940629317312,-2.9338876124764703,-3.829677459043007,-3.4482008498981243,-2.3634970410731686,-3.145213497614205
6,-3.0054373528156715,-3.66902854031088,-4.230298978154436,-3.8457475105443595,-4.814717035097118,-2.8417248621979208,-3.69896572460562,-3.3280172666096335,-2.2677028312686804,-3.0395661950396744
7,-2.880096686921818,-3.5563921109708856,-4.1178865755355245,-3.7350646128955187,-4.698496066467015,-2.776823408068843,-3.595901837841458,-3.238202775208156,-2.1809321874960106,-2.9699048214693553
8,-2.758142241112808,-3.451070804198358,-4.009833351278162,-3.6105774883380635,-4.571902079994681,-2.677845513357829,-3.46846211150641,-3.1509502036991477,-2.0864568931915017,-2.884641759591915
9,-2.6719167514471933,-3.3735668080215477,-3.9488998297619364,-3.5468501244276838,-4.51387825076832,-2.611900830449256,-3.401385067666664,-3.103904944896223,-2.0310116637527758,-2.841432495377592
10,-2.6268732805646597,-3.342306888857108,-3.9459786746128884,-3.522660836604822,-4.496050251911693,-2.568279994163353,-3.374217115490804,-3.106627532404243,-2.0041991308274807,-2.8237782353532572
11,-2.5968875735447763,-3.313299047345797,-3.9573172347104237,-3.5270145219320606,-4.492246807656502,-2.5369654778377178,-3.374455413978936,-3.135305801588206,-1.9972701652361837,-2.8168986863963785
12,-2.5895743632836306,-3.3198190808436885,-4.0019399467658765,-3.5379300384693377,-4.521764792003383,-2.53301378993908,-3.3876464684623864,-3.1717922957594515,-2.0007273436428563,-2.826242253595166
13,-2.568463941499134,-3.2928705772655853,-4.020890131467608,-3.5094080752531327,-4.520383131462386,-2.5056248869532154,-3.3676680972061996,-3.1813422865031376,-1.9976934629344365,-2.816880045958384
14,-2.5293188098950825,-3.2132321566946427,-4.007700271892312,-3.445854736836641,-4.468455637458655,-2.4843930243053247,-3.319578620100254,-3.150544915375074,-1.9916238946891773,-2.7751844383258013
15,-2.4937715198316566,-3.1566281262834055,-3.9903865201141824,-3.341073426381796,-4.41156661380625,-2.464531310146658,-3.2563272898180884,-3.1019364252797934,-1.9857381344231186,-2.7338061145725603
16,-2.4601185385937536,-3.091547505912309,-3.939983708863533,-3.2569477398974747,-4.334231164149492,-2.4287804653171277,-3.19958065117943,-3.043166331304818,-1.980889520975552,-2.680996911621913
17,-2.375079712369938,-3.022382394382419,-3.867913456434345,-3.1423974931267256,-4.240678350119862,-2.3798409321579417,-3.1055584896828563,-2.959038774069172,-1.932372969764841,-2.6108969715372767
18,-2.2864574529918524,-2.9679128411337095,-3.803596434136058,-3.0434992430537573,-4.154816115126515,-2.327912285887592,-3.0089898329970466,-2.880330341867642,-1.8807708238690433,-2.564476608049997
19,-2.155170449275556,-2.8494611190087795,-3.678878167442791,-2.9057211377801297,-4.0238383140078335,-2.2536567948641553,-2.864440246588402,-2.767487566068245,-1.8112439936753495,-2.4666783053912984
20,-2.063683164112098,-2.7903001530841984,-3.604637720426532,-2.808190509828093,-3.9220283142523256,-2.2003876319549884,-2.770520082352959,-2.695527921826723,-1.7435530348803978,-2.4134513208678525
21,-1.9297538500255693,-2.6800679230597337,-3.4865990052074802,-2.671682435767693,-3.81012784860834,-2.113158114769927,-2.64760370233033,-2.599404439137042,-1.6696485353538784,-2.3292733768850296
22,-2.0895126615047968,-2.919158500211679,-3.4715992093718566,-2.899463076670711,-3.853324033246602,-2.149191961382594,-2.6367347075864127,-2.7830472506452515,-1.6176834374717926,-2.355714156513184
23,-1.8230818870678616,-2.5203348477800644,-3.3003044253800105,-2.3995023214815214,-3.3035683322481613,-2.0116194299439645,-2.477960109015524,-2.4276435244604966,-1.4776655394533031,-2.171874086918405
24,-1.8508196845712523,-2.6223843821839146,-3.2592320958830854,-2.5708560373459446,-3.485520066529931,-2.000320703432197,-2.412199933300346,-2.5031027867713203,-1.427532950366974,-2.1468473152334675
25,-1.4141787064729636,-2.375089481827008,-3.1060023364060827,-2.3149693383137837,-3.1845437673475043,-1.8648168652882917,-2.250517198008145,-2.268680293336883,-1.2701343758742047,-2.0390119672224523
26,-1.6293696106400197,-2.3793223583809002,-3.0476057162489587,-2.333638542552951,-3.2380033401162462,-1.8460406796868585,-2.17613889578161,-2.36837520471815,-1.2535600064114816,-2.0130633029229132
27,-1.5002706914157895,-2.323406311195506,-2.963790983692281,-2.2312021923311405,-3.0670769937054154,-1.7923514642907872,-2.1242919130272973,-2.26310110986242,-1.1987322027071279,-1.9601904421539587
28,-1.4316057529397455,-2.3408057071778225,-2.945576836327101,-2.240442094723597,-3.115780585653396,-1.774706192679207,-2.0914162804860705,-2.237342680062002,-1.1770301268337877,-1.9489757282754856
29,-1.5268144193945614,-2.347985031572846,-2.920827515604717,-2.229114437240792,-3.080081077560607,-1.7591351094027123,-2.058041443052309,-2.3416966613912655,-1.1452880897099336,-1.956144283718548
30,-1.4025770268178326,-2.2117659070236164,-2.921574188386568,-2.182614230081327,-2.9784194685394385,-1.7563474189147739,-2.062089705591239,-2.2110819956599457,-1.1160495143942233,-1.917044973102852
31,-1.4769288863778542,-2.213626146035355,-2.9117541625045686,-2.196572886631789,-2.9866379331295003,-1.7505228597070621,-2.110208134424727,-2.206576626411425,-1.1376932910130113,-1.9041474459015584
32,-1.5423162210006707,-2.283400025397666,-2.9768952253269205,-2.3304100574649977,-3.14153192416375,-1.809316007743089,-2.232422225886907,-2.356306416537533,-1.1856056761322076,-1.9749733209917877
33,-1.773618819921651,-2.3941631987064165,-3.063413272404928,-2.5598080839953763,-3.3149732906910683,-1.8824046082847896,-2.401296070468559,-2.5607781687938727,-1.294193186188237,-2.106273804360651
34,-1.914162568779257,-2.5105698037393576,-3.185668026468836,-2.6989328314043552,-3.513877720576833,-1.9699454883864624,-2.5298180328701627,-2.719839173621644,-1.37898978466909,-2.2204316220682263
35,-2.0772484611316964,-2.616505815070987,-3.2700506542732066,-2.8174218846664,-3.6569707469845816,-2.0607508906803353,-2.644950693025611,-2.8168732605001416,-1.4711907228947765,-2.3059253941945186
36,-2.090374440575729,-2.609464326318571,-3.2857090435824485,-2.802780694575391,-3.67419485489385,-2.075845873154928,-2.6631790572709186,-2.8101653416695096,-1.4886386060006995,-2.311826569208501
37,-2.065460368732873,-2.5568757163296385,-3.238493081712556,-2.760517113477952,-3.6424361294751724,-2.0661377861371126,-2.655767652268685,-2.763830195696432,-1.4712515780578221,-2.2845766743640032
38,-2.0099491224090773,-2.4813043470275256,-3.1942684677155726,-2.690146075306659,-3.562620708911422,-2.0595715651915314,-2.596190730230152,-2.70419160050572,-1.4465092934093764,-2.245807910109029
39,-1.9120368624472786,-2.374700212433563,-3.0876199062538623,-2.5759956386186746,-3.4135699316853962,-2.018619692528124,-2.486894621857605,-2.594338358951881,-1.3738730848998968,-2.15173465032607
40,-1.7831184155371569,-2.2389834539036055,-2.9500203946835337,-2.421048916588056,-3.2362565115010056,-1.9420442235478703,-2.336194896163686,-2.447692109784308,-1.2676926339671626,-2.0412503592571642
41,-1.6396184838511947,-2.1181409641923006,-2.815319558600764,-2.2787925343976037,-3.07273606336094,-1.8668980551406371,-2.1965053075398018,-2.32406854198117,-1.1924676449365506,-1.9342990413952552
42,-1.4911112560082973,-1.964832549661577,-2.672462432848867,-2.1099576701004965,-2.879302573648424,-1.7647334892207442,-2.01582521953129,-2.174812361776743,-1.066557984785871,-1.8028749740333105
