,sim_81,sim_82,sim_83,sim_84,sim_85,sim_86,sim_87,sim_88,sim_89,sim_90
0,-1.8405755794360061,-2.191725823426388,-2.22461257159029,-1.888031650624394,-2.9244472180162475,-2.2802543433833766,-1.8082300760129726,-2.621008396798281,-1.6123627154028848,-2.5998207156710125
1,-1.800410633823011,-2.1681472604167245,-2.1968516758030727,-1.8377337947071413,-2.8924770259929082,-2.2417620452344003,-1.7733551813169228,-2.5741357317730373,-1.5740912860654626,-2.5607016517722045
2,-1.8140975313073378,-2.181270333437223,-2.2175749958687714,-1.8484948500914162,-2.8938195688394295,-2.2568615244733494,-1.816202102556453,-2.5886977892314347,-1.5715542130765727,-2.56474757268915
3,-1.8504535891226048,-2.164509367683877,-2.241412277216011,-1.8618993745080652,-2.8859544396857517,-2.294357115942282,-1.8491298531388298,-2.601302235060238,-1.5700759583524935,-2.5924841044734603
4,-1.8190422317842436,-2.1588314164185,-2.2222590991048405,-1.814514739707228,-2.848580713651312,-2.2719955611407356,-1.8182028232818361,-2.557812209539226,-1.5354243098022164,-2.555921210734788
5,-1.8160766613161532,-2.157615659609378,-2.227855163821732,-1.8123351733400506,-2.8400180041467484,-2.270870721689033,-1.8230121134152069,-2.549450493285244,-1.528418736341153,-2.560525939983508
6,-1.8490731007407035,-2.156522940481254,-2.2568739584484705,-1.8267382693637861,-2.8428610276263115,-2.293278476608212,-1.85574992494118,-2.573398074648277,-1.5421187398017955,-2.5563687875347427
7,-1.8363709369737709,-2.1569704076011096,-2.2386229346891904,-1.8046020801325227,-2.8234865287324324,-2.2995693054180553,-1.8477654386609328,-2.5563704717716704,-1.527801669012048,-2.55690730190324
8,-1.858062646258487,-2.168883706974022,-2.2629365880788805,-1.802327245458992,-2.82713827134562,-2.301657316643281,-1.8582585025113905,-2.571909677686881,-1.5277886195308836,-2.5610399183562156
9,-1.8683635836904833,-2.1564631208835383,-2.2565948403439267,-1.7975674524464693,-2.8132440725138603,-2.2997524975496777,-1.8478191618802682,-2.560561586688498,-1.5096061041889233,-2.568584594044514
10,-1.8723055585238078,-2.177689143282727,-2.2712931005867008,-1.7856360962962678,-2.8137623395423352,-2.3090771565136174,-1.8512922184523746,-2.564851057292758,-1.5149528490995885,-2.5773094602052327
11,-1.871695436359182,-2.16482032784423,-2.2637879465391384,-1.7852159287062985,-2.79542230205772,-2.313700199247544,-1.8413961036475501,-2.5584097148693,-1.505656794654656,-2.573927825585792
12,-1.8648957715236052,-2.1683045629251874,-2.2589250654114696,-1.7604945456770182,-2.7828032171446506,-2.29302440880029,-1.8211452173694207,-2.549900061426325,-1.491741283817446,-2.5599720962153643
13,-1.8438255678335953,-2.1461999511482777,-2.241142709303098,-1.7532656409789313,-2.751622379858319,-2.2742756775720703,-1.8093898626616347,-2.52771779472077,-1.4656291802848223,-2.5561925714100315
14,-1.7730605887915658,-2.1397117584601655,-2.1827686612225046,-1.683301595413299,-2.6990549266647594,-2.218469608616971,-1.7081607307183082,-2.454995094101951,-1.4210972923107656,-2.486255073952561
15,-1.6914603749913508,-2.0841190471652857,-2.1219501780935266,-1.6092688589956399,-2.647645992184337,-2.162094964396258,-1.6427204933698873,-2.3911014441240566,-1.366126287982566,-2.4284018174699127
16,-1.6805432262882702,-2.0590784450110022,-2.0960902077754775,-1.5728595775566603,-2.613595847645782,-2.130960335081729,-1.6366610907861947,-2.37935711545064,-1.3485468124970743,-2.399159136051093
17,-1.6136195302376555,-2.0374539121256965,-2.0302053959014774,-1.523849077764405,-2.543399502115277,-2.078860919064478,-1.5601304162384606,-2.310778190725755,-1.2928167180070127,-2.3363359172635216
18,-1.5768757809900416,-1.9989501671234042,-1.9851938881384859,-1.4657971977420858,-2.511975553560273,-2.042908775721461,-1.5193842746639799,-2.280130170171207,-1.251911897816393,-2.292996969162986
19,-1.4749329038446921,-1.970941124822544,-1.9019788599330256,-1.3732316628179304,-2.4267162520138235,-1.959452938813223,-1.3937841098257535,-2.168760854084665,-1.197766697661257,-2.1884232721162125
20,-1.4196970607054047,-1.9389020256634608,-1.8431572332823225,-1.2981852308787192,-2.3686937907794134,-1.9105735513764106,-1.343558317694449,-2.113859919823826,-1.1335373717309416,-2.1282657182717175
21,-1.3355075494681432,-1.8934619710186094,-1.770404890643906,-1.2176502414241077,-2.2896697196393236,-1.8427873707250402,-1.255374275193437,-2.0397286062919853,-1.070321097930089,-2.049785875220827
